,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612752,38.6,86.86,0.444,0.468,-0.023
1,1610612762,40.81,91.64,0.445,0.463,-0.018
2,1610612751,40.26,89.43,0.45,0.464,-0.013
3,1610612755,38.31,84.14,0.455,0.466,-0.011
4,1610612749,42.92,93.81,0.458,0.466,-0.009
5,1610612763,41.55,91.2,0.456,0.464,-0.009
6,1610612742,39.63,86.58,0.458,0.465,-0.007
7,1610612744,40.77,88.34,0.462,0.466,-0.005
8,1610612761,39.42,85.08,0.463,0.465,-0.002
9,1610612738,39.89,86.61,0.461,0.462,-0.002
10,1610612746,39.21,85.26,0.46,0.462,-0.002
11,1610612740,41.75,90.39,0.462,0.464,-0.002
12,1610612766,40.97,88.08,0.465,0.466,-0.001
13,1610612737,41.53,89.42,0.464,0.466,-0.001
14,1610612753,42.64,90.67,0.47,0.468,0.002
15,1610612747,39.46,84.37,0.468,0.466,0.002
16,1610612754,44.05,94.46,0.466,0.464,0.002
17,1610612764,43.37,92.74,0.468,0.464,0.003
18,1610612741,40.66,86.55,0.47,0.464,0.006
19,1610612757,41.57,87.86,0.473,0.466,0.007
20,1610612743,39.75,84.78,0.469,0.462,0.007
21,1610612748,39.44,83.67,0.471,0.464,0.008
22,1610612765,41.5,87.86,0.472,0.464,0.008
23,1610612759,42.98,89.83,0.478,0.469,0.009
24,1610612756,41.35,87.03,0.475,0.462,0.013
25,1610612760,44.56,91.94,0.485,0.467,0.017
26,1610612750,43.22,89,0.486,0.468,0.018
27,1610612758,42.69,88.56,0.482,0.463,0.02
28,1610612739,42.5,87.31,0.487,0.466,0.021
29,1610612745,44.16,89.76,0.492,0.467,0.025
