,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612752,37.27,85.65,0.435,0.463,-0.028
1,1610612744,39.73,89.62,0.443,0.464,-0.021
2,1610612748,38.75,86.81,0.446,0.467,-0.02
3,1610612762,40.94,91.14,0.449,0.467,-0.017
4,1610612755,40.44,89.72,0.451,0.463,-0.012
5,1610612747,40.03,88.32,0.453,0.464,-0.011
6,1610612756,39.6,86.51,0.458,0.467,-0.009
7,1610612761,38.61,84.33,0.458,0.466,-0.008
8,1610612749,41.86,91.97,0.455,0.462,-0.007
9,1610612760,42.19,91.44,0.461,0.465,-0.004
10,1610612742,40.56,87.62,0.463,0.466,-0.003
11,1610612737,40.97,88.81,0.461,0.464,-0.003
12,1610612745,41.09,88.24,0.466,0.465,0.001
13,1610612738,39.97,85.36,0.468,0.467,0.001
14,1610612746,40.89,87.47,0.468,0.466,0.001
15,1610612743,40.33,86.03,0.469,0.467,0.001
16,1610612751,43.46,93.05,0.467,0.464,0.003
17,1610612759,41.75,89.84,0.465,0.461,0.003
18,1610612754,41.31,88.03,0.469,0.464,0.005
19,1610612763,40.34,85.56,0.472,0.467,0.005
20,1610612753,41.78,88.67,0.471,0.465,0.006
21,1610612766,41.6,88.2,0.472,0.464,0.008
22,1610612757,41.97,88.69,0.473,0.466,0.008
23,1610612764,42.76,90.24,0.474,0.464,0.01
24,1610612740,42.03,88.25,0.476,0.466,0.011
25,1610612741,42.29,88.94,0.476,0.465,0.011
26,1610612765,41.28,86.03,0.48,0.466,0.014
27,1610612750,42.83,89.47,0.479,0.464,0.014
28,1610612739,41.5,86.17,0.482,0.465,0.017
29,1610612758,44.5,90.28,0.493,0.467,0.026
