,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612762,10.89,33,0.33,0.36,-0.03
1,1610612747,11.03,31.8,0.347,0.37,-0.023
2,1610612752,11.77,34.17,0.344,0.364,-0.02
3,1610612765,10.72,30.78,0.348,0.366,-0.018
4,1610612744,11.51,33.29,0.346,0.362,-0.016
5,1610612746,11.41,32.65,0.35,0.363,-0.013
6,1610612737,12.03,34.31,0.351,0.363,-0.012
7,1610612754,10.89,31.05,0.351,0.362,-0.011
8,1610612764,11.47,32.42,0.354,0.365,-0.011
9,1610612755,11.03,31.19,0.354,0.363,-0.01
10,1610612766,13.78,38.76,0.356,0.366,-0.01
11,1610612763,12.7,35.25,0.36,0.369,-0.009
12,1610612741,11.53,32.03,0.36,0.366,-0.006
13,1610612758,11.33,31.81,0.356,0.36,-0.004
14,1610612751,13.57,37.43,0.363,0.365,-0.003
15,1610612740,13.42,36.69,0.366,0.368,-0.002
16,1610612742,12.29,33.97,0.362,0.364,-0.002
17,1610612756,12.14,33.3,0.364,0.366,-0.001
18,1610612759,11.68,31.48,0.371,0.37,0.001
19,1610612739,11.83,32.25,0.367,0.365,0.002
20,1610612748,13.69,37.22,0.368,0.363,0.005
21,1610612753,13.72,36.81,0.373,0.366,0.007
22,1610612743,13.25,35.58,0.372,0.365,0.007
23,1610612757,12.84,34.24,0.375,0.366,0.009
24,1610612760,14.42,37.92,0.38,0.368,0.012
25,1610612761,13.69,35.94,0.381,0.366,0.015
26,1610612745,14.5,37.13,0.391,0.372,0.019
27,1610612738,13.44,34.89,0.385,0.364,0.021
28,1610612749,15.56,39.42,0.395,0.366,0.029
29,1610612750,14.61,36.28,0.403,0.368,0.035
