,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612744,Golden State Warriors,GSW,37,37,0.425,20.54,38.08,0.539,0.574,-0.034
1,1610612762,Utah Jazz,UTA,36,36,0.44,21.83,40.06,0.545,0.576,-0.031
2,1610612749,Milwaukee Bucks,MIL,36,36,0.382,19.11,35.17,0.543,0.571,-0.028
3,1610612752,New York Knicks,NYK,37,37,0.417,19.49,35.68,0.546,0.572,-0.026
4,1610612759,San Antonio Spurs,SAS,32,32,0.452,22.5,40.59,0.554,0.575,-0.02
5,1610612755,Philadelphia 76ers,PHI,36,36,0.418,20.81,37.53,0.554,0.572,-0.018
6,1610612748,Miami Heat,MIA,36,36,0.375,18.28,32.56,0.561,0.576,-0.015
7,1610612745,Houston Rockets,HOU,34,34,0.443,21.97,39.06,0.563,0.573,-0.01
8,1610612761,Toronto Raptors,TOR,36,36,0.405,19.36,34.14,0.567,0.576,-0.009
9,1610612746,LA Clippers,LAC,38,38,0.417,20.71,36.45,0.568,0.578,-0.009
10,1610612754,Indiana Pacers,IND,35,35,0.461,22.83,40.57,0.563,0.572,-0.009
11,1610612747,Los Angeles Lakers,LAL,37,37,0.442,22.03,39.0,0.565,0.574,-0.009
12,1610612737,Atlanta Hawks,ATL,36,36,0.442,22.25,39.22,0.567,0.573,-0.006
13,1610612751,Brooklyn Nets,BKN,37,37,0.407,21.73,37.92,0.573,0.572,0.001
14,1610612757,Portland Trail Blazers,POR,35,35,0.421,21.6,37.37,0.578,0.577,0.001
15,1610612765,Detroit Pistons,DET,36,36,0.451,22.53,38.83,0.58,0.578,0.002
16,1610612756,Phoenix Suns,PHX,35,35,0.431,21.77,37.31,0.583,0.58,0.004
17,1610612750,Minnesota Timberwolves,MIN,36,36,0.455,23.44,40.72,0.576,0.572,0.004
18,1610612742,Dallas Mavericks,DAL,34,34,0.396,20.15,34.71,0.581,0.577,0.004
19,1610612739,Cleveland Cavaliers,CLE,36,36,0.45,22.44,38.81,0.578,0.573,0.005
20,1610612764,Washington Wizards,WAS,34,34,0.399,20.94,36.03,0.581,0.575,0.007
21,1610612741,Chicago Bulls,CHI,34,34,0.431,22.56,38.35,0.588,0.575,0.013
22,1610612763,Memphis Grizzlies,MEM,32,32,0.404,20.44,34.56,0.591,0.578,0.013
23,1610612753,Orlando Magic,ORL,36,36,0.41,21.42,36.39,0.589,0.575,0.014
24,1610612738,Boston Celtics,BOS,36,36,0.421,21.19,35.92,0.59,0.575,0.015
25,1610612760,Oklahoma City Thunder,OKC,36,36,0.407,22.25,37.19,0.598,0.577,0.021
26,1610612740,New Orleans Pelicans,NOP,36,36,0.397,21.14,35.0,0.604,0.579,0.025
27,1610612743,Denver Nuggets,DEN,36,36,0.409,21.36,35.17,0.607,0.579,0.028
28,1610612758,Sacramento Kings,SAC,36,36,0.436,23.89,39.36,0.607,0.579,0.028
29,1610612766,Charlotte Hornets,CHA,35,35,0.413,22.2,36.43,0.609,0.572,0.037
