,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612752,12.22,37,0.33,0.366,-0.035
1,1610612756,11.06,32.2,0.343,0.364,-0.021
2,1610612737,11.78,33.97,0.347,0.367,-0.02
3,1610612760,12.75,36.72,0.347,0.365,-0.018
4,1610612762,10.86,30.67,0.354,0.368,-0.014
5,1610612741,11.5,32.68,0.352,0.364,-0.012
6,1610612743,12.69,35.81,0.355,0.365,-0.01
7,1610612747,11.68,32.65,0.358,0.363,-0.006
8,1610612748,14.83,40.94,0.362,0.367,-0.005
9,1610612738,12.25,33.81,0.362,0.366,-0.004
10,1610612746,11.71,32.39,0.361,0.366,-0.004
11,1610612755,12.78,34.86,0.367,0.366,0
12,1610612742,13.47,36.65,0.368,0.367,0
13,1610612744,13.19,35.57,0.371,0.369,0.002
14,1610612751,12.86,35.05,0.367,0.362,0.005
15,1610612757,12.94,35.06,0.369,0.364,0.005
16,1610612753,13.69,36.78,0.372,0.367,0.005
17,1610612765,11.97,32,0.374,0.366,0.008
18,1610612745,12.21,32.97,0.37,0.361,0.01
19,1610612749,14.11,37.75,0.374,0.364,0.01
20,1610612754,12.14,31.89,0.381,0.369,0.011
21,1610612766,15.2,40.37,0.377,0.365,0.012
22,1610612761,14.11,37.42,0.377,0.364,0.013
23,1610612763,13.06,34.84,0.375,0.361,0.014
24,1610612750,11.64,30.72,0.379,0.364,0.015
25,1610612764,13.5,35.06,0.385,0.368,0.017
26,1610612759,13.06,34.09,0.383,0.362,0.021
27,1610612740,15.56,39.56,0.393,0.364,0.029
28,1610612739,12.97,32.58,0.398,0.369,0.029
29,1610612758,13.47,33.44,0.403,0.372,0.031
