,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612738,BOS,Boston Celtics,0022001073,2021-05-16,BOS @ NYK,L,48.0,35,86,0.407,11,41,0.268,11,15,0.733,9,37,46,19,12.0,4,6,6,19,17,92,-4.0,1,37,37,37,5,65,47,63,50,17,64,53,51,47,47,18,22,57,21,62,22,48,24,48,69,42
1,2020-21,1610612738,BOS,Boston Celtics,0022001063,2021-05-15,BOS @ MIN,W,48.0,46,95,0.484,18,42,0.429,14,18,0.778,9,35,44,27,15.0,8,6,7,24,19,124,16.0,1,1,1,1,5,13,12,24,9,12,19,41,45,37,47,31,38,18,42,30,22,56,57,37,10,9
2,2020-21,1610612738,BOS,Boston Celtics,0022001044,2021-05-12,BOS @ CLE,L,48.0,36,101,0.356,12,41,0.293,10,14,0.714,13,33,46,14,7.0,9,8,6,23,13,94,-8.0,1,37,37,37,5,61,2,69,41,17,60,59,54,54,15,42,22,71,4,19,10,48,53,67,67,55
3,2020-21,1610612738,BOS,Boston Celtics,0022001032,2021-05-11,BOS vs. MIA,L,48.0,46,88,0.523,18,37,0.486,11,17,0.647,3,29,32,31,11.0,8,5,4,21,21,121,-8.0,1,37,37,37,5,13,36,11,9,36,7,53,48,66,70,53,70,5,15,30,37,22,36,24,16,55
4,2020-21,1610612738,BOS,Boston Celtics,0022000145,2021-05-09,BOS vs. MIA,L,48.0,45,83,0.542,14,38,0.368,20,25,0.8,6,28,34,29,14.0,7,3,2,22,20,124,-6.0,1,37,37,37,5,16,61,7,30,31,42,17,19,28,65,60,68,10,34,41,53,7,44,28,10,49
5,2020-21,1610612738,BOS,Boston Celtics,0022000160,2021-05-07,BOS @ CHI,L,48.0,35,86,0.407,11,39,0.282,18,23,0.783,11,36,47,19,14.0,5,8,4,15,20,99,-22.0,1,37,37,37,5,65,47,63,50,26,62,25,26,36,28,24,20,57,34,57,10,22,8,28,60,70
6,2020-21,1610612738,BOS,Boston Celtics,0022000990,2021-05-05,BOS @ ORL,W,48.0,51,96,0.531,21,45,0.467,9,12,0.75,9,36,45,28,11.0,8,9,7,23,11,132,36.0,1,1,1,1,5,2,10,10,3,9,12,61,62,40,47,24,27,14,15,30,6,56,53,71,5,2
7,2020-21,1610612738,BOS,Boston Celtics,0022000968,2021-05-02,BOS vs. POR,L,48.0,43,89,0.483,20,39,0.513,13,15,0.867,10,35,45,29,18.0,3,6,5,21,18,119,-10.0,1,37,37,37,5,24,33,25,5,26,3,47,51,15,37,31,27,10,56,66,22,36,36,42,21,61
8,2020-21,1610612738,BOS,Boston Celtics,0022000950,2021-04-30,BOS vs. SAS,W,53.0,49,105,0.467,18,38,0.474,27,36,0.75,17,35,52,31,13.0,7,7,1,26,27,143,3.0,1,1,1,1,1,5,1,39,9,31,10,4,3,40,3,31,8,5,26,41,15,2,64,2,2,30
9,2020-21,1610612738,BOS,Boston Celtics,0022000936,2021-04-28,BOS vs. CHA,W,48.0,44,92,0.478,15,40,0.375,17,22,0.773,19,35,54,26,14.0,9,8,5,24,18,120,9.0,1,1,1,1,5,20,22,28,22,21,39,29,32,38,2,31,4,22,34,19,10,36,57,42,19,18
10,2020-21,1610612738,BOS,Boston Celtics,0022000927,2021-04-27,BOS vs. OKC,L,48.0,41,97,0.423,11,49,0.224,22,25,0.88,8,31,39,21,14.0,16,7,3,26,24,115,-4.0,1,37,37,37,5,36,9,60,50,3,70,10,19,10,57,47,57,44,34,2,15,15,64,9,33,42
11,2020-21,1610612738,BOS,Boston Celtics,0022000911,2021-04-25,BOS @ CHA,L,48.0,34,88,0.386,14,41,0.341,22,26,0.846,11,30,41,18,13.0,6,2,8,13,21,104,-21.0,1,37,37,37,5,67,36,67,30,17,47,10,18,22,28,50,52,64,26,48,60,67,4,24,56,69
12,2020-21,1610612738,BOS,Boston Celtics,0022000899,2021-04-23,BOS @ BKN,L,48.0,38,94,0.404,17,42,0.405,11,16,0.688,15,39,54,21,19.0,6,6,7,20,19,104,-5.0,1,37,37,37,5,58,14,65,14,12,28,53,49,61,7,7,4,44,61,48,22,56,28,37,56,45
13,2020-21,1610612738,BOS,Boston Celtics,0022000892,2021-04-22,BOS vs. PHX,W,48.0,33,77,0.429,12,40,0.3,21,24,0.875,10,38,48,20,23.0,7,2,2,12,23,99,13.0,1,1,1,1,5,68,69,56,41,21,57,16,21,11,37,11,18,52,72,41,60,7,2,12,60,14
14,2020-21,1610612738,BOS,Boston Celtics,0022000869,2021-04-19,BOS vs. CHI,L,48.0,36,77,0.468,10,25,0.4,14,15,0.933,3,36,39,21,16.0,8,3,8,15,15,96,-6.0,1,37,37,37,5,61,69,38,55,68,31,41,51,4,70,24,57,44,47,30,53,67,8,60,62,49
