,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
10,2020-21,CHA,Charlotte Hornets,22001080,2021-05-16,CHA @ WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
13,2020-21,CHA,Charlotte Hornets,22001064,2021-05-15,CHA @ NYK,1610612752,38.6,86.86,0.444,0.468,-0.023,New York Knicks,NYK,35,35,0.433,21.06,37.57,0.56,0.58,-0.019,26.83,52.69,0.509,0.533,-0.024,11.77,34.17,0.344,0.364,-0.02,98.2,105.7
16,2020-21,CHA,Charlotte Hornets,22001047,2021-05-13,CHA vs. LAC,1610612746,39.21,85.26,0.46,0.462,-0.002,LA Clippers,LAC,34,34,0.41,19.85,34.97,0.568,0.572,-0.005,27.79,52.62,0.528,0.526,0.002,11.41,32.65,0.35,0.363,-0.013,99.1,108.7
18,2020-21,CHA,Charlotte Hornets,22000448,2021-05-11,CHA vs. DEN,1610612743,39.75,84.78,0.469,0.462,0.007,Denver Nuggets,DEN,36,36,0.417,20.86,35.33,0.59,0.57,0.021,26.5,49.19,0.539,0.524,0.015,13.25,35.58,0.372,0.365,0.007,99.3,110.0
20,2020-21,CHA,Charlotte Hornets,22001020,2021-05-09,CHA vs. NOP,1610612740,41.75,90.39,0.462,0.464,-0.002,New Orleans Pelicans,NOP,36,36,0.401,21.25,36.22,0.587,0.573,0.014,28.33,53.69,0.528,0.525,0.003,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
22,2020-21,CHA,Charlotte Hornets,22001004,2021-05-07,CHA vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,ORL,36,36,0.411,21.47,37.25,0.576,0.579,-0.002,28.92,53.86,0.537,0.532,0.005,13.72,36.81,0.373,0.366,0.007,100.8,112.1
25,2020-21,CHA,Charlotte Hornets,22000434,2021-05-06,CHA vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,CHI,38,38,0.437,21.92,37.79,0.58,0.57,0.01,29.13,54.53,0.534,0.527,0.007,11.53,32.03,0.36,0.366,-0.006,101.1,109.9
28,2020-21,CHA,Charlotte Hornets,22000984,2021-05-04,CHA @ DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,DET,36,36,0.477,24.22,41.92,0.578,0.571,0.007,30.78,57.08,0.539,0.527,0.012,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
31,2020-21,CHA,Charlotte Hornets,22000969,2021-05-02,CHA vs. MIA,1610612748,39.44,83.67,0.471,0.464,0.008,Miami Heat,MIA,36,36,0.405,20.17,33.89,0.595,0.571,0.024,25.75,46.44,0.554,0.526,0.028,13.69,37.22,0.368,0.363,0.005,98.7,108.5
29,2020-21,CHA,Charlotte Hornets,22000957,2021-05-01,CHA vs. DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,DET,36,36,0.477,24.22,41.92,0.578,0.571,0.007,30.78,57.08,0.539,0.527,0.012,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
