,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612741,CHI,Chicago Bulls,0022001068,2021-05-16,CHI vs. MIL,W,48.0,45,87,0.517,14,32,0.438,14,19,0.737,8,37,45,23,16.0,8,8,5,20,16,118,6.0,1,1,1,1,5,18,38,14,23,44,15,30,25,48,42,18,29,57,38,18,2,37,37,41,21,25
1,2020-21,1610612741,CHI,Chicago Bulls,0022001060,2021-05-15,CHI @ BKN,L,48.0,34,98,0.347,11,41,0.268,12,17,0.706,19,33,52,24,9.0,7,4,8,13,16,91,-14.0,1,32,32,32,5,69,4,72,44,9,62,43,33,57,1,43,8,51,3,26,29,61,6,41,69,61
2,2020-21,1610612741,CHI,Chicago Bulls,0022001051,2021-05-13,CHI vs. TOR,W,48.0,45,83,0.542,17,36,0.472,7,10,0.7,8,43,51,31,19.0,4,4,1,15,14,114,12.0,1,1,1,1,5,18,60,7,9,25,9,66,63,58,42,6,12,12,56,59,29,1,11,58,32,13
3,2020-21,1610612741,CHI,Chicago Bulls,0022001036,2021-05-11,CHI vs. BKN,L,48.0,39,96,0.406,18,44,0.409,11,14,0.786,10,35,45,21,9.0,4,5,8,20,19,107,-8.0,1,32,32,32,5,52,6,66,5,5,23,49,47,34,27,32,29,66,3,59,21,61,37,21,41,49
4,2020-21,1610612741,CHI,Chicago Bulls,0022001023,2021-05-09,CHI @ DET,W,48.0,43,84,0.512,12,32,0.375,10,14,0.714,5,38,43,27,9.0,6,3,4,22,14,108,12.0,1,1,1,1,5,26,57,16,36,44,37,55,47,56,67,15,36,30,3,33,40,22,55,58,38,13
5,2020-21,1610612741,CHI,Chicago Bulls,0022000160,2021-05-07,CHI vs. BOS,W,48.0,43,99,0.434,18,40,0.45,17,18,0.944,15,37,52,26,9.0,10,4,8,20,15,121,22.0,1,1,1,1,5,26,2,57,5,12,13,18,26,4,3,18,8,38,3,8,29,61,37,52,16,3
6,2020-21,1610612741,CHI,Chicago Bulls,0022000434,2021-05-06,CHI @ CHA,W,48.0,46,91,0.505,18,37,0.486,10,17,0.588,15,41,56,33,17.0,10,8,3,20,16,120,21.0,1,1,1,1,5,15,24,24,5,21,5,55,33,71,3,11,4,6,46,8,2,13,37,41,17,4
7,2020-21,1610612741,CHI,Chicago Bulls,0022000979,2021-05-03,CHI vs. PHI,L,48.0,36,87,0.414,11,34,0.324,11,14,0.786,12,28,40,25,15.0,7,2,6,15,13,94,-12.0,1,32,32,32,5,65,38,64,44,33,51,49,47,34,17,69,54,44,34,26,57,43,11,63,66,59
8,2020-21,1610612741,CHI,Chicago Bulls,0022000959,2021-05-01,CHI @ ATL,L,48.0,40,85,0.471,6,24,0.25,11,17,0.647,8,31,39,22,13.0,11,0,5,22,21,97,-11.0,1,32,32,32,5,47,49,39,67,69,63,49,33,67,42,58,61,65,22,2,72,37,55,14,62,54
9,2020-21,1610612741,CHI,Chicago Bulls,0022000954,2021-04-30,CHI vs. MIL,L,48.0,37,96,0.385,10,33,0.303,14,21,0.667,14,36,50,23,10.0,5,5,5,18,19,98,-10.0,1,32,32,32,5,62,6,69,52,37,55,30,19,66,6,25,15,57,9,48,21,37,27,21,61,53
10,2020-21,1610612741,CHI,Chicago Bulls,0022000937,2021-04-28,CHI @ NYK,L,48.0,39,85,0.459,10,29,0.345,6,10,0.6,7,36,43,29,14.0,2,4,9,12,16,94,-19.0,1,32,32,32,5,52,49,47,52,55,44,71,63,70,54,25,36,20,27,71,29,66,2,41,66,66
11,2020-21,1610612741,CHI,Chicago Bulls,0022000922,2021-04-26,CHI @ MIA,W,48.0,41,77,0.532,11,29,0.379,17,22,0.773,9,42,51,33,18.0,3,4,4,21,19,110,8.0,1,1,1,1,5,39,71,10,44,55,36,18,14,41,34,9,12,6,52,66,29,22,49,21,36,18
12,2020-21,1610612741,CHI,Chicago Bulls,0022000907,2021-04-24,CHI @ MIA,L,48.0,38,79,0.481,13,38,0.342,12,13,0.923,6,36,42,28,18.0,7,2,2,20,12,101,-5.0,1,32,32,32,5,59,67,33,30,17,46,43,55,8,62,25,42,23,52,26,57,8,37,66,57,43
13,2020-21,1610612741,CHI,Chicago Bulls,0022000896,2021-04-22,CHI vs. CHA,W,48.0,43,87,0.494,14,43,0.326,8,11,0.727,11,39,50,30,18.0,8,2,3,14,18,108,17.0,1,1,1,1,5,26,38,28,23,7,50,60,60,49,21,14,15,14,52,18,57,13,7,29,38,7
14,2020-21,1610612741,CHI,Chicago Bulls,0022000881,2021-04-21,CHI @ CLE,L,48.0,39,79,0.494,13,37,0.351,14,18,0.778,7,34,41,27,20.0,6,4,1,24,19,105,-16.0,1,32,32,32,5,52,67,29,30,21,40,30,26,38,54,39,47,30,63,33,29,1,65,21,47,63
15,2020-21,1610612741,CHI,Chicago Bulls,0022000869,2021-04-19,CHI @ BOS,W,48.0,41,91,0.451,11,32,0.344,9,10,0.9,9,31,40,30,12.0,11,8,3,15,15,102,6.0,1,1,1,1,5,39,24,50,44,44,45,58,63,13,34,58,54,14,14,2,2,13,11,52,55,25
16,2020-21,1610612741,CHI,Chicago Bulls,0022000857,2021-04-17,CHI vs. CLE,W,48.0,41,82,0.5,16,40,0.4,8,9,0.889,4,34,38,30,10.0,6,2,1,15,10,106,10.0,1,1,1,1,5,39,63,26,14,12,24,60,69,16,70,39,63,14,9,33,57,1,11,70,42,15
17,2020-21,1610612741,CHI,Chicago Bulls,0022000850,2021-04-16,CHI vs. MEM,L,48.0,45,96,0.469,13,34,0.382,12,15,0.8,13,33,46,34,12.0,3,1,4,20,17,115,-11.0,1,32,32,32,5,18,6,42,30,33,35,43,42,32,12,43,27,4,14,66,67,22,37,37,28,54
18,2020-21,1610612741,CHI,Chicago Bulls,0022000833,2021-04-14,CHI vs. ORL,L,48.0,41,86,0.477,17,37,0.459,7,9,0.778,7,33,40,23,12.0,7,6,10,16,15,106,-9.0,1,32,32,32,5,39,45,36,9,21,11,66,69,38,54,43,54,57,14,26,14,68,16,52,42,50
19,2020-21,1610612741,CHI,Chicago Bulls,0022000278,2021-04-12,CHI @ MEM,L,48.0,36,86,0.419,5,31,0.161,13,17,0.765,8,32,40,23,17.0,8,3,7,16,20,90,-11.0,1,32,32,32,5,65,45,63,72,49,72,36,33,42,42,50,54,57,46,18,40,53,16,18,70,54
20,2020-21,1610612741,CHI,Chicago Bulls,0022000812,2021-04-11,CHI @ MIN,L,48.0,47,92,0.511,15,38,0.395,8,13,0.615,8,30,38,30,14.0,10,8,6,19,14,117,-4.0,1,32,32,32,5,10,20,18,17,17,27,60,55,69,42,61,63,14,27,8,2,43,30,58,25,37
21,2020-21,1610612741,CHI,Chicago Bulls,0022000791,2021-04-09,CHI @ ATL,L,48.0,41,86,0.477,13,33,0.394,13,14,0.929,8,30,38,25,13.0,6,1,4,17,14,108,-12.0,1,32,32,32,5,39,45,36,30,37,29,36,47,6,42,61,63,44,22,33,67,22,24,58,38,59
22,2020-21,1610612741,CHI,Chicago Bulls,0022000523,2021-04-08,CHI @ TOR,W,48.0,47,87,0.54,12,30,0.4,16,18,0.889,12,37,49,35,16.0,5,3,4,16,20,122,9.0,1,1,1,1,5,10,38,8,36,51,24,20,26,16,17,18,20,2,38,48,40,22,16,18,13,17
23,2020-21,1610612741,CHI,Chicago Bulls,0022000769,2021-04-06,CHI @ IND,W,48.0,44,94,0.468,14,33,0.424,11,14,0.786,14,43,57,28,21.0,9,5,12,12,17,113,16.0,1,1,1,1,5,21,14,43,23,37,18,49,47,34,6,6,3,23,66,15,21,71,2,37,33,8
24,2020-21,1610612741,CHI,Chicago Bulls,0022000755,2021-04-04,CHI vs. BKN,W,48.0,43,78,0.551,8,22,0.364,21,30,0.7,6,34,40,29,9.0,4,3,3,11,17,115,8.0,1,1,1,1,5,26,69,5,58,72,39,7,4,58,62,39,54,20,3,59,40,13,1,37,28,18
25,2020-21,1610612741,CHI,Chicago Bulls,0022000743,2021-04-02,CHI @ UTA,L,48.0,43,89,0.483,7,28,0.25,13,17,0.765,7,34,41,26,7.0,5,3,5,19,18,106,-7.0,1,32,32,32,5,26,34,31,64,58,63,36,33,42,54,39,47,38,1,48,40,37,30,29,42,46
26,2020-21,1610612741,CHI,Chicago Bulls,0022000730,2021-03-31,CHI @ PHX,L,48.0,43,99,0.434,11,33,0.333,19,21,0.905,18,32,50,27,10.0,6,4,7,20,21,116,-5.0,1,32,32,32,5,26,2,57,44,37,47,10,19,11,2,50,15,30,9,33,29,53,37,14,27,43
27,2020-21,1610612741,CHI,Chicago Bulls,0022000716,2021-03-29,CHI @ GSW,L,48.0,44,84,0.524,6,24,0.25,8,11,0.727,8,31,39,33,20.0,8,5,8,18,14,102,-14.0,1,32,32,32,5,21,57,12,67,69,63,60,60,49,42,58,61,6,63,18,21,61,27,58,55,61
28,2020-21,1610612741,CHI,Chicago Bulls,0022000697,2021-03-27,CHI @ SAS,L,48.0,41,95,0.432,8,34,0.235,14,18,0.778,11,37,48,28,14.0,6,3,7,25,15,104,-16.0,1,32,32,32,5,39,12,59,58,33,66,30,26,38,21,18,22,23,27,33,40,53,68,52,51,63
