,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612739,CLE,Cleveland Cavaliers,22000062,2020-12-31,CLE @ IND,L,48.0,37,82,0.451,12,23,0.522,13,24,0.542,11,32,43,22,18.0,5,6,1,22,22,99,-20.0,1,23,23,23,5,40,54,37,17,63,3,54,28,70,25,29,32,47,53,55,14,1,59,19,47,56,12.97,32.58,0.398,0.369,0.029,99.6,112.1
1,2020-21,1610612739,CLE,Cleveland Cavaliers,22000046,2020-12-29,CLE vs. NYK,L,48.0,32,88,0.364,7,32,0.219,15,22,0.682,14,29,43,22,13.0,13,10,6,17,21,86,-9.0,1,23,23,23,5,66,20,68,56,23,63,40,37,56,9,50,32,47,18,2,2,36,23,24,66,33,12.97,32.58,0.398,0.369,0.029,99.6,112.1
2,2020-21,1610612739,CLE,Cleveland Cavaliers,22000035,2020-12-27,CLE vs. PHI,W,48.0,48,91,0.527,9,23,0.391,13,16,0.813,11,34,45,31,16.0,13,6,5,22,19,118,24.0,1,1,1,1,5,2,15,4,41,63,21,54,58,17,25,19,24,3,33,2,14,24,59,43,9,2,12.97,32.58,0.398,0.369,0.029,99.6,112.1
3,2020-21,1610612739,CLE,Cleveland Cavaliers,22000023,2020-12-26,CLE @ DET,W,58.0,48,99,0.485,13,30,0.433,19,30,0.633,7,44,51,29,19.0,13,4,5,24,20,128,9.0,1,1,1,1,1,2,2,22,9,32,12,22,10,65,57,4,7,7,62,2,29,24,65,33,3,12,12.97,32.58,0.398,0.369,0.029,99.6,112.1
4,2020-21,1610612739,CLE,Cleveland Cavaliers,22000010,2020-12-23,CLE vs. CHA,W,48.0,46,87,0.529,14,30,0.467,15,20,0.75,10,40,50,34,21.0,12,3,4,22,17,121,7.0,1,1,1,1,5,6,24,3,8,32,7,40,44,36,36,7,8,2,66,6,46,15,59,57,7,15,12.97,32.58,0.398,0.369,0.029,99.6,112.1
5,2020-21,1610612739,CLE,Cleveland Cavaliers,22001067,2021-05-16,CLE @ BKN,L,48.0,38,85,0.447,12,39,0.308,21,31,0.677,11,34,45,16,16.0,8,5,9,14,20,109,-14.0,1,23,23,23,5,37,37,40,17,5,45,14,7,59,25,19,24,69,33,26,22,60,13,33,23,40,11.83,32.25,0.367,0.365,0.002,99.6,112.1
6,2020-21,1610612739,CLE,Cleveland Cavaliers,22000204,2021-05-14,CLE @ WAS,L,48.0,39,84,0.464,10,36,0.278,17,21,0.81,7,37,44,24,17.0,4,3,6,21,19,105,-15.0,1,23,23,23,5,28,43,27,29,11,51,33,39,18,57,12,28,30,43,62,46,36,52,43,28,44,11.83,32.25,0.367,0.365,0.002,99.6,112.1
7,2020-21,1610612739,CLE,Cleveland Cavaliers,22001044,2021-05-12,CLE vs. BOS,W,48.0,36,80,0.45,8,24,0.333,22,27,0.815,7,48,55,27,16.0,4,6,8,13,23,102,8.0,1,1,1,1,5,48,59,39,45,60,33,11,16,16,57,1,1,17,33,62,14,53,7,14,39,14,11.83,32.25,0.367,0.365,0.002,99.6,112.1
8,2020-21,1610612739,CLE,Cleveland Cavaliers,22001027,2021-05-10,CLE vs. IND,L,48.0,33,93,0.355,13,39,0.333,23,30,0.767,15,35,50,21,12.0,8,2,13,13,21,102,-9.0,1,23,23,23,5,63,8,69,9,5,33,7,10,30,2,17,8,51,16,26,62,72,7,24,39,33,11.83,32.25,0.367,0.365,0.002,99.6,112.1
9,2020-21,1610612739,CLE,Cleveland Cavaliers,22001021,2021-05-09,CLE vs. DAL,L,48.0,33,86,0.384,11,31,0.355,20,31,0.645,10,28,38,18,16.0,5,2,7,12,24,97,-27.0,1,23,23,23,5,63,29,65,23,26,26,18,7,62,36,58,55,66,33,55,62,45,4,9,53,64,11.83,32.25,0.367,0.365,0.002,99.6,112.1
