,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612742,DAL,Dallas Mavericks,0022001071,2021-05-16,DAL @ MIN,L,48.0,44,91,0.484,16,38,0.421,17,20,0.85,11,27,38,32,16.0,5,5,4,19,22,121,-15.0,1,43,43,43,2,18,19,33,17,37,16,36,38,19,16,62,53,2,59,41,23,34,34,23,19,62
1,2020-21,1610612742,DAL,Dallas Mavericks,0022001057,2021-05-14,DAL vs. TOR,W,48.0,39,90,0.433,17,42,0.405,19,21,0.905,11,31,42,27,10.0,4,3,5,18,18,114,4.0,1,1,1,1,2,47,23,56,12,16,20,19,36,9,16,51,39,11,19,52,43,49,29,46,32,36
2,2020-21,1610612742,DAL,Dallas Mavericks,0022000154,2021-05-12,DAL vs. NOP,W,48.0,47,96,0.49,15,45,0.333,16,20,0.8,9,39,48,23,8.0,4,2,2,27,18,125,18.0,1,1,1,1,2,8,5,26,24,9,43,41,38,33,37,15,19,32,6,52,57,11,69,46,11,9
3,2020-21,1610612742,DAL,Dallas Mavericks,0022001037,2021-05-11,DAL @ MEM,L,48.0,37,88,0.42,12,38,0.316,18,19,0.947,13,22,35,23,13.0,8,2,6,15,16,104,-29.0,1,43,43,43,2,57,30,62,47,37,54,29,46,5,7,72,67,32,44,16,57,60,6,63,54,71
4,2020-21,1610612742,DAL,Dallas Mavericks,0022001021,2021-05-09,DAL @ CLE,W,48.0,50,93,0.538,15,39,0.385,9,11,0.818,8,34,42,33,12.0,9,7,2,24,12,124,27.0,1,1,1,1,2,4,11,5,24,32,27,62,68,28,42,36,39,1,37,11,8,11,62,71,13,4
5,2020-21,1610612742,DAL,Dallas Mavericks,0022001007,2021-05-07,DAL vs. CLE,W,48.0,41,83,0.494,10,32,0.313,18,22,0.818,9,36,45,21,10.0,7,7,0,22,18,110,20.0,1,1,1,1,2,33,50,20,56,60,55,29,31,28,37,27,28,47,19,22,8,1,49,46,40,7
6,2020-21,1610612742,DAL,Dallas Mavericks,0022000998,2021-05-06,DAL vs. BKN,W,48.0,40,89,0.449,15,34,0.441,18,26,0.692,12,39,51,23,12.0,10,3,4,15,18,113,4.0,1,1,1,1,2,39,26,45,24,53,11,29,13,58,13,15,7,32,37,8,43,34,6,46,34,36
7,2020-21,1610612742,DAL,Dallas Mavericks,0022000986,2021-05-04,DAL @ MIA,W,48.0,46,87,0.529,22,48,0.458,13,18,0.722,12,32,44,26,13.0,6,4,2,17,17,127,14.0,1,1,1,1,2,11,34,8,3,3,7,53,51,52,13,41,31,16,44,27,26,11,20,57,7,14
8,2020-21,1610612742,DAL,Dallas Mavericks,0022000970,2021-05-02,DAL vs. SAC,L,48.0,34,81,0.42,6,35,0.171,25,31,0.806,13,27,40,16,17.0,12,4,1,16,26,99,-12.0,1,43,43,43,2,66,62,63,71,48,72,3,5,32,7,62,47,66,63,2,26,5,14,6,62,58
9,2020-21,1610612742,DAL,Dallas Mavericks,0022000964,2021-05-01,DAL vs. WAS,W,48.0,47,87,0.54,17,38,0.447,14,22,0.636,7,29,36,31,11.0,6,4,3,25,23,125,1.0,1,1,1,1,2,8,34,4,12,37,9,47,31,64,51,58,63,4,30,27,26,23,66,16,11,40
10,2020-21,1610612742,DAL,Dallas Mavericks,0022000943,2021-04-29,DAL @ DET,W,48.0,40,89,0.449,13,30,0.433,22,23,0.957,8,27,35,22,12.0,6,2,5,20,23,115,10.0,1,1,1,1,2,39,26,45,37,66,14,12,26,3,42,62,67,41,37,27,57,49,40,16,27,23
11,2020-21,1610612742,DAL,Dallas Mavericks,0022000932,2021-04-27,DAL @ GSW,W,48.0,48,92,0.522,18,35,0.514,19,22,0.864,9,41,50,21,13.0,9,4,5,19,18,133,30.0,1,1,1,1,2,5,15,12,10,48,2,19,31,18,37,7,13,47,44,11,26,49,34,46,3,3
