,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612743,DEN,Denver Nuggets,0022001076,2021-05-16,DEN @ POR,L,48.0,44,98,0.449,14,37,0.378,14,15,0.933,10,26,36,20,6.0,8,2,6,20,16,116,-16.0,1,48,48,48,7,30,5,55,24,18,35,40,52,6,30,67,65,71,2,29,59,49,41,53,34,68
1,2020-21,1610612743,DEN,Denver Nuggets,0022001054,2021-05-14,DEN @ DET,W,48.0,42,86,0.488,9,32,0.281,11,14,0.786,9,40,49,29,12.0,6,3,8,17,13,104,13.0,1,1,1,1,7,41,48,36,60,44,65,54,57,42,42,9,16,18,22,49,44,68,24,64,61,18
2,2020-21,1610612743,DEN,Denver Nuggets,0022001052,2021-05-13,DEN @ MIN,W,48.0,46,96,0.479,12,36,0.333,10,11,0.909,14,39,53,30,14.0,6,3,5,25,17,114,11.0,1,1,1,1,7,16,13,41,43,24,48,62,66,13,12,14,8,13,40,49,44,43,64,49,39,22
3,2020-21,1610612743,DEN,Denver Nuggets,0022000448,2021-05-11,DEN @ CHA,W,48.0,41,83,0.494,13,33,0.394,22,26,0.846,10,28,38,26,17.0,12,2,5,19,17,117,5.0,1,1,1,1,7,44,58,32,37,41,29,8,12,22,30,64,55,37,56,4,59,43,35,49,31,36
4,2020-21,1610612743,DEN,Denver Nuggets,0022001015,2021-05-08,DEN vs. BKN,L,48.0,42,92,0.457,14,41,0.341,21,23,0.913,10,23,33,21,12.0,8,1,5,23,24,119,-6.0,1,48,48,48,7,41,22,50,24,9,46,11,19,11,30,70,69,70,22,29,67,43,54,9,27,56
5,2020-21,1610612743,DEN,Denver Nuggets,0022001008,2021-05-07,DEN @ UTA,L,48.0,43,83,0.518,17,38,0.447,17,20,0.85,9,29,38,31,17.0,8,3,3,16,20,120,-7.0,1,48,48,48,7,35,58,21,5,15,13,25,27,21,42,61,55,10,56,29,44,12,17,23,23,58
6,2020-21,1610612743,DEN,Denver Nuggets,0022000995,2021-05-05,DEN vs. NYK,W,48.0,37,97,0.381,12,39,0.308,27,33,0.818,17,46,63,23,15.0,13,7,10,24,24,113,16.0,1,1,1,1,7,65,8,71,43,12,57,2,3,32,5,2,2,57,45,3,6,72,59,9,44,14
7,2020-21,1610612743,DEN,Denver Nuggets,0022000982,2021-05-03,DEN @ LAL,L,48.0,36,82,0.439,6,24,0.25,11,16,0.688,6,35,41,22,13.0,10,7,8,24,20,89,-4.0,1,48,48,48,7,69,61,60,71,72,69,54,43,67,64,26,47,63,30,17,6,68,59,23,71,52
8,2020-21,1610612743,DEN,Denver Nuggets,0022000966,2021-05-01,DEN @ LAC,W,48.0,39,80,0.488,12,32,0.375,20,21,0.952,8,36,44,26,11.0,2,4,3,23,19,110,6.0,1,1,1,1,7,57,66,37,43,44,37,18,23,2,53,21,35,37,17,72,35,12,54,30,50,34
9,2020-21,1610612743,DEN,Denver Nuggets,0022000948,2021-04-29,DEN vs. TOR,W,48.0,44,93,0.473,12,35,0.343,21,26,0.808,14,33,47,22,11.0,6,7,6,16,19,121,10.0,1,1,1,1,7,30,20,43,43,33,45,11,12,37,12,38,23,63,17,49,6,49,17,30,20,25
