,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612765,DET,Detroit Pistons,22000047,2020-12-29,DET vs. GSW,L,48.0,35,92,0.38,13,35,0.371,23,29,0.793,16,29,45,21,15.0,8,6,8,26,28,106,-10.0,1,21,21,21,5,56,13,66,21,23,28,14,16,30,3,53,25,51,38,25,19,57,64,1,38,42,11.97,32.0,0.374,0.366,0.008,100.1,110.3
1,2020-21,1610612765,DET,Detroit Pistons,22000041,2020-12-28,DET @ ATL,L,48.0,43,98,0.439,13,41,0.317,21,24,0.875,17,31,48,24,8.0,7,4,7,25,22,120,-8.0,1,21,21,21,5,17,1,45,21,7,51,21,28,8,1,46,12,33,1,39,45,48,60,21,7,37,11.97,32.0,0.374,0.366,0.008,100.1,110.3
2,2020-21,1610612765,DET,Detroit Pistons,22000023,2020-12-26,DET vs. CLE,L,58.0,40,98,0.408,16,45,0.356,23,32,0.719,10,47,57,24,24.0,9,5,4,20,24,119,-9.0,1,21,21,21,1,23,1,57,6,3,33,14,7,48,27,1,2,33,71,13,30,13,28,12,11,39,11.97,32.0,0.374,0.366,0.008,100.1,110.3
3,2020-21,1610612765,DET,Detroit Pistons,22000018,2020-12-23,DET @ MIN,L,48.0,45,93,0.484,8,35,0.229,3,8,0.375,7,37,44,29,15.0,5,2,5,20,16,101,-10.0,1,21,21,21,5,7,10,20,62,23,68,72,72,72,51,13,30,10,38,57,66,23,28,62,48,42,11.97,32.0,0.374,0.366,0.008,100.1,110.3
4,2020-21,1610612765,DET,Detroit Pistons,22001069,2021-05-16,DET vs. MIA,L,48.0,40,86,0.465,11,35,0.314,16,22,0.727,7,26,33,26,16.0,4,4,5,21,19,107,-13.0,1,21,21,21,5,23,29,29,33,23,53,41,34,44,51,64,66,23,45,62,45,23,36,47,33,53,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
5,2020-21,1610612765,DET,Detroit Pistons,22001054,2021-05-14,DET vs. DEN,L,48.0,34,83,0.41,6,37,0.162,17,23,0.739,9,32,41,21,10.0,6,8,3,13,17,91,-13.0,1,21,21,21,5,61,47,55,70,14,71,33,32,39,35,42,45,51,6,48,3,6,3,56,66,53,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
6,2020-21,1610612765,DET,Detroit Pistons,22001033,2021-05-11,DET vs. MIN,L,48.0,35,75,0.467,10,23,0.435,20,26,0.769,6,40,46,21,28.0,8,5,8,23,22,100,-19.0,1,21,21,21,5,56,66,27,44,70,11,25,23,34,62,6,19,51,72,25,30,57,48,21,51,67,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
7,2020-21,1610612765,DET,Detroit Pistons,22001023,2021-05-09,DET vs. CHI,L,48.0,36,79,0.456,11,27,0.407,13,22,0.591,5,32,37,22,14.0,4,4,3,14,22,96,-12.0,1,21,21,21,5,50,61,34,33,59,17,52,34,69,67,42,58,44,31,62,45,6,6,21,57,51,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
8,2020-21,1610612765,DET,Detroit Pistons,22001013,2021-05-08,DET @ PHI,L,48.0,41,84,0.488,11,34,0.324,11,16,0.688,10,34,44,22,18.0,5,7,4,25,18,104,-14.0,1,21,21,21,5,20,41,18,33,31,46,65,61,56,27,31,30,44,55,57,10,13,60,49,42,56,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
9,2020-21,1610612765,DET,Detroit Pistons,22000999,2021-05-06,DET vs. MEM,W,48.0,44,83,0.53,11,28,0.393,12,14,0.857,5,34,39,24,12.0,9,6,5,18,14,111,14.0,1,1,1,1,5,11,47,4,33,53,22,59,67,13,67,31,50,33,13,13,19,23,20,68,24,7,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
10,2020-21,1610612765,DET,Detroit Pistons,22000984,2021-05-04,DET vs. CHA,L,48.0,39,85,0.459,9,32,0.281,12,20,0.6,10,36,46,21,13.0,3,3,5,21,23,99,-3.0,1,21,21,21,5,29,35,33,53,38,61,59,45,68,27,18,19,51,16,67,61,23,36,16,54,25,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
11,2020-21,1610612765,DET,Detroit Pistons,22000975,2021-05-03,DET vs. ORL,L,48.0,44,93,0.473,11,35,0.314,13,18,0.722,12,30,42,24,11.0,8,4,3,19,18,112,-7.0,1,21,21,21,5,11,10,25,33,23,53,52,58,46,14,51,42,33,9,25,45,6,25,49,23,35,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
12,2020-21,1610612765,DET,Detroit Pistons,22000957,2021-05-01,DET @ CHA,L,48.0,35,91,0.385,13,37,0.351,11,17,0.647,12,31,43,27,13.0,6,7,15,16,16,94,-13.0,1,21,21,21,5,56,15,65,21,14,35,65,59,64,14,46,34,17,16,48,10,72,10,62,63,53,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
13,2020-21,1610612765,DET,Detroit Pistons,22000943,2021-04-29,DET vs. DAL,L,48.0,36,71,0.507,10,29,0.345,23,34,0.676,3,36,39,26,18.0,7,5,2,23,20,105,-10.0,1,21,21,21,5,50,71,11,44,47,40,14,4,59,72,18,50,23,55,39,30,1,48,36,39,42,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
14,2020-21,1610612765,DET,Detroit Pistons,22000916,2021-04-26,DET vs. ATL,W,48.0,40,84,0.476,9,26,0.346,11,15,0.733,8,39,47,22,14.0,9,8,4,16,17,100,14.0,1,1,1,1,5,23,41,24,53,65,38,65,64,42,45,8,15,44,31,13,3,13,10,56,51,7,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
15,2020-21,1610612765,DET,Detroit Pistons,22000906,2021-04-24,DET @ IND,L,48.0,39,96,0.406,10,34,0.294,21,26,0.808,15,47,62,26,18.0,3,7,9,25,21,109,-6.0,1,21,21,21,5,29,6,58,44,31,56,21,23,24,4,1,1,23,55,67,10,65,60,31,30,32,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
16,2020-21,1610612765,DET,Detroit Pistons,22000895,2021-04-22,DET @ SAS,L,48.0,35,77,0.455,8,22,0.364,13,22,0.591,9,34,43,15,18.0,2,5,7,22,19,91,-15.0,1,21,21,21,5,56,64,35,62,72,30,52,34,69,35,31,34,71,55,71,30,48,45,47,66,60,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
17,2020-21,1610612765,DET,Detroit Pistons,22000442,2021-04-21,DET @ DAL,L,48.0,40,79,0.506,13,32,0.406,24,31,0.774,7,35,42,30,14.0,2,2,2,24,22,117,-10.0,1,21,21,21,5,23,61,14,21,38,19,11,11,32,51,26,42,9,31,71,66,1,55,21,16,42,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
18,2020-21,1610612765,DET,Detroit Pistons,22000868,2021-04-19,DET vs. CLE,W,48.0,42,86,0.488,10,27,0.37,15,21,0.714,10,34,44,25,17.0,8,5,8,22,21,109,4.0,1,1,1,1,5,19,29,17,44,59,29,45,40,49,27,31,30,28,52,25,30,57,45,31,30,18,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
19,2020-21,1610612765,DET,Detroit Pistons,22000856,2021-04-17,DET @ WAS,L,48.0,37,84,0.44,9,27,0.333,17,23,0.739,9,36,45,19,18.0,7,6,6,20,24,100,-21.0,1,21,21,21,5,41,41,44,53,59,42,33,32,39,35,18,25,62,55,39,19,37,28,12,51,69,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
20,2020-21,1610612765,DET,Detroit Pistons,22000845,2021-04-16,DET vs. OKC,W,48.0,38,90,0.422,10,35,0.286,24,34,0.706,15,39,54,22,18.0,13,7,8,24,23,110,6.0,1,1,1,1,5,34,20,51,44,23,59,11,4,52,4,8,4,44,55,1,10,57,55,16,27,15,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
21,2020-21,1610612765,DET,Detroit Pistons,22000832,2021-04-14,DET vs. LAC,L,48.0,37,85,0.435,7,24,0.292,17,22,0.773,11,35,46,17,16.0,5,4,2,21,20,98,-2.0,1,21,21,21,5,41,35,47,67,69,58,33,34,33,23,26,19,67,45,57,45,1,36,36,56,22,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
22,2020-21,1610612765,DET,Detroit Pistons,22000813,2021-04-11,DET @ LAC,L,48.0,46,87,0.529,15,32,0.469,17,19,0.895,12,19,31,33,13.0,12,4,5,24,18,124,-7.0,1,21,21,21,5,5,26,6,9,38,5,33,53,4,14,72,69,4,16,4,45,23,55,49,4,35,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
23,2020-21,1610612765,DET,Detroit Pistons,22000804,2021-04-10,DET @ POR,L,48.0,37,83,0.446,9,26,0.346,20,28,0.714,9,29,38,25,12.0,9,6,8,23,20,103,-15.0,1,21,21,21,5,41,47,43,53,65,38,25,19,49,35,53,54,28,13,13,19,57,48,36,44,60,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
24,2020-21,1610612765,DET,Detroit Pistons,22000789,2021-04-08,DET @ SAC,W,48.0,44,84,0.524,8,23,0.348,17,20,0.85,7,36,43,24,16.0,7,4,4,24,21,113,12.0,1,1,1,1,5,11,41,9,62,70,37,33,45,15,51,18,34,33,45,39,45,13,55,31,21,11,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
25,2020-21,1610612765,DET,Detroit Pistons,22000321,2021-04-06,DET @ DEN,L,48.0,44,81,0.543,15,35,0.429,16,20,0.8,7,23,30,27,13.0,4,2,5,12,20,119,-15.0,1,21,21,21,5,11,59,2,9,23,12,41,45,26,51,69,71,17,16,62,66,23,2,36,11,60,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
26,2020-21,1610612765,DET,Detroit Pistons,22000766,2021-04-05,DET @ OKC,W,48.0,49,95,0.516,13,28,0.464,21,24,0.875,13,37,50,32,14.0,10,7,6,20,20,132,24.0,1,1,1,1,5,1,7,10,21,53,7,21,28,8,9,13,6,5,31,7,10,37,28,36,1,2,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
27,2020-21,1610612765,DET,Detroit Pistons,22000748,2021-04-03,DET vs. NYK,L,48.0,29,82,0.354,9,28,0.321,14,20,0.7,12,31,43,20,15.0,4,4,11,20,18,81,-44.0,1,21,21,21,5,69,52,71,53,53,50,49,45,54,14,46,34,57,38,62,45,69,28,49,72,72,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
28,2020-21,1610612765,DET,Detroit Pistons,22000179,2021-04-01,DET vs. WAS,W,48.0,45,94,0.479,12,29,0.414,18,22,0.818,10,38,48,31,13.0,8,5,6,18,21,120,29.0,1,1,1,1,5,7,8,21,30,47,15,28,34,21,27,11,12,6,16,25,30,37,20,31,7,1,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
29,2020-21,1610612765,DET,Detroit Pistons,22000721,2021-03-31,DET vs. POR,L,48.0,40,86,0.465,9,27,0.333,12,17,0.706,5,31,36,29,17.0,7,7,7,26,20,101,-23.0,1,21,21,21,5,23,29,29,53,59,42,59,59,52,67,46,62,10,52,39,10,48,64,36,48,70,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
30,2020-21,1610612765,DET,Detroit Pistons,22000711,2021-03-29,DET vs. TOR,W,48.0,38,75,0.507,15,30,0.5,27,34,0.794,9,34,43,26,19.0,6,6,6,24,25,118,14.0,1,1,1,1,5,34,66,12,9,46,1,4,4,29,35,31,34,23,62,48,19,37,55,8,14,7,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
31,2020-21,1610612765,DET,Detroit Pistons,22000694,2021-03-27,DET @ WAS,L,48.0,33,85,0.388,10,29,0.345,16,19,0.842,7,36,43,19,19.0,9,5,5,18,22,92,-14.0,1,21,21,21,5,65,35,64,44,47,40,41,53,16,51,18,34,62,62,13,30,23,20,21,64,56,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
32,2020-21,1610612765,DET,Detroit Pistons,22000683,2021-03-26,DET vs. BKN,L,48.0,33,73,0.452,11,31,0.355,34,47,0.723,7,29,36,19,11.0,6,4,4,30,27,111,-2.0,1,21,21,21,5,65,69,37,33,44,34,1,1,45,51,53,62,62,9,48,45,13,70,3,24,22,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
33,2020-21,1610612765,DET,Detroit Pistons,22000667,2021-03-24,DET @ IND,L,48.0,44,83,0.53,11,28,0.393,12,19,0.632,5,36,41,29,15.0,8,9,8,18,20,111,-5.0,1,21,21,21,5,11,47,4,33,53,22,59,53,65,67,18,45,10,38,25,1,57,20,36,24,30,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
34,2020-21,1610612765,DET,Detroit Pistons,22000649,2021-03-21,DET vs. CHI,L,48.0,32,82,0.39,4,25,0.16,18,25,0.72,8,29,37,20,15.0,11,5,8,16,22,86,-14.0,1,21,21,21,5,67,52,62,72,67,72,28,25,47,45,53,58,57,38,5,30,57,10,21,70,56,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
35,2020-21,1610612765,DET,Detroit Pistons,22000635,2021-03-19,DET @ HOU,W,48.0,37,85,0.435,14,29,0.483,25,28,0.893,12,37,49,28,13.0,7,4,4,17,17,113,13.0,1,1,1,1,5,41,35,47,15,47,4,6,19,6,14,13,8,15,16,39,45,13,18,56,21,10,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
36,2020-21,1610612765,DET,Detroit Pistons,22000616,2021-03-17,DET vs. TOR,W,48.0,38,75,0.507,12,29,0.414,28,32,0.875,13,41,54,23,21.0,8,5,6,30,26,116,4.0,1,1,1,1,5,34,66,12,30,47,15,3,7,8,9,3,4,40,67,25,30,37,70,5,17,18,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
37,2020-21,1610612765,DET,Detroit Pistons,22000428,2021-03-15,DET vs. SAS,L,48.0,39,83,0.47,7,25,0.28,14,25,0.56,8,26,34,22,10.0,9,5,9,9,23,99,-10.0,1,21,21,21,5,29,47,26,67,67,63,49,25,71,45,64,65,44,6,13,30,65,1,16,54,42,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
38,2020-21,1610612765,DET,Detroit Pistons,22000587,2021-03-13,DET @ BKN,L,48.0,36,89,0.404,8,32,0.25,15,20,0.75,12,34,46,26,13.0,10,8,7,16,16,95,-5.0,1,21,21,21,5,50,22,59,62,38,65,45,45,36,14,31,19,23,16,7,3,48,10,62,60,30,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
39,2020-21,1610612765,DET,Detroit Pistons,22000568,2021-03-11,DET @ CHA,L,48.0,38,85,0.447,15,46,0.326,11,14,0.786,11,39,50,27,14.0,6,5,3,21,14,102,-3.0,1,21,21,21,5,34,35,41,9,1,45,65,67,31,23,8,6,17,31,48,30,6,36,68,45,25,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
40,2020-21,1610612765,DET,Detroit Pistons,22000565,2021-03-04,DET @ NYK,L,48.0,39,80,0.488,14,36,0.389,12,15,0.8,6,23,29,23,13.0,6,2,4,13,13,104,-10.0,1,21,21,21,5,29,60,19,15,17,25,59,64,26,62,69,72,40,16,48,66,13,3,70,42,42,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
41,2020-21,1610612765,DET,Detroit Pistons,22000539,2021-03-03,DET @ TOR,W,48.0,48,91,0.527,20,41,0.488,13,21,0.619,12,37,49,39,14.0,11,4,5,28,20,129,24.0,1,1,1,1,5,2,15,8,1,7,2,52,40,66,14,13,8,1,31,5,45,23,66,36,2,2,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
42,2020-21,1610612765,DET,Detroit Pistons,22000521,2021-02-28,DET vs. NYK,L,48.0,28,72,0.389,9,32,0.281,25,31,0.806,7,33,40,16,16.0,8,4,7,15,23,90,-19.0,1,21,21,21,5,72,70,63,53,38,61,6,11,25,51,40,47,70,45,25,45,48,9,16,69,67,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
43,2020-21,1610612765,DET,Detroit Pistons,22000504,2021-02-26,DET vs. SAC,L,48.0,37,82,0.451,12,33,0.364,21,32,0.656,10,35,45,20,11.0,6,6,6,25,25,107,-3.0,1,21,21,21,5,41,52,38,30,36,30,21,7,62,27,26,25,57,9,48,19,37,60,8,33,25,10.72,30.78,0.348,0.366,-0.018,100.1,110.3
