,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612744,GSW,Golden State Warriors,0022001070,2021-05-16,GSW vs. MEM,W,48.0,41,83,0.494,15,39,0.385,16,18,0.889,12,34,46,26,20.0,9,4,5,19,21,113,12.0,1,1,1,1,2,35,56,25,27,31,33,32,46,10,5,36,18,41,65,23,36,38,15,28,40,20
1,2020-21,1610612744,GSW,Golden State Warriors,0022001059,2021-05-14,GSW vs. NOP,W,48.0,42,87,0.483,17,39,0.436,24,30,0.8,8,38,46,29,12.0,4,4,3,21,23,125,3.0,1,1,1,1,2,29,42,32,15,31,16,10,9,30,34,19,18,28,14,64,36,17,35,12,12,34
2,2020-21,1610612744,GSW,Golden State Warriors,0022001039,2021-05-11,GSW vs. PHX,W,48.0,47,95,0.495,11,40,0.275,17,20,0.85,12,28,40,33,10.0,8,1,6,20,20,122,6.0,1,1,1,1,2,8,10,22,56,26,63,28,38,20,5,68,48,10,1,33,66,51,30,33,16,30
3,2020-21,1610612744,GSW,Golden State Warriors,0022001030,2021-05-10,GSW vs. UTA,W,48.0,41,88,0.466,14,42,0.333,23,25,0.92,9,32,41,26,10.0,8,2,1,20,20,119,3.0,1,1,1,1,2,35,33,39,38,20,52,11,15,3,21,49,42,41,1,33,60,2,30,33,21,34
4,2020-21,1610612744,GSW,Golden State Warriors,0022001017,2021-05-08,GSW vs. OKC,W,48.0,47,81,0.58,27,54,0.5,15,18,0.833,2,44,46,31,19.0,5,4,1,19,16,136,39.0,1,1,1,1,2,8,62,2,1,1,6,36,46,22,72,4,18,17,62,58,36,2,15,53,5,1
5,2020-21,1610612744,GSW,Golden State Warriors,0022001001,2021-05-06,GSW vs. OKC,W,48.0,42,86,0.488,19,47,0.404,15,18,0.833,7,42,49,36,14.0,4,1,1,19,19,118,21.0,1,1,1,1,2,29,44,28,9,5,25,36,46,22,42,7,9,7,28,64,66,2,15,39,24,11
6,2020-21,1610612744,GSW,Golden State Warriors,0022000987,2021-05-04,GSW @ NOP,L,48.0,39,93,0.419,20,53,0.377,5,7,0.714,8,40,48,22,18.0,7,9,3,17,9,103,-5.0,1,40,40,40,2,45,14,59,5,2,38,72,72,52,34,12,11,60,57,44,4,17,8,71,57,47
7,2020-21,1610612744,GSW,Golden State Warriors,0022000977,2021-05-03,GSW @ NOP,W,48.0,47,88,0.534,17,44,0.386,12,14,0.857,5,33,38,31,15.0,9,8,4,28,8,123,15.0,1,1,1,1,2,8,33,10,15,15,32,57,62,17,54,43,57,17,34,23,6,28,68,72,14,15
8,2020-21,1610612744,GSW,Golden State Warriors,0022000958,2021-05-01,GSW @ HOU,W,48.0,39,84,0.464,18,46,0.391,17,24,0.708,4,46,50,32,17.0,10,8,3,18,18,113,26.0,1,1,1,1,2,45,53,42,11,8,30,28,20,55,62,1,7,13,52,15,6,17,9,44,40,7
9,2020-21,1610612744,GSW,Golden State Warriors,0022000946,2021-04-29,GSW @ MIN,L,48.0,42,85,0.494,15,38,0.395,15,21,0.714,4,30,34,28,10.0,10,7,2,21,21,114,-12.0,1,40,40,40,2,29,50,24,27,36,28,36,32,52,62,62,69,33,1,15,13,8,35,28,35,57
