,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612745,HOU,Houston Rockets,0022001066,2021-05-16,HOU @ ATL,L,48.0,31,92,0.337,18,63,0.286,15,20,0.75,11,32,43,25,16.0,8,5,8,18,16,95,-29.0,1,18,18,18,2,68,14,71,7,1,54,40,40,30,18,40,33,25,43,21,25,60,19,55,62,69
1,2020-21,1610612745,HOU,Houston Rockets,0022001058,2021-05-14,HOU vs. LAC,W,48.0,46,86,0.535,14,37,0.378,16,22,0.727,8,33,41,30,16.0,4,4,5,20,15,122,7.0,1,1,1,1,2,8,44,5,29,48,23,34,31,39,43,34,40,6,43,69,44,31,39,60,12,11
2,2020-21,1610612745,HOU,Houston Rockets,0022001046,2021-05-12,HOU @ LAL,L,48.0,43,85,0.506,18,42,0.429,18,27,0.667,8,33,41,33,15.0,7,4,3,23,20,122,-2.0,1,18,18,18,2,14,55,10,7,27,11,24,15,59,43,34,40,3,37,32,44,6,58,29,12,18
3,2020-21,1610612745,HOU,Houston Rockets,0022001031,2021-05-10,HOU @ POR,L,48.0,42,85,0.494,18,38,0.474,27,28,0.964,7,37,44,30,13.0,5,2,4,26,18,129,-11.0,1,18,18,18,2,18,55,16,7,44,4,3,12,1,53,17,29,6,19,60,67,20,70,42,7,37
4,2020-21,1610612745,HOU,Houston Rockets,0022001016,2021-05-08,HOU @ UTA,L,48.0,43,98,0.439,18,51,0.353,12,17,0.706,9,31,40,25,9.0,11,3,4,15,13,116,-8.0,1,18,18,18,2,14,6,37,7,4,29,55,55,47,37,47,47,25,4,6,56,20,5,69,19,33
5,2020-21,1610612745,HOU,Houston Rockets,0022001006,2021-05-07,HOU @ MIL,L,48.0,48,96,0.5,25,53,0.472,12,18,0.667,7,30,37,36,16.0,10,5,5,21,14,133,-8.0,1,18,18,18,2,5,9,12,2,2,5,55,50,59,53,53,60,1,43,10,25,31,46,66,3,33
6,2020-21,1610612745,HOU,Houston Rockets,0022000994,2021-05-05,HOU vs. PHI,L,48.0,42,93,0.452,17,45,0.378,14,18,0.778,12,26,38,28,13.0,6,5,6,16,16,115,-20.0,1,18,18,18,2,18,13,33,13,17,24,46,50,25,9,66,54,10,19,50,25,44,10,55,21,58
7,2020-21,1610612745,HOU,Houston Rockets,0022000971,2021-05-02,HOU vs. NYK,L,48.0,34,79,0.43,8,35,0.229,21,32,0.656,14,33,47,19,18.0,6,5,1,18,21,97,-25.0,1,18,18,18,2,60,67,40,66,57,65,9,6,62,4,34,16,59,57,50,25,1,19,16,59,64
8,2020-21,1610612745,HOU,Houston Rockets,0022000958,2021-05-01,HOU vs. GSW,L,48.0,32,89,0.36,9,42,0.214,14,22,0.636,10,39,49,20,20.0,9,3,8,18,18,87,-26.0,1,18,18,18,2,66,28,69,62,27,68,46,31,64,20,7,9,54,66,15,56,60,19,42,70,67
9,2020-21,1610612745,HOU,Houston Rockets,0022000945,2021-04-29,HOU vs. MIL,W,48.0,49,98,0.5,25,46,0.543,20,24,0.833,16,36,52,23,18.0,6,6,5,23,21,143,7.0,1,1,1,1,2,3,6,12,2,14,1,15,24,9,2,22,1,40,57,50,14,31,58,16,1,11
