,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
12,2020-21,IND,Indiana Pacers,22001079,2021-05-16,IND @ TOR,1610612761,39.42,85.08,0.463,0.465,-0.002,Toronto Raptors,TOR,36,36,0.422,20.97,35.89,0.584,0.574,0.01,25.72,49.14,0.523,0.527,-0.004,13.69,35.94,0.381,0.366,0.015,101.6,109.8
15,2020-21,IND,Indiana Pacers,22001061,2021-05-15,IND vs. LAL,1610612747,39.46,84.37,0.468,0.466,0.002,Los Angeles Lakers,LAL,35,35,0.422,21.09,35.6,0.592,0.575,0.017,28.43,52.57,0.541,0.53,0.011,11.03,31.8,0.347,0.37,-0.023,100.8,104.8
17,2020-21,IND,Indiana Pacers,22001048,2021-05-13,IND vs. MIL,1610612749,42.92,93.81,0.458,0.466,-0.009,Milwaukee Bucks,MIL,36,36,0.364,18.64,34.14,0.546,0.574,-0.028,27.36,54.39,0.503,0.528,-0.025,15.56,39.42,0.395,0.366,0.029,104.4,109.1
20,2020-21,IND,Indiana Pacers,22001035,2021-05-11,IND vs. PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,PHI,36,36,0.425,21.19,35.72,0.593,0.575,0.018,27.28,52.94,0.515,0.528,-0.013,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
1,2020-21,IND,Indiana Pacers,22001027,2021-05-10,IND @ CLE,1610612739,42.5,87.31,0.487,0.466,0.021,Cleveland Cavaliers,CLE,36,36,0.469,24.44,40.94,0.597,0.578,0.019,30.67,55.06,0.557,0.532,0.025,11.83,32.25,0.367,0.365,0.002,99.6,112.1
23,2020-21,IND,Indiana Pacers,22001012,2021-05-08,IND vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
26,2020-21,IND,Indiana Pacers,22001000,2021-05-06,IND vs. ATL,1610612737,41.53,89.42,0.464,0.466,-0.001,Atlanta Hawks,ATL,36,36,0.421,21.75,37.67,0.577,0.576,0.001,29.5,55.11,0.535,0.53,0.006,12.03,34.31,0.351,0.363,-0.012,99.9,110.6
29,2020-21,IND,Indiana Pacers,22000993,2021-05-05,IND vs. SAC,1610612758,42.69,88.56,0.482,0.463,0.02,Sacramento Kings,SAC,36,36,0.473,24.81,41.92,0.592,0.572,0.02,31.36,56.75,0.553,0.528,0.025,11.33,31.81,0.356,0.36,-0.004,102.2,114.6
24,2020-21,IND,Indiana Pacers,22000976,2021-05-03,IND @ WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,WAS,38,38,0.445,23.39,41.29,0.567,0.571,-0.004,31.89,60.32,0.529,0.528,0.001,11.47,32.42,0.354,0.365,-0.011,106.4,110.5
31,2020-21,IND,Indiana Pacers,22000963,2021-05-01,IND @ OKC,1610612760,44.56,91.94,0.485,0.467,0.017,Oklahoma City Thunder,OKC,36,36,0.411,22.64,37.75,0.6,0.576,0.024,30.14,54.03,0.558,0.532,0.026,14.42,37.92,0.38,0.368,0.012,103.1,111.9
