,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612763,MEM,Memphis Grizzlies,22000056,2020-12-30,MEM @ BOS,L,48.0,40,93,0.43,9,33,0.273,18,25,0.72,14,32,46,26,22.0,8,3,11,13,21,107,-19.0,1,39,39,39,5,43,28,54,48,23,60,24,19,54,12,53,34,42,72,38,53,71,4,11,49,66,13.06,34.84,0.375,0.361,0.014,102.6,108.5
1,2020-21,1610612763,MEM,Memphis Grizzlies,22000042,2020-12-28,MEM @ BKN,W,53.0,42,98,0.429,10,29,0.345,22,29,0.759,16,40,56,20,19.0,10,4,6,17,20,116,5.0,1,1,1,1,2,33,10,55,40,46,36,12,8,45,8,13,4,64,68,23,39,42,20,18,27,30,13.06,34.84,0.375,0.361,0.014,102.6,108.5
2,2020-21,1610612763,MEM,Memphis Grizzlies,22000021,2020-12-26,MEM vs. ATL,L,48.0,37,93,0.398,13,43,0.302,25,29,0.862,9,37,46,20,10.0,5,6,5,27,20,112,-10.0,1,39,39,39,5,59,28,65,18,2,52,5,8,14,49,24,34,64,11,65,16,30,69,18,38,52,13.06,34.84,0.375,0.361,0.014,102.6,108.5
3,2020-21,1610612763,MEM,Memphis Grizzlies,22000017,2020-12-23,MEM vs. SAS,L,48.0,49,95,0.516,10,27,0.37,11,18,0.611,5,37,42,27,11.0,6,8,8,20,18,119,-12.0,1,39,39,39,5,15,18,14,40,55,29,60,48,71,71,24,56,28,15,58,7,61,42,40,25,55,13.06,34.84,0.375,0.361,0.014,102.6,108.5
4,2020-21,1610612763,MEM,Memphis Grizzlies,22001070,2021-05-16,MEM @ GSW,L,48.0,40,92,0.435,6,25,0.24,15,19,0.789,12,27,39,25,13.0,12,5,4,21,19,101,-12.0,1,39,39,39,5,43,34,51,64,60,66,41,42,29,22,65,64,47,31,13,30,17,51,28,59,55,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
5,2020-21,1610612763,MEM,Memphis Grizzlies,22000263,2021-05-14,MEM vs. SAC,W,48.0,37,84,0.44,11,33,0.333,22,35,0.629,9,40,49,23,13.0,8,5,2,20,21,107,1.0,1,1,1,1,5,59,63,49,32,23,40,12,1,68,49,13,20,56,31,38,30,3,42,11,49,38,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
6,2020-21,1610612763,MEM,Memphis Grizzlies,22000255,2021-05-13,MEM vs. SAC,W,48.0,45,90,0.5,11,33,0.333,15,18,0.833,12,36,48,30,18.0,2,9,9,13,16,116,6.0,1,1,1,1,5,24,40,19,32,23,40,41,48,21,22,32,25,21,64,72,6,68,4,51,27,28,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
7,2020-21,1610612763,MEM,Memphis Grizzlies,22001037,2021-05-11,MEM vs. DAL,W,48.0,51,89,0.573,16,33,0.485,15,16,0.938,10,34,44,32,11.0,11,6,2,16,15,133,29.0,1,1,1,1,5,6,46,1,8,23,7,41,56,4,38,42,47,12,15,16,16,3,18,58,3,3,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
8,2020-21,1610612763,MEM,Memphis Grizzlies,22001028,2021-05-10,MEM vs. NOP,W,48.0,45,91,0.495,9,30,0.3,16,27,0.593,10,39,49,33,12.0,8,19,4,17,18,115,5.0,1,1,1,1,5,24,37,24,48,38,53,35,16,72,38,16,20,6,24,38,1,17,20,40,32,30,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
9,2020-21,1610612763,MEM,Memphis Grizzlies,22001014,2021-05-08,MEM @ TOR,W,48.0,38,85,0.447,14,43,0.326,19,26,0.731,14,42,56,24,17.0,7,8,2,21,21,109,10.0,1,1,1,1,5,55,59,46,13,2,45,20,17,51,12,7,4,51,58,46,7,3,51,11,43,21,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
10,2020-21,1610612763,MEM,Memphis Grizzlies,22000999,2021-05-06,MEM @ DET,L,48.0,38,89,0.427,10,37,0.27,11,17,0.647,12,30,42,25,15.0,7,5,6,14,18,97,-14.0,1,39,39,39,5,55,46,56,40,17,63,60,55,66,22,62,56,47,46,46,30,42,8,40,64,60,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
11,2020-21,1610612763,MEM,Memphis Grizzlies,22000183,2021-05-05,MEM @ MIN,W,48.0,52,97,0.536,14,29,0.483,21,28,0.75,12,34,46,30,14.0,6,4,5,19,22,139,4.0,1,1,1,1,5,3,13,9,13,46,8,14,13,46,22,42,34,21,40,58,39,30,41,7,1,33,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
12,2020-21,1610612763,MEM,Memphis Grizzlies,22000980,2021-05-03,MEM vs. NYK,L,48.0,34,86,0.395,16,41,0.39,20,24,0.833,13,33,46,26,12.0,7,4,8,14,21,104,-14.0,1,39,39,39,5,69,57,67,8,5,25,17,22,21,18,48,34,42,24,46,39,61,8,11,55,60,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
13,2020-21,1610612763,MEM,Memphis Grizzlies,22000961,2021-05-01,MEM @ ORL,L,48.0,44,96,0.458,10,29,0.345,13,21,0.619,17,38,55,21,17.0,6,10,5,20,17,111,-1.0,1,39,39,39,5,28,17,42,40,46,36,50,35,69,4,21,9,62,58,58,3,30,42,47,39,39,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
14,2020-21,1610612763,MEM,Memphis Grizzlies,22000953,2021-04-30,MEM vs. ORL,W,48.0,34,99,0.343,11,39,0.282,13,16,0.813,15,42,57,25,9.0,10,8,6,15,19,92,17.0,1,1,1,1,5,69,6,72,32,11,56,50,56,24,10,7,3,47,8,23,7,42,14,28,68,6,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
15,2020-21,1610612763,MEM,Memphis Grizzlies,22000939,2021-04-28,MEM vs. POR,L,48.0,37,88,0.42,9,32,0.281,26,30,0.867,8,36,44,26,11.0,7,6,6,21,20,109,-21.0,1,39,39,39,5,59,50,59,48,30,57,2,6,13,57,32,47,42,15,46,16,42,51,18,43,68,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
16,2020-21,1610612763,MEM,Memphis Grizzlies,22000925,2021-04-26,MEM @ DEN,L,48.0,34,81,0.42,4,32,0.125,24,31,0.774,6,39,45,20,16.0,8,6,3,22,20,96,-24.0,1,39,39,39,5,69,70,60,72,30,72,6,4,37,68,16,42,64,54,38,16,8,57,18,66,70,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
17,2020-21,1610612763,MEM,Memphis Grizzlies,22000240,2021-04-25,MEM @ POR,W,48.0,42,91,0.462,12,23,0.522,24,28,0.857,8,46,54,22,15.0,9,7,6,22,22,120,7.0,1,1,1,1,5,33,37,38,26,63,2,6,13,15,57,2,10,60,46,35,12,42,57,7,22,27,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
18,2020-21,1610612763,MEM,Memphis Grizzlies,22000225,2021-04-23,MEM @ POR,W,48.0,52,98,0.531,9,30,0.3,17,22,0.773,8,31,39,33,9.0,7,5,3,21,20,130,2.0,1,1,1,1,5,3,10,12,48,38,53,30,34,38,57,58,64,6,8,46,30,8,51,18,8,36,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
19,2020-21,1610612763,MEM,Memphis Grizzlies,22000889,2021-04-21,MEM @ LAC,L,48.0,38,84,0.452,13,30,0.433,16,23,0.696,11,31,42,19,13.0,6,8,5,29,17,105,-12.0,1,39,39,39,5,55,63,44,18,38,13,35,29,57,28,58,56,68,31,58,7,30,71,47,53,55,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
20,2020-21,1610612763,MEM,Memphis Grizzlies,22000874,2021-04-19,MEM @ DEN,L,58.0,51,107,0.477,17,40,0.425,18,24,0.75,10,37,47,33,15.0,15,3,6,24,19,137,-2.0,1,39,39,39,1,6,3,30,3,7,15,24,22,46,38,24,30,6,46,3,53,42,64,28,2,43,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
21,2020-21,1610612763,MEM,Memphis Grizzlies,22000859,2021-04-17,MEM @ MIL,W,48.0,51,93,0.548,15,40,0.375,11,12,0.917,7,36,43,31,11.0,10,3,1,18,8,128,13.0,1,1,1,1,5,6,28,4,11,7,28,60,68,5,63,32,51,14,15,23,53,1,31,72,12,15,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
22,2020-21,1610612763,MEM,Memphis Grizzlies,22000850,2021-04-16,MEM @ CHI,W,48.0,45,86,0.523,17,40,0.425,19,24,0.792,6,36,42,33,6.0,9,4,1,17,20,126,11.0,1,1,1,1,5,24,57,13,3,7,15,20,22,28,68,32,56,6,1,35,39,1,20,18,14,18,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
23,2020-21,1610612763,MEM,Memphis Grizzlies,22000837,2021-04-14,MEM vs. DAL,L,48.0,42,90,0.467,13,34,0.382,16,21,0.762,11,34,45,27,7.0,7,3,3,18,17,113,-1.0,1,39,39,39,5,33,40,34,18,21,27,35,35,42,28,42,42,28,3,46,53,8,31,47,35,39,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
24,2020-21,1610612763,MEM,Memphis Grizzlies,22000278,2021-04-12,MEM vs. CHI,W,48.0,40,85,0.471,9,28,0.321,12,14,0.857,10,41,51,27,20.0,7,7,3,20,16,101,11.0,1,1,1,1,5,43,59,33,48,52,46,54,63,15,38,11,15,28,70,46,12,8,42,51,59,18,12.7,35.25,0.36,0.369,-0.009,102.6,108.5
