,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612748,MIA,Miami Heat,22000058,2020-12-30,MIA vs. MIL,W,48.0,40,82,0.488,15,39,0.385,24,29,0.828,10,42,52,25,22.0,5,5,6,18,25,119,11.0,1,1,1,1,5,29,40,26,18,17,28,6,5,28,13,4,3,41,69,56,20,55,23,4,14,12,14.83,40.94,0.362,0.367,-0.005,98.7,108.5
1,2020-21,1610612748,MIA,Miami Heat,22000051,2020-12-29,MIA vs. MIL,L,48.0,37,79,0.468,11,37,0.297,12,18,0.667,3,27,30,23,22.0,9,6,2,18,22,97,-47.0,1,41,41,41,5,46,58,38,51,23,55,56,50,62,69,64,68,57,69,23,9,8,23,15,62,72,14.83,40.94,0.362,0.367,-0.005,98.7,108.5
2,2020-21,1610612748,MIA,Miami Heat,22000005,2020-12-25,MIA vs. NOP,W,48.0,38,75,0.507,16,37,0.432,19,23,0.826,4,31,35,29,17.0,11,2,2,25,20,111,13.0,1,1,1,1,5,43,66,13,9,23,12,22,25,29,64,47,60,18,53,9,52,8,68,31,28,9,14.83,40.94,0.362,0.367,-0.005,98.7,108.5
3,2020-21,1610612748,MIA,Miami Heat,22000012,2020-12-23,MIA @ ORL,L,48.0,42,83,0.506,7,20,0.35,16,19,0.842,7,36,43,25,22.0,11,2,3,21,19,107,-6.0,1,41,41,41,5,22,35,15,69,72,44,35,47,22,43,22,30,41,69,9,52,18,48,40,40,50,14.83,40.94,0.362,0.367,-0.005,98.7,108.5
4,2020-21,1610612748,MIA,Miami Heat,22001069,2021-05-16,MIA @ DET,W,48.0,47,84,0.56,13,34,0.382,13,20,0.65,6,33,39,32,12.0,11,5,4,19,21,120,13.0,1,1,1,1,5,4,30,5,28,42,29,52,39,63,47,34,42,7,25,9,20,36,32,22,13,9,13.69,37.22,0.368,0.363,0.005,98.7,108.5
5,2020-21,1610612748,MIA,Miami Heat,22001062,2021-05-15,MIA @ MIL,L,48.0,40,96,0.417,22,49,0.449,6,8,0.75,9,29,38,25,11.0,8,3,3,18,15,108,-14.0,1,41,41,41,5,29,4,61,1,3,8,71,71,49,22,56,48,41,12,30,44,18,23,65,37,60,13.69,37.22,0.368,0.363,0.005,98.7,108.5
6,2020-21,1610612748,MIA,Miami Heat,22001050,2021-05-13,MIA vs. PHI,W,48.0,41,81,0.506,13,35,0.371,11,11,1.0,15,32,47,26,20.0,5,6,1,15,18,106,12.0,1,1,1,1,5,25,46,14,28,37,33,63,67,1,4,39,16,37,65,56,9,2,12,46,43,11,13.69,37.22,0.368,0.363,0.005,98.7,108.5
7,2020-21,1610612748,MIA,Miami Heat,22001032,2021-05-11,MIA @ BOS,W,48.0,48,81,0.593,16,30,0.533,17,22,0.773,6,37,43,25,14.0,7,4,5,21,21,129,8.0,1,1,1,1,5,2,46,1,9,63,1,32,29,47,47,17,30,41,34,40,31,49,48,22,3,21,13.69,37.22,0.368,0.363,0.005,98.7,108.5
8,2020-21,1610612748,MIA,Miami Heat,22000145,2021-05-09,MIA @ BOS,W,48.0,47,82,0.573,16,35,0.457,20,22,0.909,3,32,35,30,11.0,8,2,3,20,22,130,6.0,1,1,1,1,5,4,40,3,9,37,5,15,29,7,69,39,60,11,12,30,52,18,38,15,2,28,13.69,37.22,0.368,0.363,0.005,98.7,108.5
9,2020-21,1610612748,MIA,Miami Heat,22001005,2021-05-07,MIA vs. MIN,W,48.0,44,87,0.506,13,32,0.406,20,27,0.741,8,29,37,27,14.0,9,2,4,22,24,121,9.0,1,1,1,1,5,13,17,17,28,56,20,15,8,52,32,56,52,29,34,23,52,36,60,8,10,18,13.69,37.22,0.368,0.363,0.005,98.7,108.5
10,2020-21,1610612748,MIA,Miami Heat,22000986,2021-05-04,MIA vs. DAL,L,48.0,39,84,0.464,18,41,0.439,17,21,0.81,8,31,39,30,12.0,9,2,4,17,17,113,-14.0,1,41,41,41,5,35,30,40,5,14,11,32,36,35,32,47,42,11,25,23,52,36,19,53,22,60,13.69,37.22,0.368,0.363,0.005,98.7,108.5
11,2020-21,1610612748,MIA,Miami Heat,22000969,2021-05-02,MIA @ CHA,W,48.0,45,88,0.511,11,38,0.289,20,27,0.741,11,31,42,30,11.0,10,6,1,22,20,121,10.0,1,1,1,1,5,11,16,12,51,20,58,15,8,52,9,47,34,11,12,18,9,2,60,31,10,14,13.69,37.22,0.368,0.363,0.005,98.7,108.5
12,2020-21,1610612748,MIA,Miami Heat,22000960,2021-05-01,MIA @ CLE,W,48.0,47,87,0.54,18,36,0.5,12,15,0.8,10,27,37,30,8.0,12,1,4,16,17,124,17.0,1,1,1,1,5,4,17,7,5,29,2,56,62,37,13,64,52,11,2,6,63,36,16,53,5,5,13.69,37.22,0.368,0.363,0.005,98.7,108.5
13,2020-21,1610612748,MIA,Miami Heat,22000938,2021-04-28,MIA vs. SAS,W,48.0,43,85,0.506,9,25,0.36,21,24,0.875,10,38,48,26,13.0,4,1,3,23,20,116,5.0,1,1,1,1,5,18,27,16,61,70,39,12,22,15,13,12,12,37,30,63,63,18,64,31,18,32,13.69,37.22,0.368,0.363,0.005,98.7,108.5
14,2020-21,1610612748,MIA,Miami Heat,22000922,2021-04-26,MIA vs. CHI,L,48.0,36,84,0.429,7,36,0.194,23,25,0.92,6,28,34,18,6.0,13,4,4,19,21,102,-8.0,1,41,41,41,5,51,30,57,69,29,72,8,16,5,47,60,63,70,1,3,31,36,32,22,53,52,13.69,37.22,0.368,0.363,0.005,98.7,108.5
15,2020-21,1610612748,MIA,Miami Heat,22000907,2021-04-24,MIA vs. CHI,W,48.0,36,80,0.45,14,37,0.378,20,24,0.833,6,31,37,22,13.0,11,2,2,12,20,106,5.0,1,1,1,1,5,51,52,48,23,23,30,15,22,25,47,47,52,60,30,9,52,8,1,31,43,32,13.69,37.22,0.368,0.363,0.005,98.7,108.5
16,2020-21,1610612748,MIA,Miami Heat,22000898,2021-04-23,MIA @ ATL,L,48.0,38,79,0.481,13,37,0.351,14,16,0.875,6,24,30,24,13.0,10,5,2,18,17,103,-15.0,1,41,41,41,5,43,58,31,28,23,43,49,60,15,47,70,68,48,30,18,20,8,23,53,51,63,13.69,37.22,0.368,0.363,0.005,98.7,108.5
17,2020-21,1610612748,MIA,Miami Heat,22000888,2021-04-21,MIA @ SAS,W,48.0,39,83,0.47,13,31,0.419,16,20,0.8,9,35,44,28,8.0,8,1,7,20,15,107,20.0,1,1,1,1,5,35,35,37,28,60,14,35,39,37,22,26,26,22,2,30,63,64,38,65,40,4,13.69,37.22,0.368,0.363,0.005,98.7,108.5
18,2020-21,1610612748,MIA,Miami Heat,22000871,2021-04-19,MIA vs. HOU,W,48.0,45,93,0.484,19,48,0.396,4,7,0.571,11,41,52,31,15.0,7,5,3,19,7,113,22.0,1,1,1,1,5,11,6,29,2,5,24,72,72,70,9,6,3,9,43,40,20,18,32,72,22,3,13.69,37.22,0.368,0.363,0.005,98.7,108.5
19,2020-21,1610612748,MIA,Miami Heat,22000863,2021-04-18,MIA vs. BKN,W,48.0,38,87,0.437,16,39,0.41,17,21,0.81,16,37,53,28,17.0,9,1,6,13,17,109,2.0,1,1,1,1,5,43,17,52,9,17,19,32,36,35,2,17,2,22,53,23,63,55,2,53,34,37,13.69,37.22,0.368,0.363,0.005,98.7,108.5
20,2020-21,1610612748,MIA,Miami Heat,22000852,2021-04-16,MIA @ MIN,L,48.0,39,80,0.488,14,34,0.412,19,26,0.731,7,26,33,33,14.0,11,5,2,28,22,111,-8.0,1,41,41,41,5,35,52,27,23,42,18,22,11,54,43,66,64,6,34,9,20,8,72,15,28,52,13.69,37.22,0.368,0.363,0.005,98.7,108.5
