,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612749,MIL,Milwaukee Bucks,22000058,2020-12-30,MIL @ MIA,L,48.0,40,102,0.392,16,41,0.39,12,13,0.923,16,31,47,26,13.0,14,6,5,25,18,108,-11.0,1,47,47,47,3,58,2,71,21,16,32,60,67,5,3,63,40,29,28,3,14,33,69,36,61,61,14.11,37.75,0.374,0.364,0.01,104.4,109.1
1,2020-21,1610612749,MIL,Milwaukee Bucks,22000051,2020-12-29,MIL @ MIA,W,48.0,51,92,0.554,29,51,0.569,13,15,0.867,10,35,45,32,17.0,14,2,6,22,18,144,47.0,1,1,1,1,3,7,36,7,1,1,2,53,61,12,36,49,48,9,60,3,61,46,65,36,1,1,14.11,37.75,0.374,0.364,0.01,104.4,109.1
2,2020-21,1610612749,MIL,Milwaukee Bucks,22000036,2020-12-27,MIL @ NYK,L,48.0,41,95,0.432,7,38,0.184,21,29,0.724,17,27,44,24,11.0,7,5,4,21,23,110,-20.0,1,47,47,47,3,55,22,61,71,28,72,9,7,48,1,69,55,40,12,38,24,22,61,3,57,69,14.11,37.75,0.374,0.364,0.01,104.4,109.1
3,2020-21,1610612749,MIL,Milwaukee Bucks,22000006,2020-12-25,MIL vs. GSW,W,48.0,50,90,0.556,20,36,0.556,18,26,0.692,11,49,60,25,18.0,6,4,6,17,22,138,39.0,1,1,1,1,3,9,42,5,6,43,3,23,14,57,27,2,3,32,66,47,42,46,33,10,6,2,14.11,37.75,0.374,0.364,0.01,104.4,109.1
4,2020-21,1610612749,MIL,Milwaukee Bucks,22000003,2020-12-23,MIL @ BOS,L,48.0,46,90,0.511,14,35,0.4,15,18,0.833,11,41,52,19,16.0,4,6,6,20,17,121,-1.0,1,47,47,47,3,27,42,25,30,46,27,46,50,17,27,20,17,63,47,66,14,46,55,47,36,47,14.11,37.75,0.374,0.364,0.01,104.4,109.1
5,2020-21,1610612749,MIL,Milwaukee Bucks,22001068,2021-05-16,MIL @ CHI,L,48.0,38,90,0.422,12,37,0.324,24,32,0.75,10,31,41,14,12.0,13,5,8,16,20,112,-6.0,1,47,47,47,3,64,42,65,47,35,54,2,2,36,36,63,62,72,18,6,24,63,26,17,53,54,15.56,39.42,0.395,0.366,0.029,104.4,109.1
6,2020-21,1610612749,MIL,Milwaukee Bucks,22001062,2021-05-15,MIL vs. MIA,W,48.0,46,86,0.535,13,35,0.371,17,24,0.708,5,43,48,29,11.0,4,3,3,15,18,122,14.0,1,1,1,1,3,27,56,19,40,46,39,32,21,51,65,12,34,18,12,66,50,11,20,36,35,18,15.56,39.42,0.395,0.366,0.029,104.4,109.1
7,2020-21,1610612749,MIL,Milwaukee Bucks,22001048,2021-05-13,MIL @ IND,W,48.0,54,94,0.574,11,30,0.367,23,31,0.742,10,41,51,34,12.0,5,6,2,10,22,142,9.0,1,1,1,1,3,1,27,3,53,64,44,3,3,42,36,20,24,4,18,57,14,6,2,10,2,30,15.56,39.42,0.395,0.366,0.029,104.4,109.1
8,2020-21,1610612749,MIL,Milwaukee Bucks,22001038,2021-05-11,MIL vs. ORL,W,48.0,43,101,0.426,8,33,0.242,20,27,0.741,17,46,63,16,9.0,10,1,2,15,20,114,12.0,1,1,1,1,3,46,5,64,69,57,70,12,9,43,1,4,1,70,4,16,67,6,20,17,48,23,15.56,39.42,0.395,0.366,0.029,104.4,109.1
9,2020-21,1610612749,MIL,Milwaukee Bucks,22001029,2021-05-10,MIL @ SAS,L,48.0,47,94,0.5,13,41,0.317,18,23,0.783,8,26,34,26,8.0,6,6,5,13,16,125,-21.0,1,47,47,47,3,24,27,31,40,16,60,23,26,28,49,72,70,29,2,47,14,33,8,54,24,70,15.56,39.42,0.395,0.366,0.029,104.4,109.1
