,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001071,2021-05-16,MIN vs. DAL,W,48.0,49,90,0.544,17,40,0.425,21,25,0.84,11,27,38,35,10.0,11,4,5,22,19,136,15.0,1,1,1,1,6,3,42,2,7,19,12,20,25,15,25,64,59,2,5,16,43,26,43,37,2,4
1,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001063,2021-05-15,MIN vs. BOS,L,48.0,39,95,0.411,5,37,0.135,25,34,0.735,20,31,51,22,13.0,8,7,6,19,24,108,-16.0,1,24,24,24,6,40,16,60,72,39,72,7,6,44,1,43,6,54,22,37,17,41,22,11,41,55
2,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001052,2021-05-13,MIN vs. DEN,L,48.0,34,80,0.425,16,41,0.39,19,32,0.594,11,32,43,20,15.0,3,5,3,17,25,103,-11.0,1,24,24,24,6,67,69,48,9,12,19,31,11,68,25,39,32,65,41,69,34,6,13,8,55,48
3,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001033,2021-05-11,MIN @ DET,W,48.0,45,98,0.459,14,48,0.292,15,21,0.714,11,33,44,30,15.0,16,8,5,22,23,119,19.0,1,1,1,1,6,14,10,25,28,3,58,42,40,51,25,32,28,8,41,2,11,26,43,17,20,3
4,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001022,2021-05-09,MIN @ ORL,W,48.0,47,97,0.485,16,45,0.356,18,24,0.75,12,45,57,30,10.0,5,9,5,20,20,128,32.0,1,1,1,1,6,8,12,17,9,5,36,35,30,39,17,1,1,8,5,62,7,26,26,28,8,1
5,2020-21,1610612750,MIN,Minnesota Timberwolves,0022001005,2021-05-07,MIN @ MIA,L,48.0,41,85,0.482,10,37,0.27,20,30,0.667,9,32,41,27,16.0,7,4,2,24,22,112,-9.0,1,24,24,24,6,30,56,19,56,39,60,23,15,61,46,39,43,26,48,44,43,3,53,19,32,44
6,2020-21,1610612750,MIN,Minnesota Timberwolves,0022000183,2021-05-05,MIN vs. MEM,L,48.0,49,94,0.521,19,39,0.487,18,22,0.818,12,29,41,32,14.0,7,5,4,22,19,135,-4.0,1,24,24,24,6,3,20,8,2,27,3,35,36,21,17,57,43,6,29,44,34,16,43,37,5,30
7,2020-21,1610612750,MIN,Minnesota Timberwolves,0022000962,2021-05-01,MIN vs. NOP,L,53.0,48,106,0.453,15,48,0.313,25,32,0.781,13,38,51,35,16.0,17,5,5,30,20,136,-4.0,1,24,24,24,1,5,2,29,19,3,56,7,11,29,13,8,6,2,48,1,34,26,71,28,2,30
8,2020-21,1610612750,MIN,Minnesota Timberwolves,0022000946,2021-04-29,MIN vs. GSW,W,48.0,43,94,0.457,20,41,0.488,20,29,0.69,16,41,57,31,14.0,5,2,7,21,21,126,12.0,1,1,1,1,6,22,20,26,1,12,2,23,17,56,5,4,1,7,29,62,65,53,34,25,10,6
9,2020-21,1610612750,MIN,Minnesota Timberwolves,0022000931,2021-04-27,MIN @ HOU,W,48.0,45,93,0.484,10,38,0.263,14,25,0.56,12,36,48,29,14.0,10,6,4,20,22,114,7.0,1,1,1,1,6,14,25,18,56,30,63,46,25,71,17,15,15,17,29,25,23,16,26,19,28,12
