,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612740,NOP,New Orleans Pelicans,22000067,2020-12-31,NOP @ OKC,W,48.0,44,91,0.484,13,36,0.361,12,19,0.632,14,44,58,23,13.0,9,4,3,16,20,113,33.0,1,1,1,1,7,23,22,32,16,15,32,65,62,59,17,5,2,53,23,21,34,8,17,38,36,3,15.56,39.56,0.393,0.364,0.029,102.3,111.6
1,2020-21,1610612740,NOP,New Orleans Pelicans,22000053,2020-12-29,NOP @ PHX,L,48.0,37,77,0.481,3,24,0.125,9,18,0.5,7,34,41,18,18.0,8,3,4,14,18,86,-25.0,1,32,32,32,7,64,69,35,72,60,72,71,67,69,65,41,58,67,55,27,46,12,8,52,72,70,15.56,39.56,0.393,0.364,0.029,102.3,111.6
2,2020-21,1610612740,NOP,New Orleans Pelicans,22000034,2020-12-27,NOP vs. SAS,W,48.0,36,94,0.383,5,24,0.208,21,29,0.724,13,43,56,15,8.0,11,4,10,16,23,98,3.0,1,1,1,1,7,67,16,72,67,60,66,22,20,43,25,6,6,72,3,8,34,69,17,19,66,29,15.56,39.56,0.393,0.364,0.029,102.3,111.6
3,2020-21,1610612740,NOP,New Orleans Pelicans,22000005,2020-12-25,NOP @ MIA,L,48.0,31,78,0.397,10,35,0.286,26,33,0.788,11,30,41,18,19.0,8,2,2,20,25,98,-13.0,1,32,32,32,7,72,66,69,37,20,50,8,10,25,37,61,58,67,59,27,59,2,49,13,66,59,15.56,39.56,0.393,0.364,0.029,102.3,111.6
4,2020-21,1610612740,NOP,New Orleans Pelicans,22000014,2020-12-23,NOP @ TOR,W,48.0,42,80,0.525,19,42,0.452,10,20,0.5,8,37,45,30,27.0,13,7,5,17,22,113,14.0,1,1,1,1,7,33,65,13,2,4,12,67,58,69,59,27,44,11,72,2,4,22,25,29,36,11,15.56,39.56,0.393,0.364,0.029,102.3,111.6
5,2020-21,1610612740,NOP,New Orleans Pelicans,22001072,2021-05-16,NOP vs. LAL,L,48.0,37,78,0.474,9,25,0.36,15,21,0.714,8,39,47,26,21.0,4,5,5,18,16,98,-12.0,1,32,32,32,7,64,66,38,44,56,34,56,53,44,59,18,37,34,66,64,23,22,33,68,66,58,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
6,2020-21,1610612740,NOP,New Orleans Pelicans,22001059,2021-05-14,NOP @ GSW,L,48.0,46,99,0.465,11,27,0.407,19,28,0.679,12,39,51,21,9.0,6,3,4,23,21,122,-3.0,1,32,32,32,7,13,9,43,31,49,23,30,25,52,27,18,21,62,5,45,46,12,63,33,19,40,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
7,2020-21,1610612740,NOP,New Orleans Pelicans,22000154,2021-05-12,NOP @ DAL,L,48.0,36,87,0.414,7,28,0.25,28,38,0.737,11,33,44,18,13.0,5,2,2,18,27,107,-18.0,1,32,32,32,7,67,45,62,55,43,58,4,5,37,37,47,48,67,23,51,59,2,33,7,57,67,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
8,2020-21,1610612740,NOP,New Orleans Pelicans,22001028,2021-05-10,NOP @ MEM,L,48.0,43,97,0.443,10,23,0.435,14,21,0.667,14,36,50,29,12.0,9,4,19,18,17,110,-5.0,1,32,32,32,7,28,10,52,37,64,15,59,53,54,17,29,26,16,17,21,34,72,33,59,46,44,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
9,2020-21,1610612740,NOP,New Orleans Pelicans,22001020,2021-05-09,NOP @ CHA,W,48.0,45,96,0.469,12,37,0.324,10,22,0.455,16,35,51,26,16.0,11,9,8,20,19,112,2.0,1,1,1,1,7,18,13,40,20,11,41,67,50,72,9,38,21,34,48,8,1,52,49,46,39,30,13.42,36.69,0.366,0.368,-0.002,102.3,111.6
