,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612752,NYK,New York Knicks,0022001073,2021-05-16,NYK vs. BOS,W,48.0,34,79,0.43,13,27,0.481,15,19,0.789,4,37,41,16,11.0,7,6,6,17,19,96,4.0,1,1,1,1,7,57,67,47,25,45,18,38,43,40,70,20,52,65,19,30,17,38,11,22,56,33
1,2020-21,1610612752,NYK,New York Knicks,0022001064,2021-05-15,NYK vs. CHA,W,53.0,45,88,0.511,16,37,0.432,12,15,0.8,7,43,50,29,10.0,3,7,2,20,18,118,9.0,1,1,1,1,1,5,21,13,8,7,26,52,58,33,54,3,11,2,12,68,12,5,31,29,14,25
2,2020-21,1610612752,NYK,New York Knicks,0022000458,2021-05-13,NYK vs. SAS,W,48.0,35,86,0.407,14,35,0.4,18,18,1.0,10,38,48,23,10.0,7,8,6,19,16,102,4.0,1,1,1,1,7,54,36,58,17,14,34,25,48,1,31,14,16,20,12,30,8,38,20,45,45,33
3,2020-21,1610612752,NYK,New York Knicks,0022001041,2021-05-11,NYK @ LAL,L,53.0,34,87,0.391,10,29,0.345,21,23,0.913,5,36,41,19,10.0,8,3,5,21,17,99,-2.0,1,42,42,42,1,57,27,62,48,31,52,14,23,6,64,29,52,49,12,22,57,27,38,39,53,44
4,2020-21,1610612752,NYK,New York Knicks,0022001019,2021-05-09,NYK @ LAC,W,48.0,42,90,0.467,13,32,0.406,9,9,1.0,8,37,45,25,10.0,7,5,1,17,12,106,6.0,1,1,1,1,7,24,15,33,25,24,33,67,71,1,47,20,31,10,12,30,29,2,11,66,36,29
5,2020-21,1610612752,NYK,New York Knicks,0022001009,2021-05-07,NYK @ PHX,L,48.0,38,84,0.452,11,32,0.344,18,23,0.783,6,35,41,24,13.0,2,4,3,25,17,105,-23.0,1,42,42,42,7,40,50,40,40,24,53,25,23,42,58,36,52,13,32,70,41,10,62,39,40,69
6,2020-21,1610612752,NYK,New York Knicks,0022000995,2021-05-05,NYK @ DEN,L,48.0,33,86,0.384,13,35,0.371,18,27,0.667,6,36,42,18,15.0,6,10,7,24,24,97,-16.0,1,42,42,42,7,63,36,65,25,14,42,25,7,63,58,29,49,60,48,40,3,50,60,6,55,64
7,2020-21,1610612752,NYK,New York Knicks,0022000980,2021-05-03,NYK @ MEM,W,48.0,45,89,0.506,14,27,0.519,14,18,0.778,8,37,45,19,10.0,6,8,4,21,14,118,14.0,1,1,1,1,7,5,17,18,17,45,6,42,48,44,47,20,31,49,12,40,8,17,38,53,14,16
8,2020-21,1610612752,NYK,New York Knicks,0022000971,2021-05-02,NYK @ HOU,W,48.0,45,86,0.523,18,35,0.514,14,16,0.875,6,32,38,22,13.0,10,1,5,21,18,122,25.0,1,1,1,1,7,5,36,7,4,14,9,42,53,10,58,55,67,27,32,9,69,27,38,29,8,3
9,2020-21,1610612752,NYK,New York Knicks,0022000937,2021-04-28,NYK vs. CHI,W,48.0,42,91,0.462,12,27,0.444,17,19,0.895,9,32,41,27,4.0,10,9,4,16,12,113,19.0,1,1,1,1,7,24,13,36,31,45,22,30,43,8,39,55,52,5,1,9,5,17,6,66,20,8
