,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612760,OKC,Oklahoma City Thunder,22000067,2020-12-31,OKC vs. NOP,L,48.0,30,80,0.375,15,48,0.313,5,15,0.333,7,33,40,24,19.0,6,3,4,20,16,80,-33.0,1,23,23,23,4,69,64,65,12,1,43,72,63,72,51,48,54,20,57,39,47,22,45,53,71,67,12.75,36.72,0.347,0.365,-0.018,103.1,111.9
1,2020-21,1610612760,OKC,Oklahoma City Thunder,22000052,2020-12-29,OKC vs. ORL,L,48.0,43,87,0.494,11,34,0.324,10,19,0.526,10,37,47,20,20.0,3,7,2,18,23,107,-11.0,1,23,23,23,4,11,34,9,39,38,37,60,42,68,28,27,26,50,60,65,9,5,30,7,28,39,12.75,36.72,0.347,0.365,-0.018,103.1,111.9
2,2020-21,1610612760,OKC,Oklahoma City Thunder,22000043,2020-12-28,OKC vs. UTA,L,48.0,40,86,0.465,15,38,0.395,14,19,0.737,7,30,37,21,17.0,9,5,6,16,19,109,-1.0,1,23,23,23,4,24,41,20,12,24,19,41,42,35,51,59,67,41,38,14,21,40,19,28,22,23,12.75,36.72,0.347,0.365,-0.018,103.1,111.9
3,2020-21,1610612760,OKC,Oklahoma City Thunder,22000022,2020-12-26,OKC @ CHA,W,48.0,40,88,0.455,10,36,0.278,19,24,0.792,9,45,54,25,17.0,10,7,8,21,22,109,2.0,1,1,1,1,4,24,30,28,46,33,57,15,22,23,35,4,8,14,38,9,9,61,52,11,22,18,12.75,36.72,0.347,0.365,-0.018,103.1,111.9
4,2020-21,1610612760,OKC,Oklahoma City Thunder,22001074,2021-05-16,OKC vs. LAC,W,48.0,50,94,0.532,8,26,0.308,9,16,0.563,14,40,54,20,15.0,1,12,3,11,14,117,5.0,1,1,1,1,4,1,12,4,59,66,46,66,56,64,12,11,8,50,29,71,1,10,3,65,10,11,14.42,37.92,0.38,0.368,0.012,103.1,111.9
5,2020-21,1610612760,OKC,Oklahoma City Thunder,22001056,2021-05-14,OKC vs. UTA,L,48.0,36,84,0.429,6,19,0.316,15,16,0.938,10,35,45,13,17.0,6,2,3,20,17,93,-16.0,1,23,23,23,4,51,54,49,71,72,41,35,56,2,28,37,37,70,38,39,58,10,45,47,64,47,14.42,37.92,0.38,0.368,0.012,103.1,111.9
6,2020-21,1610612760,OKC,Oklahoma City Thunder,22001040,2021-05-11,OKC @ SAC,L,48.0,39,84,0.464,9,23,0.391,19,28,0.679,9,36,45,22,18.0,9,5,6,18,21,106,-16.0,1,23,23,23,4,29,54,22,53,69,22,15,8,50,35,34,37,32,49,14,21,40,30,16,32,47,14.42,37.92,0.38,0.368,0.012,103.1,111.9
7,2020-21,1610612760,OKC,Oklahoma City Thunder,22001025,2021-05-09,OKC @ SAC,L,48.0,34,87,0.391,11,37,0.297,19,29,0.655,10,28,38,23,14.0,9,3,11,18,19,98,-28.0,1,23,23,23,4,63,34,62,39,30,53,15,6,53,28,66,60,24,22,14,47,70,30,28,53,61,14.42,37.92,0.38,0.368,0.012,103.1,111.9
8,2020-21,1610612760,OKC,Oklahoma City Thunder,22001017,2021-05-08,OKC @ GSW,L,48.0,38,94,0.404,9,37,0.243,12,20,0.6,11,30,41,21,13.0,10,1,4,16,19,97,-39.0,1,23,23,23,4,36,12,57,53,30,62,47,37,61,21,59,52,41,15,9,65,22,19,28,54,70,14.42,37.92,0.38,0.368,0.012,103.1,111.9
9,2020-21,1610612760,OKC,Oklahoma City Thunder,22001001,2021-05-06,OKC @ GSW,L,48.0,36,88,0.409,9,39,0.231,16,20,0.8,5,34,39,21,10.0,9,1,1,19,19,97,-21.0,1,23,23,23,4,51,30,56,53,17,66,29,37,19,63,43,57,41,3,14,65,3,37,28,54,52,14.42,37.92,0.38,0.368,0.012,103.1,111.9
