,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612753,ORL,Orlando Magic,0022001075,2021-05-16,ORL @ PHI,L,48.0,36,76,0.474,10,28,0.357,35,41,0.854,9,38,47,23,17.0,4,3,5,25,27,117,-11.0,1,22,22,22,3,44,70,14,38,51,29,2,1,20,45,19,31,30,61,58,46,29,71,1,11,40
1,2020-21,1610612753,ORL,Orlando Magic,0022001055,2021-05-14,ORL @ PHI,L,48.0,33,83,0.398,10,30,0.333,21,28,0.75,10,34,44,21,13.0,4,5,8,15,25,97,-25.0,1,22,22,22,3,59,61,50,38,44,38,15,13,41,29,43,45,40,38,58,23,59,19,4,48,61
2,2020-21,1610612753,ORL,Orlando Magic,0022001049,2021-05-13,ORL @ ATL,L,48.0,36,94,0.383,11,36,0.306,10,15,0.667,16,35,51,24,14.0,3,6,5,16,16,93,-23.0,1,22,22,22,3,44,17,59,27,16,48,63,59,63,3,35,8,25,45,68,14,29,26,51,58,58
3,2020-21,1610612753,ORL,Orlando Magic,0022001038,2021-05-11,ORL @ MIL,L,48.0,39,94,0.415,10,30,0.333,14,20,0.7,10,42,52,18,12.0,6,2,1,20,15,102,-12.0,1,22,22,22,3,29,17,44,38,44,38,41,36,55,29,6,7,56,30,35,58,2,56,57,40,44
4,2020-21,1610612753,ORL,Orlando Magic,0022001022,2021-05-09,ORL vs. MIN,L,48.0,36,91,0.396,9,36,0.25,15,22,0.682,10,35,45,20,13.0,5,5,9,20,20,96,-32.0,1,22,22,22,3,44,26,52,51,16,58,32,26,62,29,35,41,43,38,47,23,63,56,22,54,66
5,2020-21,1610612753,ORL,Orlando Magic,0022001004,2021-05-07,ORL @ CHA,L,48.0,41,98,0.418,9,30,0.3,21,28,0.75,14,33,47,19,7.0,6,7,4,24,22,112,-10.0,1,22,22,22,3,22,4,42,51,44,51,15,13,41,11,47,31,50,5,35,9,17,69,13,18,38
6,2020-21,1610612753,ORL,Orlando Magic,0022000990,2021-05-05,ORL vs. BOS,L,48.0,33,85,0.388,6,25,0.24,24,28,0.857,10,35,45,13,19.0,7,7,9,11,23,96,-36.0,1,22,22,22,3,59,54,57,63,61,64,8,13,18,29,35,41,68,67,27,9,63,3,10,54,68
7,2020-21,1610612753,ORL,Orlando Magic,0022000975,2021-05-03,ORL @ DET,W,48.0,45,88,0.511,10,23,0.435,19,25,0.76,9,39,48,27,11.0,6,3,4,18,19,119,7.0,1,1,1,1,3,6,39,3,38,67,14,22,20,39,45,15,25,8,16,35,46,17,37,28,8,11
8,2020-21,1610612753,ORL,Orlando Magic,0022000961,2021-05-01,ORL vs. MEM,W,48.0,38,85,0.447,11,25,0.44,25,28,0.893,6,31,37,20,11.0,10,5,10,17,20,112,1.0,1,1,1,1,3,34,54,28,27,61,12,6,13,9,65,55,64,43,16,9,23,67,32,22,18,19
9,2020-21,1610612753,ORL,Orlando Magic,0022000953,2021-04-30,ORL @ MEM,L,48.0,27,86,0.314,6,26,0.231,15,20,0.75,12,44,56,16,20.0,4,6,8,19,15,75,-17.0,1,22,22,22,3,72,50,72,63,59,65,32,36,41,17,2,2,64,69,58,14,59,49,57,72,54
10,2020-21,1610612753,ORL,Orlando Magic,0022000933,2021-04-28,ORL @ CLE,W,48.0,43,85,0.506,10,29,0.345,13,20,0.65,9,40,49,26,15.0,9,7,3,21,15,109,5.0,1,1,1,1,3,12,54,5,38,48,36,50,36,64,45,11,17,15,52,14,9,7,60,57,24,15
11,2020-21,1610612753,ORL,Orlando Magic,0022000917,2021-04-26,ORL vs. LAL,L,48.0,36,76,0.474,11,25,0.44,20,24,0.833,4,24,28,16,11.0,5,3,5,18,18,103,-11.0,1,22,22,22,3,44,70,14,27,61,12,18,22,21,71,72,72,64,16,47,46,29,37,33,36,40
12,2020-21,1610612753,ORL,Orlando Magic,0022000914,2021-04-25,ORL vs. IND,L,48.0,40,101,0.396,10,32,0.313,22,28,0.786,15,36,51,22,7.0,9,3,5,14,20,112,-19.0,1,22,22,22,3,25,3,51,38,37,47,13,13,35,5,27,8,34,5,14,46,29,14,22,18,55
13,2020-21,1610612753,ORL,Orlando Magic,0022000893,2021-04-22,ORL vs. NOP,L,48.0,36,98,0.367,13,36,0.361,15,19,0.789,13,27,40,13,6.0,6,6,3,18,16,100,-35.0,1,22,22,22,3,44,4,67,16,16,26,32,42,32,12,69,58,68,2,35,14,7,37,51,43,67
14,2020-21,1610612753,ORL,Orlando Magic,0022000876,2021-04-20,ORL @ ATL,L,48.0,34,86,0.395,8,37,0.216,20,29,0.69,6,34,40,13,10.0,11,3,3,19,22,96,-16.0,1,22,22,22,3,56,50,53,56,12,68,18,10,61,65,43,58,68,10,5,46,7,49,13,54,52
15,2020-21,1610612753,ORL,Orlando Magic,0022000864,2021-04-18,ORL vs. HOU,L,48.0,41,91,0.451,11,32,0.344,17,19,0.895,9,27,36,28,15.0,10,5,7,19,21,110,-4.0,1,22,22,22,3,22,26,25,27,37,37,26,42,8,45,69,68,6,52,9,23,53,49,17,23,27
16,2020-21,1610612753,ORL,Orlando Magic,0022000849,2021-04-16,ORL @ TOR,L,48.0,35,77,0.455,8,23,0.348,24,34,0.706,6,29,35,20,11.0,8,4,10,14,24,102,-11.0,1,22,22,22,3,52,69,24,56,67,35,8,4,53,65,63,70,43,16,18,33,67,14,8,40,40
17,2020-21,1610612753,ORL,Orlando Magic,0022000833,2021-04-14,ORL @ CHI,W,48.0,44,89,0.494,12,27,0.444,15,20,0.75,13,33,46,29,7.0,8,10,6,15,16,115,9.0,1,1,1,1,3,8,32,9,21,55,8,32,36,41,12,47,35,3,5,18,1,46,19,51,14,7
18,2020-21,1610612753,ORL,Orlando Magic,0022000816,2021-04-12,ORL vs. SAS,L,48.0,36,80,0.45,5,20,0.25,20,32,0.625,11,33,44,15,15.0,6,2,5,17,26,97,-23.0,1,22,22,22,3,44,67,26,69,71,58,18,5,68,22,47,45,66,52,35,58,29,32,2,48,58
19,2020-21,1610612753,ORL,Orlando Magic,0022000808,2021-04-11,ORL vs. MIL,L,48.0,32,86,0.372,8,36,0.222,15,19,0.789,7,30,37,19,14.0,8,6,7,13,15,87,-37.0,1,22,22,22,3,66,50,63,56,16,66,32,42,32,63,58,64,50,45,18,14,53,8,57,69,69
20,2020-21,1610612753,ORL,Orlando Magic,0022000790,2021-04-09,ORL vs. IND,L,48.0,38,90,0.422,6,24,0.25,24,31,0.774,12,38,50,23,15.0,3,8,10,22,24,106,-5.0,1,22,22,22,3,34,30,40,63,66,58,8,6,37,17,19,14,30,52,68,4,67,63,8,30,28
21,2020-21,1610612753,ORL,Orlando Magic,0022000777,2021-04-07,ORL vs. WAS,L,48.0,44,93,0.473,12,31,0.387,16,23,0.696,11,28,39,22,11.0,11,3,3,16,18,116,-15.0,1,22,22,22,3,8,22,16,21,39,20,28,24,59,22,67,61,34,16,5,46,7,26,33,13,49
