,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612755,PHI,Philadelphia 76ers,22000064,2020-12-31,PHI @ ORL,W,48.0,44,91,0.484,15,33,0.455,13,15,0.867,7,47,54,23,15.0,7,10,5,23,15,116,24.0,1,1,1,1,7,22,20,32,10,22,13,64,65,11,57,1,5,35,40,51,3,36,56,64,32,6,12.78,34.86,0.367,0.366,0.0,101.8,105.1
1,2020-21,1610612755,PHI,Philadelphia 76ers,22000049,2020-12-29,PHI vs. TOR,W,48.0,32,84,0.381,8,31,0.258,28,33,0.848,9,45,54,21,20.0,10,10,7,15,28,100,7.0,1,1,1,1,7,71,44,71,55,27,68,5,12,13,41,4,5,51,62,24,3,57,2,3,62,34,12.78,34.86,0.367,0.366,0.0,101.8,105.1
2,2020-21,1610612755,PHI,Philadelphia 76ers,22000035,2020-12-27,PHI @ CLE,L,48.0,33,79,0.418,12,37,0.324,16,22,0.727,8,31,39,24,22.0,9,5,6,19,22,94,-24.0,1,50,50,50,7,67,63,61,21,8,51,50,47,45,47,51,56,26,69,31,49,47,22,30,67,71,12.78,34.86,0.367,0.366,0.0,101.8,105.1
3,2020-21,1610612755,PHI,Philadelphia 76ers,22000025,2020-12-26,PHI @ NYK,W,48.0,41,88,0.466,11,31,0.355,16,22,0.727,12,35,47,20,12.0,9,6,4,19,23,109,20.0,1,1,1,1,7,30,28,42,30,27,40,50,47,45,18,33,26,53,25,31,31,27,22,25,44,12,12.78,34.86,0.367,0.366,0.0,101.8,105.1
4,2020-21,1610612755,PHI,Philadelphia 76ers,22000013,2020-12-23,PHI vs. WAS,W,48.0,41,87,0.471,8,28,0.286,23,30,0.767,10,37,47,22,18.0,11,8,4,25,26,113,6.0,1,1,1,1,7,30,30,38,55,38,64,18,22,32,32,24,26,48,51,14,13,27,64,8,36,38,12.78,34.86,0.367,0.366,0.0,101.8,105.1
5,2020-21,1610612755,PHI,Philadelphia 76ers,22001075,2021-05-16,PHI vs. ORL,W,48.0,46,94,0.489,19,40,0.475,17,23,0.739,9,32,41,35,12.0,8,5,3,27,25,128,11.0,1,1,1,1,7,16,8,25,1,5,7,46,44,40,41,46,50,1,25,43,49,15,70,11,8,25,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
6,2020-21,1610612755,PHI,Philadelphia 76ers,22001055,2021-05-14,PHI vs. ORL,W,48.0,44,93,0.473,16,34,0.471,18,19,0.947,10,36,46,35,9.0,9,8,5,25,15,122,25.0,1,1,1,1,7,22,15,37,7,20,8,37,58,2,32,28,33,1,3,31,13,36,64,64,18,5,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
7,2020-21,1610612755,PHI,Philadelphia 76ers,22001050,2021-05-13,PHI @ MIA,L,48.0,36,78,0.462,7,25,0.28,15,20,0.75,8,22,30,20,13.0,8,1,6,18,15,94,-12.0,1,50,50,50,7,61,67,46,65,56,65,53,55,36,47,72,72,53,32,43,71,47,17,64,67,64,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
8,2020-21,1610612755,PHI,Philadelphia 76ers,22001035,2021-05-11,PHI @ IND,L,48.0,38,87,0.437,8,26,0.308,10,14,0.714,5,30,35,23,11.0,9,5,6,17,15,94,-9.0,1,50,50,50,7,51,30,55,55,51,58,69,68,53,66,56,65,35,18,31,49,47,9,64,67,58,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
9,2020-21,1610612755,PHI,Philadelphia 76ers,22001013,2021-05-08,PHI vs. DET,W,48.0,41,84,0.488,9,30,0.3,27,31,0.871,9,35,44,22,11.0,11,4,7,18,25,118,14.0,1,1,1,1,7,30,44,28,48,33,61,10,20,10,41,33,42,48,18,14,56,57,17,11,24,21,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
10,2020-21,1610612755,PHI,Philadelphia 76ers,22001003,2021-05-07,PHI vs. NOP,W,48.0,38,85,0.447,15,35,0.429,18,22,0.818,10,41,51,27,17.0,5,6,6,19,21,109,2.0,1,1,1,1,7,51,40,52,10,14,20,37,47,22,32,11,13,10,45,64,31,47,22,33,44,46,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
11,2020-21,1610612755,PHI,Philadelphia 76ers,22000994,2021-05-05,PHI @ HOU,W,48.0,50,94,0.532,15,35,0.429,20,22,0.909,11,36,47,26,10.0,10,6,5,16,16,135,20.0,1,1,1,1,7,3,8,12,10,14,20,31,47,6,26,28,26,18,11,24,31,36,7,59,3,12,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
12,2020-21,1610612755,PHI,Philadelphia 76ers,22000979,2021-05-03,PHI @ CHI,W,48.0,40,75,0.533,11,28,0.393,15,21,0.714,7,37,44,23,18.0,11,6,2,13,15,106,12.0,1,1,1,1,7,40,70,11,30,38,29,53,53,53,57,24,42,35,51,14,31,8,1,64,52,23,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
13,2020-21,1610612755,PHI,Philadelphia 76ers,22000973,2021-05-02,PHI @ SAS,W,53.0,42,94,0.447,11,30,0.367,18,25,0.72,13,36,49,23,13.0,7,9,5,19,25,113,2.0,1,1,1,1,1,28,8,53,30,33,36,37,32,50,10,28,22,35,32,51,9,36,22,11,36,46,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
14,2020-21,1610612755,PHI,Philadelphia 76ers,22000949,2021-04-30,PHI vs. ATL,W,48.0,47,101,0.465,10,28,0.357,22,26,0.846,18,32,50,27,9.0,8,6,8,21,23,126,22.0,1,1,1,1,7,12,5,44,42,38,38,25,29,15,2,46,17,10,3,43,31,64,40,25,13,10,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
15,2020-21,1610612755,PHI,Philadelphia 76ers,22000934,2021-04-28,PHI vs. ATL,W,48.0,48,89,0.539,16,36,0.444,15,22,0.682,11,35,46,29,8.0,12,10,3,22,18,127,44.0,1,1,1,1,7,8,25,9,7,12,17,53,47,60,26,33,33,8,1,8,3,15,51,52,9,1,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
16,2020-21,1610612755,PHI,Philadelphia 76ers,22000918,2021-04-26,PHI vs. OKC,W,48.0,47,86,0.547,14,31,0.452,13,18,0.722,10,31,41,27,21.0,22,7,1,19,16,121,31.0,1,1,1,1,7,12,36,7,16,27,14,64,60,48,32,51,50,10,67,1,18,3,22,59,21,3,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
17,2020-21,1610612755,PHI,Philadelphia 76ers,22000905,2021-04-24,PHI @ MIL,L,48.0,31,82,0.378,7,31,0.226,25,34,0.735,10,31,41,15,17.0,11,4,4,20,28,94,-38.0,1,50,50,50,7,72,50,72,65,27,70,15,11,42,32,51,50,69,45,14,56,27,35,3,67,72,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
18,2020-21,1610612755,PHI,Philadelphia 76ers,22000894,2021-04-22,PHI @ MIL,L,48.0,46,91,0.505,12,27,0.444,13,18,0.722,7,26,33,27,9.0,7,3,8,17,16,117,-7.0,1,50,50,50,7,16,20,22,21,46,17,64,60,48,57,70,70,10,3,51,64,64,9,59,29,55,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
19,2020-21,1610612755,PHI,Philadelphia 76ers,22000883,2021-04-21,PHI vs. PHX,L,48.0,41,80,0.513,13,25,0.52,18,26,0.692,14,30,44,24,17.0,7,7,8,19,21,113,-3.0,1,50,50,50,7,30,59,18,19,56,3,37,29,59,7,56,42,26,45,51,18,64,22,33,36,51,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
20,2020-21,1610612755,PHI,Philadelphia 76ers,22000870,2021-04-19,PHI vs. GSW,L,48.0,35,89,0.393,12,32,0.375,14,18,0.778,10,32,42,26,13.0,9,6,5,21,19,96,-11.0,1,50,50,50,7,63,25,69,21,24,33,59,60,30,32,46,47,18,32,31,31,36,40,46,65,62,11.03,31.19,0.354,0.363,-0.01,101.8,105.1
