,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612756,PHX,Phoenix Suns,0022001078,2021-05-16,PHX @ SAS,W,48.0,53,104,0.51,13,35,0.371,4,4,1.0,10,38,48,36,8.0,7,5,5,13,8,123,2.0,1,1,1,1,8,4,4,24,31,29,40,72,72,1,18,16,13,2,10,28,24,54,3,72,17,47
1,2020-21,1610612756,PHX,Phoenix Suns,0022001065,2021-05-15,PHX @ SAS,W,48.0,52,94,0.553,15,33,0.455,21,22,0.955,7,40,47,32,10.0,10,1,2,15,17,140,37.0,1,1,1,1,8,5,12,8,19,39,13,13,22,10,49,9,18,12,14,7,67,14,11,39,1,1
2,2020-21,1610612756,PHX,Phoenix Suns,0022001053,2021-05-13,PHX vs. POR,W,48.0,41,88,0.466,13,32,0.406,23,26,0.885,10,32,42,22,11.0,4,3,3,17,18,118,1.0,1,1,1,1,8,44,32,54,31,46,24,8,11,29,18,44,37,59,22,64,43,21,21,34,30,48
3,2020-21,1610612756,PHX,Phoenix Suns,0022001039,2021-05-11,PHX @ GSW,L,48.0,41,79,0.519,16,37,0.432,18,20,0.9,6,30,36,26,11.0,4,6,1,20,20,116,-6.0,1,52,52,52,8,44,64,19,13,20,19,23,27,22,54,51,63,38,22,64,12,5,43,20,35,62
4,2020-21,1610612756,PHX,Phoenix Suns,0022001024,2021-05-09,PHX @ LAL,L,48.0,39,73,0.534,11,25,0.44,21,25,0.84,3,29,32,23,15.0,8,6,3,29,21,110,-13.0,1,52,52,52,8,57,71,14,49,65,16,13,12,38,71,59,68,55,52,19,12,21,70,16,47,67
5,2020-21,1610612756,PHX,Phoenix Suns,0022001009,2021-05-07,PHX vs. NYK,W,48.0,43,92,0.467,18,41,0.439,24,25,0.96,7,38,45,26,7.0,5,3,4,17,25,128,23.0,1,1,1,1,8,34,17,52,6,13,18,7,12,8,49,16,24,38,5,57,43,37,21,2,8,7
6,2020-21,1610612756,PHX,Phoenix Suns,0022000992,2021-05-05,PHX @ ATL,L,48.0,33,79,0.418,12,32,0.375,25,29,0.862,10,20,30,19,10.0,9,3,6,16,21,103,-32.0,1,52,52,52,8,72,64,67,38,46,37,3,5,33,18,72,71,67,14,11,43,61,15,16,64,72
7,2020-21,1610612756,PHX,Phoenix Suns,0022000983,2021-05-04,PHX @ CLE,W,53.0,55,105,0.524,12,31,0.387,12,13,0.923,12,36,48,35,7.0,10,11,3,26,13,134,16.0,1,1,1,1,2,1,3,17,38,52,33,49,54,14,8,25,13,5,5,7,1,21,67,63,3,18
8,2020-21,1610612756,PHX,Phoenix Suns,0022000972,2021-05-02,PHX @ OKC,W,48.0,45,84,0.536,12,31,0.387,21,27,0.778,8,31,39,27,11.0,9,7,3,17,22,123,3.0,1,1,1,1,8,23,52,12,38,52,33,13,8,53,39,47,53,34,22,11,5,21,21,11,17,43
9,2020-21,1610612756,PHX,Phoenix Suns,0022000955,2021-04-30,PHX vs. UTA,W,48.0,48,88,0.545,11,33,0.333,14,19,0.737,8,36,44,27,11.0,7,7,5,14,17,121,21.0,1,1,1,1,8,11,32,9,49,39,51,40,30,61,39,25,31,34,22,28,5,54,6,39,22,10
10,2020-21,1610612756,PHX,Phoenix Suns,0022000941,2021-04-28,PHX vs. LAC,W,48.0,43,91,0.473,13,37,0.351,10,13,0.769,15,30,45,23,10.0,9,4,0,11,16,109,8.0,1,1,1,1,8,34,20,49,31,20,48,56,54,55,3,51,24,55,14,11,31,1,1,49,49,27
11,2020-21,1610612756,PHX,Phoenix Suns,0022000920,2021-04-26,PHX @ NYK,W,48.0,45,83,0.542,14,34,0.412,14,17,0.824,5,32,37,23,12.0,5,6,1,13,19,118,8.0,1,1,1,1,8,23,55,11,26,35,23,40,42,45,59,44,59,55,33,57,12,5,3,26,30,27
12,2020-21,1610612756,PHX,Phoenix Suns,0022000912,2021-04-25,PHX @ BKN,L,48.0,43,90,0.478,12,34,0.353,21,25,0.84,15,28,43,22,12.0,5,3,4,24,17,119,-9.0,1,52,52,52,8,34,24,46,38,35,47,13,12,38,3,63,34,59,33,57,43,37,61,39,27,64
13,2020-21,1610612756,PHX,Phoenix Suns,0022000892,2021-04-22,PHX @ BOS,L,48.0,36,88,0.409,6,35,0.171,8,9,0.889,10,28,38,18,17.0,10,2,2,23,12,86,-13.0,1,52,52,52,8,67,32,68,68,29,71,65,68,25,18,63,57,71,63,7,60,14,57,65,71,67
14,2020-21,1610612756,PHX,Phoenix Suns,0022000883,2021-04-21,PHX @ PHI,W,48.0,41,86,0.477,15,42,0.357,19,21,0.905,10,23,33,30,10.0,7,8,7,21,19,116,3.0,1,1,1,1,8,44,45,48,19,10,46,19,24,20,18,71,67,14,14,28,3,67,50,26,35,43
15,2020-21,1610612756,PHX,Phoenix Suns,0022000873,2021-04-19,PHX @ MIL,W,53.0,51,106,0.481,17,42,0.405,9,10,0.9,8,37,45,28,11.0,7,4,3,16,15,128,1.0,1,1,1,1,2,6,2,43,8,10,25,62,66,22,39,21,24,28,22,28,31,21,15,55,8,48
16,2020-21,1610612756,PHX,Phoenix Suns,0022000860,2021-04-17,PHX vs. SAS,L,48.0,36,90,0.4,6,27,0.222,7,16,0.438,15,33,48,19,14.0,7,2,9,14,17,85,-26.0,1,52,52,52,8,67,24,70,68,61,69,68,47,72,3,38,13,67,42,28,60,71,6,39,72,71
17,2020-21,1610612756,PHX,Phoenix Suns,0022000843,2021-04-15,PHX vs. SAC,W,48.0,48,86,0.558,14,38,0.368,12,14,0.857,10,29,39,30,11.0,9,4,4,18,16,122,8.0,1,1,1,1,8,11,45,7,26,18,43,49,53,35,18,59,53,14,22,11,31,37,30,49,20,27
18,2020-21,1610612756,PHX,Phoenix Suns,0022000827,2021-04-13,PHX vs. MIA,W,48.0,38,82,0.463,13,42,0.31,17,18,0.944,9,39,48,28,21.0,11,2,2,18,20,106,20.0,1,1,1,1,8,59,59,56,31,10,57,28,36,12,28,14,13,28,69,4,60,14,30,20,56,12
19,2020-21,1610612756,PHX,Phoenix Suns,0022000822,2021-04-12,PHX vs. HOU,W,48.0,45,94,0.479,25,45,0.556,11,18,0.611,12,30,42,33,14.0,14,3,3,18,15,126,6.0,1,1,1,1,8,23,12,45,1,5,2,55,36,69,8,51,37,10,42,2,43,21,30,55,12,33
20,2020-21,1610612756,PHX,Phoenix Suns,0022000803,2021-04-10,PHX vs. WAS,W,48.0,55,107,0.514,17,43,0.395,7,7,1.0,5,40,45,36,3.0,8,3,1,18,12,134,28.0,1,1,1,1,8,1,1,20,8,8,31,68,71,1,59,9,24,2,1,19,43,5,30,65,3,5
