,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612759,SAS,San Antonio Spurs,0022001078,2021-05-16,SAS vs. PHX,L,48.0,50,98,0.51,7,24,0.292,14,19,0.737,11,35,46,30,10.0,5,5,5,8,13,121,-2.0,1,34,34,34,8,3,9,13,56,53,52,48,44,55,17,34,16,6,25,51,29,31,1,65,11,35
1,2020-21,1610612759,SAS,San Antonio Spurs,0022001065,2021-05-15,SAS vs. PHX,L,48.0,39,88,0.443,4,26,0.154,21,24,0.875,7,34,41,23,16.0,5,2,1,17,15,103,-37.0,1,34,34,34,8,47,46,47,69,43,71,20,27,11,51,40,49,39,65,51,64,1,31,55,52,72
2,2020-21,1610612759,SAS,San Antonio Spurs,0022000458,2021-05-13,SAS @ NYK,L,48.0,38,91,0.418,6,21,0.286,16,19,0.842,9,38,47,22,11.0,4,6,8,16,19,98,-4.0,1,34,34,34,8,51,33,61,62,66,55,38,44,20,31,13,13,46,32,60,19,61,22,34,64,42
3,2020-21,1610612759,SAS,San Antonio Spurs,0022001043,2021-05-12,SAS @ BKN,L,48.0,43,101,0.426,8,31,0.258,22,27,0.815,16,30,46,21,8.0,7,2,9,19,19,116,-12.0,1,34,34,34,8,28,4,55,46,21,64,18,20,31,4,61,16,55,11,32,64,65,42,34,24,57
4,2020-21,1610612759,SAS,San Antonio Spurs,0022001029,2021-05-10,SAS vs. MIL,W,48.0,56,94,0.596,17,29,0.586,17,21,0.81,9,37,46,27,13.0,6,5,6,16,13,146,21.0,1,1,1,1,8,1,21,1,3,32,1,35,36,33,31,19,16,20,45,38,29,43,22,65,1,5
5,2020-21,1610612759,SAS,San Antonio Spurs,0022001018,2021-05-08,SAS @ POR,L,48.0,37,93,0.398,8,30,0.267,20,23,0.87,7,33,40,17,7.0,6,5,5,24,15,102,-22.0,1,34,34,34,8,57,24,69,46,30,62,25,31,13,51,44,57,69,5,38,29,31,64,55,55,64
6,2020-21,1610612759,SAS,San Antonio Spurs,0022001011,2021-05-07,SAS @ SAC,W,48.0,46,89,0.517,4,22,0.182,17,19,0.895,7,37,44,20,13.0,8,7,3,12,19,113,9.0,1,1,1,1,8,15,37,11,69,64,70,35,44,10,51,19,37,59,45,22,10,12,4,34,28,19
7,2020-21,1610612759,SAS,San Antonio Spurs,0022000996,2021-05-05,SAS @ UTA,L,48.0,37,92,0.402,7,23,0.304,13,20,0.65,9,26,35,22,7.0,7,5,2,13,20,94,-32.0,1,34,34,34,8,57,28,67,56,60,49,54,41,68,31,70,70,46,5,32,29,6,5,23,68,69
8,2020-21,1610612759,SAS,San Antonio Spurs,0022000981,2021-05-03,SAS @ UTA,L,48.0,42,90,0.467,5,18,0.278,10,10,1.0,8,29,37,25,13.0,10,4,5,13,11,99,-11.0,1,34,34,34,8,35,35,29,66,70,60,61,68,1,42,65,69,30,45,8,44,31,5,70,60,54
9,2020-21,1610612759,SAS,San Antonio Spurs,0022000973,2021-05-02,SAS vs. PHI,L,53.0,43,96,0.448,12,31,0.387,13,17,0.765,10,38,48,20,14.0,9,5,9,25,19,111,-2.0,1,34,34,34,2,28,11,44,15,21,24,54,52,47,23,13,8,59,55,16,29,65,67,34,34,35
10,2020-21,1610612759,SAS,San Antonio Spurs,0022000950,2021-04-30,SAS @ BOS,L,53.0,49,92,0.533,11,24,0.458,31,38,0.816,8,35,43,29,11.0,6,1,7,27,26,140,-3.0,1,34,34,34,2,4,28,9,23,53,5,1,1,30,42,34,43,10,32,38,70,53,72,3,3,38
11,2020-21,1610612759,SAS,San Antonio Spurs,0022000938,2021-04-28,SAS @ MIA,L,48.0,41,88,0.466,10,32,0.313,19,24,0.792,7,33,40,26,9.0,6,3,1,20,23,111,-5.0,1,34,34,34,8,37,46,30,28,17,47,27,27,39,51,44,57,25,13,38,57,1,48,9,34,44
12,2020-21,1610612759,SAS,San Antonio Spurs,0022000919,2021-04-26,SAS @ WAS,W,53.0,55,103,0.534,6,17,0.353,30,35,0.857,13,31,44,27,6.0,6,1,8,21,23,146,3.0,1,1,1,1,2,2,3,7,62,72,34,2,3,15,9,54,37,20,2,38,70,61,53,9,1,27
13,2020-21,1610612759,SAS,San Antonio Spurs,0022000264,2021-04-24,SAS @ NOP,W,48.0,37,85,0.435,9,31,0.29,27,32,0.844,9,37,46,22,17.0,9,8,1,23,24,110,2.0,1,1,1,1,8,57,54,49,42,21,53,5,7,18,31,19,16,46,68,16,7,1,60,6,39,32
14,2020-21,1610612759,SAS,San Antonio Spurs,0022000895,2021-04-22,SAS vs. DET,W,48.0,37,80,0.463,11,24,0.458,21,27,0.778,11,32,43,28,10.0,12,7,5,19,22,106,15.0,1,1,1,1,8,57,70,33,23,53,5,20,20,42,17,50,43,15,25,3,10,31,42,13,45,9
15,2020-21,1610612759,SAS,San Antonio Spurs,0022000888,2021-04-21,SAS vs. MIA,L,48.0,31,77,0.403,10,35,0.286,15,20,0.75,7,31,38,21,11.0,1,7,1,15,20,87,-20.0,1,34,34,34,8,72,72,65,28,7,55,44,41,48,51,54,63,55,32,72,10,1,17,23,71,62
16,2020-21,1610612759,SAS,San Antonio Spurs,0022000473,2021-04-19,SAS @ IND,W,48.0,36,84,0.429,8,28,0.286,29,35,0.829,9,48,57,27,12.0,4,4,7,23,27,109,15.0,1,1,1,1,8,63,61,51,46,37,55,3,3,24,31,1,2,20,43,60,44,53,60,1,41,9
17,2020-21,1610612759,SAS,San Antonio Spurs,0022000860,2021-04-17,SAS @ PHX,W,48.0,45,89,0.506,12,29,0.414,9,12,0.75,5,41,46,23,13.0,10,9,2,17,14,111,26.0,1,1,1,1,8,19,37,14,15,32,17,66,64,48,66,3,16,39,45,8,3,6,31,60,34,2
18,2020-21,1610612759,SAS,San Antonio Spurs,0022000853,2021-04-16,SAS vs. POR,L,48.0,45,95,0.474,7,23,0.304,9,10,0.9,14,35,49,30,14.0,7,9,6,14,12,106,-1.0,1,34,34,34,8,19,18,23,56,60,49,66,68,8,5,34,6,6,55,32,3,43,13,69,45,34
19,2020-21,1610612759,SAS,San Antonio Spurs,0022000831,2021-04-14,SAS @ TOR,L,48.0,38,89,0.427,17,39,0.436,19,27,0.704,12,29,41,26,13.0,6,7,5,19,19,112,-5.0,1,34,34,34,8,51,37,52,3,4,10,27,20,61,11,65,49,25,45,38,10,31,42,34,31,44
