,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612761,TOR,Toronto Raptors,22000066,2020-12-31,TOR vs. NYK,W,48.0,34,83,0.41,17,52,0.327,15,21,0.714,9,44,53,21,18.0,7,6,3,22,21,100,17.0,1,1,1,1,2,67,58,54,14,2,48,44,35,61,35,1,2,49,67,45,19,4,39,22,62,8,14.11,37.42,0.377,0.364,0.013,101.6,109.8
1,2020-21,1610612761,TOR,Toronto Raptors,22000049,2020-12-29,TOR @ PHI,L,48.0,32,90,0.356,17,45,0.378,12,14,0.857,10,37,47,21,20.0,12,7,10,28,15,93,-7.0,1,28,28,28,2,71,27,71,14,15,31,57,59,19,27,8,13,49,70,10,15,68,69,62,71,45,14.11,37.42,0.377,0.364,0.013,101.6,109.8
2,2020-21,1610612761,TOR,Toronto Raptors,22000027,2020-12-26,TOR @ SAS,L,48.0,44,96,0.458,15,41,0.366,11,15,0.733,10,36,46,32,12.0,8,9,3,23,20,114,-5.0,1,28,28,28,2,10,6,28,26,25,34,61,58,58,27,13,17,3,18,33,5,4,48,27,24,40,14.11,37.42,0.377,0.364,0.013,101.6,109.8
3,2020-21,1610612761,TOR,Toronto Raptors,22000014,2020-12-23,TOR vs. NOP,L,48.0,38,89,0.427,14,46,0.304,9,12,0.75,7,28,35,26,21.0,10,5,7,22,17,99,-14.0,1,28,28,28,2,43,36,45,33,11,59,67,67,56,49,54,61,22,71,19,33,50,39,49,65,64,14.11,37.42,0.377,0.364,0.013,101.6,109.8
4,2020-21,1610612761,TOR,Toronto Raptors,22001079,2021-05-16,TOR vs. IND,L,48.0,39,97,0.402,12,38,0.316,23,29,0.793,16,32,48,21,12.0,8,3,3,12,19,113,-12.0,1,28,28,28,2,37,2,60,48,34,55,13,11,46,2,36,8,49,18,33,57,4,1,33,28,60,13.69,35.94,0.381,0.366,0.015,101.6,109.8
5,2020-21,1610612761,TOR,Toronto Raptors,22001057,2021-05-14,TOR @ DAL,L,48.0,42,85,0.494,13,38,0.342,13,17,0.765,4,40,44,19,12.0,7,5,3,18,18,110,-4.0,1,28,28,28,2,14,55,14,42,34,42,56,54,51,68,4,27,61,18,45,33,4,13,41,39,34,13.69,35.94,0.381,0.366,0.015,101.6,109.8
6,2020-21,1610612761,TOR,Toronto Raptors,22001051,2021-05-13,TOR @ CHI,L,48.0,40,90,0.444,12,36,0.333,10,18,0.556,7,25,32,24,11.0,16,1,4,14,15,102,-12.0,1,28,28,28,2,27,27,37,48,47,45,65,47,72,49,68,67,31,13,1,71,15,2,62,56,60,13.69,35.94,0.381,0.366,0.015,101.6,109.8
7,2020-21,1610612761,TOR,Toronto Raptors,22001034,2021-05-11,TOR vs. LAC,L,48.0,35,86,0.407,10,37,0.27,16,19,0.842,9,26,35,21,13.0,10,8,4,22,17,96,-19.0,1,28,28,28,2,63,49,56,64,42,66,38,41,26,35,65,61,49,33,19,7,15,39,49,68,70,13.69,35.94,0.381,0.366,0.015,101.6,109.8
8,2020-21,1610612761,TOR,Toronto Raptors,22001014,2021-05-08,TOR vs. MEM,L,48.0,36,94,0.383,10,32,0.313,17,24,0.708,13,33,46,18,12.0,10,2,8,21,21,99,-10.0,1,28,28,28,2,57,12,69,64,64,56,35,23,65,9,32,17,66,18,19,68,59,35,22,65,54,13.69,35.94,0.381,0.366,0.015,101.6,109.8
9,2020-21,1610612761,TOR,Toronto Raptors,22000997,2021-05-06,TOR vs. WAS,L,53.0,47,105,0.448,14,38,0.368,21,27,0.778,18,32,50,23,13.0,9,5,6,30,22,129,-2.0,1,28,28,28,1,5,1,34,33,34,32,20,13,50,1,36,5,39,33,27,33,40,72,17,6,31,13.69,35.94,0.381,0.366,0.015,101.6,109.8
