,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2020-21,1610612762,UTA,Utah Jazz,22000068,2020-12-31,UTA vs. PHX,L,48.0,35,84,0.417,12,34,0.353,13,19,0.684,10,36,46,16,14.0,8,3,6,15,17,95,-11.0,1,53,53,53,4,65,56,64,60,66,51,52,43,61,32,42,45,66,31,19,54,60,7,45,72,66,10.86,30.67,0.354,0.368,-0.014,100.8,105.7
1,2020-21,1610612762,UTA,Utah Jazz,22000043,2020-12-28,UTA @ OKC,W,48.0,43,86,0.5,13,36,0.361,11,14,0.786,8,35,43,24,17.0,9,6,5,19,16,110,1.0,1,1,1,1,4,22,42,15,53,61,46,56,61,39,54,51,55,28,56,9,18,45,41,50,55,52,10.86,30.67,0.354,0.368,-0.014,100.8,105.7
2,2020-21,1610612762,UTA,Utah Jazz,22000028,2020-12-26,UTA vs. MIN,L,48.0,36,94,0.383,10,34,0.294,29,37,0.784,19,38,57,15,19.0,5,4,5,20,28,111,-5.0,1,53,53,53,4,63,11,72,72,66,67,4,3,40,1,33,6,68,64,50,42,45,45,1,52,58,10.86,30.67,0.354,0.368,-0.014,100.8,105.7
3,2020-21,1610612762,UTA,Utah Jazz,22000020,2020-12-23,UTA @ POR,W,48.0,43,94,0.457,19,50,0.38,15,19,0.789,12,47,59,24,11.0,3,3,3,16,18,120,20.0,1,1,1,1,4,22,11,43,18,7,37,42,43,38,20,3,4,28,11,64,54,21,15,39,24,15,10.86,30.67,0.354,0.368,-0.014,100.8,105.7
4,2020-21,1610612762,UTA,Utah Jazz,22001077,2021-05-16,UTA @ SAC,W,48.0,41,86,0.477,18,39,0.462,21,25,0.84,9,41,50,28,16.0,9,3,5,14,22,121,22.0,1,1,1,1,4,35,42,27,23,52,11,17,18,28,43,17,30,11,47,9,54,45,3,14,22,11,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
5,2020-21,1610612762,UTA,Utah Jazz,22001056,2021-05-14,UTA @ OKC,W,48.0,40,93,0.43,13,39,0.333,16,21,0.762,17,36,53,23,11.0,9,3,2,17,20,109,16.0,1,1,1,1,4,44,15,56,53,52,54,35,33,44,3,42,14,40,11,9,54,7,22,27,57,22,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
6,2020-21,1610612762,UTA,Utah Jazz,22001045,2021-05-12,UTA vs. POR,L,48.0,35,85,0.412,12,40,0.3,16,21,0.762,15,38,53,15,12.0,4,4,6,22,18,98,-7.0,1,53,53,53,4,65,49,67,60,49,65,35,33,44,10,33,14,68,19,57,42,60,60,39,68,61,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
7,2020-21,1610612762,UTA,Utah Jazz,22001030,2021-05-10,UTA @ GSW,L,48.0,41,91,0.451,13,44,0.295,21,24,0.875,13,35,48,14,15.0,7,1,2,20,20,116,-3.0,1,53,53,53,4,35,23,48,53,29,66,17,22,15,17,51,38,70,40,26,70,7,45,27,36,54,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
8,2020-21,1610612762,UTA,Utah Jazz,22001016,2021-05-08,UTA vs. HOU,W,48.0,45,85,0.529,15,38,0.395,19,21,0.905,7,42,49,28,18.0,7,4,3,13,15,124,8.0,1,1,1,1,4,10,49,7,41,57,32,23,33,10,60,15,35,11,61,26,42,21,2,55,15,40,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
9,2020-21,1610612762,UTA,Utah Jazz,22001008,2021-05-07,UTA vs. DEN,W,48.0,43,89,0.483,21,46,0.457,20,23,0.87,9,29,38,27,12.0,9,3,3,20,16,127,7.0,1,1,1,1,4,22,29,22,10,21,13,21,26,16,43,65,64,19,19,9,54,21,45,50,11,44,10.89,33.0,0.33,0.36,-0.03,100.8,105.7
