,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2020-21,1610612764,WAS,Washington Wizards,0022001080,2021-05-16,WAS vs. CHA,W,48.0,44,91,0.484,10,31,0.323,17,21,0.81,10,43,53,22,14.0,4,3,5,20,15,115,5.0,1,1,1,1,6,31,31,34,30,29,44,45,51,26,30,5,9,58,27,66,39,33,21,70,42,20
1,2020-21,1610612764,WAS,Washington Wizards,0022000204,2021-05-14,WAS vs. CLE,W,48.0,41,89,0.461,7,25,0.28,31,37,0.838,12,35,47,23,11.0,9,6,3,19,21,120,15.0,1,1,1,1,6,44,40,45,56,49,56,5,8,18,14,36,25,50,13,14,11,10,14,39,29,7
2,2020-21,1610612764,WAS,Washington Wizards,0022001042,2021-05-12,WAS @ ATL,L,48.0,45,101,0.446,10,29,0.345,16,19,0.842,9,33,42,29,7.0,10,1,5,20,21,116,-4.0,1,35,35,35,6,28,6,52,30,36,37,50,56,15,39,49,48,12,2,9,67,33,21,39,39,43
3,2020-21,1610612764,WAS,Washington Wizards,0022001026,2021-05-10,WAS @ ATL,L,48.0,51,100,0.51,13,26,0.5,9,11,0.818,8,34,42,28,9.0,8,8,6,21,17,124,-1.0,1,35,35,35,6,5,7,20,14,43,6,69,71,23,47,44,48,18,9,25,4,47,31,61,20,35
4,2020-21,1610612764,WAS,Washington Wizards,0022001012,2021-05-08,WAS @ IND,W,53.0,49,110,0.445,9,32,0.281,26,30,0.867,15,45,60,26,18.0,7,9,5,24,24,133,1.0,1,1,1,1,1,7,1,53,37,25,54,14,22,10,2,2,2,28,57,32,1,33,50,22,6,33
5,2020-21,1610612764,WAS,Washington Wizards,0022000997,2021-05-06,WAS @ TOR,W,53.0,41,94,0.436,13,30,0.433,36,43,0.837,11,36,47,29,15.0,4,6,5,22,30,131,2.0,1,1,1,1,1,44,18,56,14,33,14,1,1,19,23,26,25,12,42,66,11,33,37,3,8,28
6,2020-21,1610612764,WAS,Washington Wizards,0022000235,2021-05-05,WAS @ MIL,L,48.0,47,96,0.49,8,22,0.364,32,43,0.744,11,32,43,27,7.0,6,6,6,23,31,134,-1.0,1,35,35,35,6,13,13,28,49,58,30,2,1,49,23,54,43,21,2,43,11,47,44,1,5,35
7,2020-21,1610612764,WAS,Washington Wizards,0022000976,2021-05-03,WAS vs. IND,W,48.0,63,103,0.612,9,22,0.409,19,24,0.792,9,35,44,50,17.0,10,7,6,19,17,154,13.0,1,1,1,1,6,1,5,1,37,58,19,37,42,33,39,36,40,1,51,9,7,47,14,61,1,10
8,2020-21,1610612764,WAS,Washington Wizards,0022000964,2021-05-01,WAS @ DAL,L,48.0,47,91,0.516,6,19,0.316,24,31,0.774,14,32,46,19,11.0,5,3,4,23,25,124,-1.0,1,35,35,35,6,13,31,17,62,64,46,20,20,40,7,54,33,66,13,54,39,21,44,17,20,35
9,2020-21,1610612764,WAS,Washington Wizards,0022000951,2021-04-30,WAS @ CLE,W,48.0,46,92,0.5,8,18,0.444,22,26,0.846,11,35,46,31,14.0,14,3,4,19,17,122,29.0,1,1,1,1,6,23,26,25,49,69,12,26,35,13,23,36,33,7,27,1,39,21,14,61,25,1
