,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,E_PACE,E_DEF_RATING
49,2020-21,ATL,Atlanta Hawks,22001066,5/16/21,ATL vs. HOU,1610612745,44.16,89.76,0.492,0.467,0.025,Houston Rockets,38,38,0.434,23.84,39,0.611,0.579,29.66,52.63,0.564,0.532,14.5,37.13,0.391,0.372,103.6,112.4
51,2020-21,ATL,Atlanta Hawks,22001049,5/13/21,ATL vs. ORL,1610612753,42.64,90.67,0.47,0.468,0.002,Orlando Magic,36,36,0.411,21.47,37.25,0.576,0.579,28.92,53.86,0.537,0.532,13.72,36.81,0.373,0.366,100.8,112.1
15,2020-21,ATL,Atlanta Hawks,22001042,5/12/21,ATL vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
16,2020-21,ATL,Atlanta Hawks,22001026,5/10/21,ATL vs. WAS,1610612764,43.37,92.74,0.468,0.464,0.003,Washington Wizards,38,38,0.445,23.39,41.29,0.567,0.571,31.89,60.32,0.529,0.528,11.47,32.42,0.354,0.365,106.4,110.5
1,2020-21,ATL,Atlanta Hawks,22001000,5/6/21,ATL @ IND,1610612754,44.05,94.46,0.466,0.464,0.002,Indiana Pacers,37,37,0.504,26.81,47.57,0.564,0.575,33.16,63.41,0.523,0.528,10.89,31.05,0.351,0.362,104,109.6
54,2020-21,ATL,Atlanta Hawks,22000992,5/5/21,ATL vs. PHX,1610612756,41.35,87.03,0.475,0.462,0.013,Phoenix Suns,37,37,0.427,22.05,37.19,0.593,0.571,29.22,53.73,0.544,0.525,12.14,33.3,0.364,0.366,99.3,108.8
31,2020-21,ATL,Atlanta Hawks,22000978,5/3/21,ATL vs. POR,1610612757,41.57,87.86,0.473,0.466,0.007,Portland Trail Blazers,37,37,0.413,21.57,36.32,0.594,0.577,28.73,53.62,0.536,0.531,12.84,34.24,0.375,0.366,100.8,113.4
47,2020-21,ATL,Atlanta Hawks,22000959,5/1/21,ATL vs. CHI,1610612741,40.66,86.55,0.47,0.464,0.006,Chicago Bulls,38,38,0.437,21.92,37.79,0.58,0.57,29.13,54.53,0.534,0.527,11.53,32.03,0.36,0.366,101.1,109.9
33,2020-21,ATL,Atlanta Hawks,22000949,4/30/21,ATL @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
34,2020-21,ATL,Atlanta Hawks,22000934,4/28/21,ATL @ PHI,1610612755,38.31,84.14,0.455,0.466,-0.011,Philadelphia 76ers,36,36,0.425,21.19,35.72,0.593,0.575,27.28,52.94,0.515,0.528,11.03,31.19,0.354,0.363,101.8,105.1
29,2020-21,ATL,Atlanta Hawks,22000916,4/26/21,ATL @ DET,1610612765,41.5,87.86,0.472,0.464,0.008,Detroit Pistons,36,36,0.477,24.22,41.92,0.578,0.571,30.78,57.08,0.539,0.527,10.72,30.78,0.348,0.366,100.1,110.3
