,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612746,LA Clippers,LAC,21,21,0.449,22.33,40.52,0.551,0.588,-0.037
1,1610612738,Boston Celtics,BOS,22,22,0.411,20.09,36.05,0.557,0.58,-0.023
2,1610612762,Utah Jazz,UTA,24,24,0.388,19.29,33.92,0.569,0.582,-0.013
3,1610612744,Golden State Warriors,GSW,23,23,0.401,20.04,34.61,0.579,0.591,-0.012
4,1610612759,San Antonio Spurs,SAS,23,23,0.442,22.78,39.91,0.571,0.583,-0.012
5,1610612763,Memphis Grizzlies,MEM,22,22,0.461,23.73,41.5,0.572,0.583,-0.012
6,1610612756,Phoenix Suns,PHX,24,24,0.42,20.83,36.54,0.57,0.58,-0.01
7,1610612753,Orlando Magic,ORL,22,22,0.398,20.32,35.59,0.571,0.579,-0.008
8,1610612751,Brooklyn Nets,BKN,23,23,0.419,21.57,37.43,0.576,0.577,-0.001
9,1610612761,Toronto Raptors,TOR,25,25,0.424,21.2,36.0,0.589,0.585,0.004
10,1610612739,Cleveland Cavaliers,CLE,24,24,0.44,22.33,38.13,0.586,0.581,0.004
11,1610612765,Detroit Pistons,DET,24,24,0.485,24.63,41.75,0.59,0.582,0.008
12,1610612766,Charlotte Hornets,CHA,22,22,0.43,22.64,38.36,0.59,0.58,0.01
13,1610612764,Washington Wizards,WAS,24,24,0.431,22.75,38.38,0.593,0.582,0.011
14,1610612742,Dallas Mavericks,DAL,23,23,0.445,22.96,38.17,0.601,0.587,0.014
15,1610612758,Sacramento Kings,SAC,22,22,0.428,23.18,38.23,0.606,0.588,0.018
16,1610612743,Denver Nuggets,DEN,24,24,0.428,23.04,38.21,0.603,0.583,0.02
17,1610612760,Oklahoma City Thunder,OKC,24,24,0.426,23.63,39.0,0.606,0.583,0.022
18,1610612749,Milwaukee Bucks,MIL,22,22,0.345,19.36,31.68,0.611,0.586,0.025
19,1610612752,New York Knicks,NYK,23,23,0.389,19.78,32.61,0.607,0.581,0.026
20,1610612755,Philadelphia 76ers,PHI,24,24,0.415,21.67,35.5,0.61,0.583,0.028
21,1610612750,Minnesota Timberwolves,MIN,23,23,0.425,22.91,37.52,0.611,0.582,0.029
22,1610612741,Chicago Bulls,CHI,23,23,0.435,23.09,37.43,0.617,0.582,0.034
23,1610612745,Houston Rockets,HOU,24,24,0.471,26.5,42.71,0.62,0.582,0.038
24,1610612737,Atlanta Hawks,ATL,24,24,0.423,23.13,37.46,0.617,0.577,0.041
25,1610612747,Los Angeles Lakers,LAL,24,24,0.434,24.92,39.33,0.633,0.591,0.043
26,1610612748,Miami Heat,MIA,23,23,0.388,20.52,32.83,0.625,0.58,0.046
27,1610612754,Indiana Pacers,IND,22,22,0.477,26.68,42.86,0.622,0.572,0.05
28,1610612740,New Orleans Pelicans,NOP,23,23,0.393,21.3,33.26,0.641,0.586,0.055
29,1610612757,Portland Trail Blazers,POR,23,23,0.443,24.3,37.74,0.644,0.581,0.063
