,TEAM_ID,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612746,29.33,57.48,0.51,0.536,-0.026
1,1610612744,26.57,50.91,0.522,0.538,-0.016
2,1610612756,27.46,53.25,0.516,0.53,-0.014
3,1610612762,27.13,52.38,0.518,0.531,-0.013
4,1610612751,27.17,52.74,0.515,0.526,-0.011
5,1610612738,27.73,53.23,0.521,0.532,-0.011
6,1610612763,30.41,57.45,0.529,0.536,-0.006
7,1610612742,27.96,52.39,0.534,0.539,-0.005
8,1610612753,26.68,50.86,0.525,0.529,-0.004
9,1610612759,29.26,54.96,0.532,0.534,-0.002
10,1610612739,28.96,54.21,0.534,0.527,0.007
11,1610612749,28.41,52.27,0.543,0.534,0.009
12,1610612761,27.28,50.32,0.542,0.533,0.009
13,1610612764,30,55.13,0.544,0.53,0.014
14,1610612752,26.48,48.74,0.543,0.53,0.014
15,1610612765,29.71,54.67,0.543,0.53,0.014
16,1610612755,29.17,53.67,0.543,0.528,0.015
17,1610612743,30.54,55.75,0.548,0.532,0.016
18,1610612766,28.45,52.23,0.545,0.529,0.016
19,1610612758,29.14,52.32,0.557,0.538,0.019
20,1610612737,30.71,56.04,0.548,0.526,0.022
21,1610612750,28.35,50.83,0.558,0.531,0.026
22,1610612741,30.7,54.78,0.56,0.53,0.03
23,1610612745,32.04,56.96,0.563,0.531,0.032
24,1610612760,29.25,51.58,0.567,0.534,0.033
25,1610612748,26.7,47.43,0.563,0.53,0.033
26,1610612740,27.74,48.65,0.57,0.535,0.035
27,1610612747,33.17,56.83,0.584,0.537,0.047
28,1610612754,32.09,55.09,0.583,0.524,0.058
29,1610612757,28.26,47.17,0.599,0.535,0.064
