,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,ATL,Atlanta Hawks,22101221,2022-04-10,ATL @ HOU,W,48.0,45,87,0.517,21,38,0.553,19,24,0.792,13,37,50,29,13.0,4,4,4,19,19,130,16.0,1,1,1,1,2,17,46,18,2,17,1,32,27,51,13,16,9,11,46,70,35,27,42,46,9,14,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
1,2021-22,ATL,Atlanta Hawks,22101207,2022-04-08,ATL @ MIA,L,48.0,42,88,0.477,8,34,0.235,17,19,0.895,13,30,43,17,15.0,9,0,1,23,17,109,-4.0,1,44,44,44,2,37,40,39,70,42,79,43,52,14,13,66,47,81,67,18,80,2,72,64,56,47,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
2,2021-22,ATL,Atlanta Hawks,22101192,2022-04-06,ATL vs. WAS,W,48.0,43,92,0.467,16,39,0.41,16,19,0.842,7,32,39,26,6.0,11,1,4,13,17,118,15.0,1,1,1,1,2,28,23,41,14,12,30,48,52,34,59,53,65,29,4,5,73,27,3,64,31,16,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
3,2021-22,ATL,Atlanta Hawks,22101182,2022-04-05,ATL @ TOR,L,48.0,43,94,0.457,14,37,0.378,8,12,0.667,10,33,43,31,7.0,5,4,5,22,14,108,-10.0,1,44,44,44,2,28,12,47,27,26,39,79,79,75,34,46,47,6,6,63,35,46,66,80,57,65,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
4,2021-22,ATL,Atlanta Hawks,22101163,2022-04-02,ATL vs. BKN,W,48.0,36,86,0.419,13,41,0.317,37,49,0.755,10,44,54,18,7.0,10,4,3,18,29,122,7.0,1,1,1,1,2,72,50,67,36,8,60,1,1,60,34,2,3,75,6,11,35,17,31,1,20,30,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
5,2021-22,ATL,Atlanta Hawks,22100452,2022-03-31,ATL vs. CLE,W,48.0,45,91,0.495,17,39,0.436,24,28,0.857,12,36,48,27,9.0,7,4,5,22,20,131,24.0,1,1,1,1,2,17,26,28,8,12,18,10,15,30,25,24,21,24,11,37,35,46,66,35,6,4,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
6,2021-22,ATL,Atlanta Hawks,22101143,2022-03-30,ATL @ OKC,W,48.0,49,91,0.538,18,39,0.462,20,22,0.909,6,37,43,28,13.0,10,4,2,19,17,136,18.0,1,1,1,1,2,3,26,11,4,12,12,26,38,11,66,16,47,15,46,11,35,7,42,64,1,9,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
7,2021-22,ATL,Atlanta Hawks,22101124,2022-03-28,ATL @ IND,W,48.0,47,86,0.547,17,35,0.486,21,26,0.808,13,27,40,32,15.0,11,4,6,19,22,132,9.0,1,1,1,1,2,10,50,8,8,37,7,21,22,48,13,72,57,4,67,5,35,58,42,23,4,25,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
8,2021-22,ATL,Atlanta Hawks,22101102,2022-03-25,ATL vs. GSW,W,48.0,46,89,0.517,14,37,0.378,15,19,0.789,12,32,44,27,12.0,11,4,1,18,22,121,11.0,1,1,1,1,2,14,36,19,27,26,39,54,52,53,25,53,42,24,33,5,35,2,31,23,23,21,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
9,2021-22,ATL,Atlanta Hawks,22101085,2022-03-23,ATL @ DET,L,48.0,37,92,0.402,14,44,0.318,13,15,0.867,9,31,40,21,14.0,8,3,4,17,19,101,-21.0,1,44,44,44,2,66,23,72,27,4,59,68,70,26,44,62,57,58,59,25,53,27,22,46,66,80,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
