,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,BOS,Boston Celtics,22101223,2022-04-10,BOS @ MEM,W,48.0,54,99,0.545,18,48,0.375,13,13,1.0,14,42,56,34,15.0,5,2,6,20,16,139,29.0,1,1,1,1,8,2,6,9,13,4,30,60,71,1,15,8,5,3,58,60,75,56,47,61,4,7,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
1,2021-22,BOS,Boston Celtics,22101198,2022-04-07,BOS @ MIL,L,48.0,43,87,0.494,21,50,0.42,14,19,0.737,8,36,44,30,16.0,8,4,5,15,19,121,-6.0,1,52,52,52,8,26,38,26,4,2,17,54,47,66,54,34,49,14,62,26,57,48,11,42,22,67,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
2,2021-22,BOS,Boston Celtics,22101193,2022-04-06,BOS @ CHI,W,48.0,43,88,0.489,17,37,0.459,14,22,0.636,8,34,42,29,13.0,11,6,4,18,22,117,23.0,1,1,1,1,8,26,32,29,15,38,10,54,33,81,54,47,58,16,32,4,34,25,34,17,25,13,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
3,2021-22,BOS,Boston Celtics,22101166,2022-04-03,BOS vs. WAS,W,48.0,56,91,0.615,23,44,0.523,9,13,0.692,7,32,39,39,8.0,6,5,2,20,14,144,42.0,1,1,1,1,8,1,18,1,2,16,5,76,71,72,66,59,69,1,3,47,47,8,47,73,2,3,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
4,2021-22,BOS,Boston Celtics,22101153,2022-04-01,BOS vs. IND,W,48.0,45,83,0.542,12,33,0.364,26,28,0.929,11,29,40,29,16.0,7,4,3,19,30,128,5.0,1,1,1,1,8,18,55,11,40,57,38,5,10,8,32,71,66,16,62,38,57,14,39,1,12,47,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
5,2021-22,BOS,Boston Celtics,22101139,2022-03-30,BOS vs. MIA,L,48.0,35,85,0.412,11,37,0.297,17,23,0.739,8,36,44,27,18.0,9,1,6,22,23,98,-8.0,1,52,52,52,8,68,48,68,48,38,62,38,30,64,54,34,49,25,70,15,80,56,66,13,70,69,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
6,2021-22,BOS,Boston Celtics,22101127,2022-03-28,BOS @ TOR,L,53.0,39,95,0.411,12,40,0.3,22,28,0.786,16,41,57,23,17.0,5,7,11,15,28,112,-3.0,1,52,52,52,3,45,11,70,40,26,61,14,10,51,5,13,3,47,67,60,24,81,11,3,38,55,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
7,2021-22,BOS,Boston Celtics,22101116,2022-03-27,BOS vs. MIN,W,48.0,49,87,0.563,17,39,0.436,19,21,0.905,10,35,45,27,13.0,7,5,3,20,21,134,22.0,1,1,1,1,8,7,38,4,15,32,13,28,37,12,44,44,43,25,32,38,47,14,47,25,6,15,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
8,2021-22,BOS,Boston Celtics,22101087,2022-03-23,BOS vs. UTA,W,48.0,50,84,0.595,19,36,0.528,6,7,0.857,8,31,39,37,13.0,8,10,1,20,14,125,28.0,1,1,1,1,8,4,52,2,9,47,4,81,81,29,54,62,69,2,32,26,2,4,47,73,17,10,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
9,2021-22,BOS,Boston Celtics,22101078,2022-03-21,BOS @ OKC,W,48.0,44,86,0.512,15,40,0.375,29,34,0.853,6,36,42,22,9.0,8,7,4,18,26,132,9.0,1,1,1,1,8,21,41,20,27,26,30,2,3,32,72,34,58,57,5,26,24,25,34,5,8,36,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
10,2021-22,BOS,Boston Celtics,22101068,2022-03-20,BOS @ DEN,W,48.0,47,82,0.573,19,40,0.475,11,11,1.0,5,33,38,29,9.0,4,6,3,18,15,124,20.0,1,1,1,1,8,10,59,3,9,26,7,68,76,1,78,53,71,16,5,74,34,14,34,66,18,18,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
11,2021-22,BOS,Boston Celtics,22101057,2022-03-18,BOS @ SAC,W,48.0,46,82,0.561,22,40,0.55,12,17,0.706,6,37,43,33,13.0,11,1,6,23,14,126,29.0,1,1,1,1,8,13,59,6,3,26,3,63,57,71,72,27,55,5,32,4,80,56,70,73,14,7,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
12,2021-22,BOS,Boston Celtics,22101042,2022-03-16,BOS @ GSW,W,48.0,38,81,0.469,15,40,0.375,19,22,0.864,8,45,53,23,10.0,4,4,4,15,21,110,22.0,1,1,1,1,8,51,70,40,27,26,30,28,33,28,54,5,12,47,9,74,57,25,11,25,44,15,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
13,2021-22,BOS,Boston Celtics,22101014,2022-03-13,BOS vs. DAL,L,48.0,33,88,0.375,9,37,0.243,17,19,0.895,11,34,45,16,11.0,8,3,5,12,16,92,-3.0,1,52,52,52,8,75,32,77,70,38,76,38,47,17,32,47,43,78,15,26,64,48,2,61,74,55,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
14,2021-22,BOS,Boston Celtics,22100997,2022-03-11,BOS vs. DET,W,48.0,42,90,0.467,6,32,0.188,24,30,0.8,13,34,47,23,9.0,10,3,4,19,22,114,11.0,1,1,1,1,8,31,23,42,78,60,79,10,5,46,17,47,31,47,5,7,64,25,39,17,31,30,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
15,2021-22,BOS,Boston Celtics,22100981,2022-03-09,BOS @ CHA,W,48.0,46,93,0.495,12,37,0.324,11,14,0.786,16,31,47,30,11.0,10,8,7,20,15,115,14.0,1,1,1,1,8,13,13,25,40,38,51,68,68,51,5,62,31,14,15,7,14,69,47,66,30,24,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
16,2021-22,BOS,Boston Celtics,22100960,2022-03-06,BOS vs. BKN,W,48.0,40,83,0.482,17,36,0.472,29,38,0.763,10,27,37,25,10.0,9,7,4,19,26,126,6.0,1,1,1,1,8,41,55,31,15,47,9,2,1,58,44,77,75,35,9,15,24,25,39,5,14,42,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
17,2021-22,BOS,Boston Celtics,22100940,2022-03-03,BOS vs. MEM,W,48.0,46,89,0.517,16,37,0.432,12,15,0.8,15,36,51,33,14.0,4,7,4,15,16,120,13.0,1,1,1,1,8,13,28,16,23,38,15,63,64,46,10,34,20,5,46,74,24,25,11,61,23,26,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
18,2021-22,BOS,Boston Celtics,22100927,2022-03-01,BOS vs. ATL,W,48.0,39,83,0.47,11,35,0.314,18,19,0.947,11,36,47,27,14.0,4,8,4,20,20,107,9.0,1,1,1,1,8,45,55,39,48,52,56,33,47,4,32,34,31,25,46,74,14,25,47,35,48,36,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
19,2021-22,BOS,Boston Celtics,22100914,2022-02-27,BOS @ IND,L,48.0,39,91,0.429,12,43,0.279,17,20,0.85,12,28,40,25,10.0,5,9,5,13,23,107,-21.0,1,52,52,52,8,45,18,60,40,17,70,38,41,33,21,73,66,35,9,60,8,48,6,13,48,80,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
20,2021-22,BOS,Boston Celtics,22100905,2022-02-26,BOS @ DET,W,48.0,42,88,0.477,10,26,0.385,19,21,0.905,10,27,37,31,10.0,5,6,4,21,22,113,9.0,1,1,1,1,8,31,32,32,59,78,24,28,37,12,44,77,75,10,9,60,34,25,60,17,35,36,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
21,2021-22,BOS,Boston Celtics,22100890,2022-02-24,BOS @ BKN,W,48.0,46,85,0.541,17,42,0.405,20,27,0.741,8,40,48,28,14.0,9,3,4,20,16,129,23.0,1,1,1,1,8,13,48,13,15,18,20,22,17,63,54,19,28,21,46,15,64,25,47,61,11,13,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
22,2021-22,BOS,Boston Celtics,22100875,2022-02-16,BOS vs. DET,L,48.0,42,77,0.545,13,32,0.406,14,18,0.778,2,28,30,29,17.0,8,6,1,14,17,111,-1.0,1,52,52,52,8,31,81,9,37,60,19,54,52,53,82,73,81,16,67,26,34,4,8,53,40,52,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
23,2021-22,BOS,Boston Celtics,22100869,2022-02-15,BOS @ PHI,W,48.0,46,82,0.561,25,45,0.556,18,22,0.818,7,44,51,28,11.0,2,10,2,25,17,135,48.0,1,1,1,1,8,13,59,6,1,11,2,33,33,42,66,6,20,21,15,82,2,8,80,53,5,2,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
24,2021-22,BOS,Boston Celtics,22100856,2022-02-13,BOS vs. ATL,W,48.0,36,85,0.424,11,38,0.289,22,27,0.815,12,42,54,21,12.0,5,6,3,15,22,105,10.0,1,1,1,1,8,63,48,63,48,36,67,14,17,44,21,8,9,63,24,60,34,14,11,17,54,32,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
25,2021-22,BOS,Boston Celtics,22100842,2022-02-11,BOS vs. DEN,W,48.0,38,96,0.396,10,37,0.27,22,30,0.733,18,36,54,24,12.0,13,8,6,20,22,108,6.0,1,1,1,1,8,51,8,74,59,38,71,14,5,67,2,34,9,40,24,1,14,56,47,17,46,42,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
26,2021-22,BOS,Boston Celtics,22100817,2022-02-08,BOS @ BKN,W,48.0,50,91,0.549,14,40,0.35,12,16,0.75,11,41,52,32,14.0,6,8,4,14,18,126,35.0,1,1,1,1,8,4,18,8,32,26,43,63,62,60,32,13,18,8,46,47,14,25,8,49,14,4,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
27,2021-22,BOS,Boston Celtics,22100806,2022-02-06,BOS @ ORL,W,48.0,45,99,0.455,13,46,0.283,13,14,0.929,16,39,55,29,16.0,9,6,5,17,16,116,33.0,1,1,1,1,8,18,6,46,37,9,69,60,68,8,5,22,7,16,62,15,34,48,30,61,27,5,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
28,2021-22,BOS,Boston Celtics,22100788,2022-02-04,BOS @ DET,W,48.0,37,82,0.451,9,28,0.321,19,25,0.76,11,44,55,23,14.0,4,9,4,17,24,102,9.0,1,1,1,1,8,58,59,48,70,72,53,28,22,59,32,6,7,47,46,74,8,25,30,9,63,36,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
29,2021-22,BOS,Boston Celtics,22100775,2022-02-02,BOS vs. CHA,W,48.0,42,82,0.512,14,36,0.389,15,17,0.882,6,36,42,31,19.0,9,5,4,21,20,113,6.0,1,1,1,1,8,31,59,19,32,47,23,51,57,24,72,34,58,10,76,15,47,25,60,35,35,42,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
30,2021-22,BOS,Boston Celtics,22100762,2022-01-31,BOS vs. MIA,W,48.0,44,84,0.524,16,42,0.381,18,27,0.667,9,35,44,24,10.0,9,6,2,15,22,122,30.0,1,1,1,1,8,21,52,15,23,18,25,33,17,76,50,44,49,40,9,15,34,8,11,17,20,6,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
31,2021-22,BOS,Boston Celtics,22100745,2022-01-29,BOS @ NOP,W,48.0,43,81,0.531,14,41,0.341,7,11,0.636,6,37,43,31,15.0,6,7,0,19,14,107,10.0,1,1,1,1,8,26,70,14,32,21,49,80,76,81,72,27,55,10,58,47,24,1,39,73,48,32,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
