,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,CHI,Chicago Bulls,22101224,2022-04-10,CHI @ MIN,W,48.0,44,83,0.53,10,21,0.476,26,33,0.788,16,32,48,22,23.0,9,3,9,22,23,124,4.0,1,1,1,1,3,26,65,18,43,74,11,4,2,51,3,49,14,44,81,17,47,77,64,7,14,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
1,2021-22,CHI,Chicago Bulls,22101208,2022-04-08,CHI vs. CHA,L,48.0,44,82,0.537,13,24,0.542,16,20,0.8,6,25,31,25,12.0,7,1,4,12,21,117,-16.0,1,47,47,47,3,26,68,16,18,65,1,46,45,42,55,77,81,26,35,35,74,24,1,16,27,69,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
2,2021-22,CHI,Chicago Bulls,22101193,2022-04-06,CHI vs. BOS,L,48.0,35,80,0.438,7,23,0.304,17,23,0.739,7,33,40,19,17.0,7,4,6,22,18,94,-23.0,1,47,47,47,3,72,75,57,64,68,55,38,30,62,48,41,48,66,69,35,31,55,64,35,76,74,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
3,2021-22,CHI,Chicago Bulls,22101183,2022-04-05,CHI vs. MIL,L,48.0,42,98,0.429,9,33,0.273,13,13,1.0,13,29,42,22,15.0,8,2,8,21,19,106,-21.0,1,47,47,47,3,37,2,67,54,18,64,59,75,1,9,63,40,44,52,28,63,70,59,28,55,73,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
4,2021-22,CHI,Chicago Bulls,22101164,2022-04-02,CHI vs. MIA,L,48.0,37,86,0.43,9,34,0.265,26,29,0.897,11,28,39,21,6.0,5,4,1,19,21,109,-18.0,1,47,47,47,3,63,44,63,54,10,69,4,14,17,15,66,55,54,1,56,31,1,37,16,46,71,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
5,2021-22,CHI,Chicago Bulls,22101149,2022-03-31,CHI vs. LAC,W,53.0,50,102,0.49,10,29,0.345,25,32,0.781,13,37,50,24,8.0,6,3,5,17,24,135,5.0,1,1,1,1,1,6,1,32,43,38,48,7,4,53,9,23,8,35,9,45,47,35,22,5,1,34,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
6,2021-22,CHI,Chicago Bulls,22101132,2022-03-29,CHI @ WAS,W,48.0,43,85,0.506,6,18,0.333,15,18,0.833,6,30,36,26,9.0,9,1,7,14,17,107,13.0,1,1,1,1,3,32,53,26,74,81,50,51,57,34,55,61,69,22,12,17,74,63,4,43,52,13,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
7,2021-22,CHI,Chicago Bulls,22101126,2022-03-28,CHI @ NYK,L,48.0,34,79,0.43,6,23,0.261,30,33,0.909,6,41,47,16,14.0,6,3,4,24,22,104,-5.0,1,47,47,47,3,77,76,62,74,68,71,2,2,13,55,6,17,78,44,45,47,24,76,10,60,52,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
8,2021-22,CHI,Chicago Bulls,22101110,2022-03-26,CHI @ CLE,W,48.0,36,75,0.48,5,21,0.238,21,25,0.84,6,31,37,23,15.0,6,1,3,21,23,98,4.0,1,1,1,1,3,69,82,39,79,74,76,23,22,32,55,55,62,40,52,45,74,12,59,7,70,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
9,2021-22,CHI,Chicago Bulls,22101098,2022-03-24,CHI @ NOP,L,48.0,40,78,0.513,14,34,0.412,15,19,0.789,4,29,33,25,15.0,5,4,2,24,17,109,-17.0,1,47,47,47,3,45,77,24,13,10,33,51,51,49,77,63,76,26,52,56,31,7,76,43,46,70,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
10,2021-22,CHI,Chicago Bulls,22101082,2022-03-22,CHI @ MIL,L,48.0,39,92,0.424,13,33,0.394,7,13,0.538,5,28,33,21,7.0,9,4,6,12,12,98,-28.0,1,47,47,47,3,50,11,71,18,18,35,81,75,82,67,66,76,54,5,17,31,55,1,80,70,80,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
11,2021-22,CHI,Chicago Bulls,22101076,2022-03-21,CHI vs. TOR,W,48.0,44,90,0.489,11,28,0.393,14,24,0.583,14,28,42,28,6.0,6,7,6,14,20,113,14.0,1,1,1,1,3,26,19,33,31,48,36,55,25,81,6,66,40,19,1,45,8,55,4,23,33,8,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
12,2021-22,CHI,Chicago Bulls,22101056,2022-03-18,CHI @ PHX,L,48.0,35,85,0.412,7,27,0.259,25,31,0.806,13,24,37,20,11.0,6,0,4,18,20,102,-27.0,1,47,47,47,3,72,53,76,64,51,72,7,6,39,9,81,62,61,28,45,81,24,31,23,64,79,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
13,2021-22,CHI,Chicago Bulls,22101041,2022-03-16,CHI @ UTA,L,48.0,43,91,0.473,12,34,0.353,12,17,0.706,5,32,37,28,12.0,10,2,6,22,18,110,-15.0,1,47,47,47,3,32,15,43,25,10,47,67,63,71,67,49,62,19,35,11,63,55,64,35,44,67,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
14,2021-22,CHI,Chicago Bulls,22101026,2022-03-14,CHI @ SAC,L,48.0,36,88,0.409,10,34,0.294,21,22,0.955,9,31,40,22,15.0,5,5,3,20,21,103,-9.0,1,47,47,47,3,69,33,77,43,10,59,23,34,4,35,55,48,44,52,56,20,12,52,16,62,60,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
15,2021-22,CHI,Chicago Bulls,22101006,2022-03-12,CHI vs. CLE,W,48.0,39,88,0.443,9,21,0.429,14,15,0.933,8,38,46,20,14.0,12,5,4,18,19,101,10.0,1,1,1,1,3,50,33,54,54,74,23,55,66,10,42,16,23,61,44,4,20,24,31,28,66,21,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
16,2021-22,CHI,Chicago Bulls,22100982,2022-03-09,CHI @ DET,W,48.0,40,76,0.526,3,15,0.2,31,35,0.886,2,31,33,19,11.0,13,0,3,15,25,114,6.0,1,1,1,1,3,45,79,21,82,82,81,1,1,20,81,55,76,66,28,1,81,12,7,1,31,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
17,2021-22,CHI,Chicago Bulls,22100969,2022-03-07,CHI @ PHI,L,48.0,39,87,0.448,8,24,0.333,20,26,0.769,14,34,48,22,13.0,5,4,5,24,19,106,-15.0,1,47,47,47,3,50,40,53,59,65,50,28,19,56,6,37,14,44,38,56,31,35,76,28,55,67,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
18,2021-22,CHI,Chicago Bulls,22100949,2022-03-04,CHI vs. MIL,L,48.0,47,94,0.5,10,26,0.385,8,11,0.727,5,35,40,25,12.0,5,2,5,23,18,112,-6.0,1,47,47,47,3,14,5,29,43,56,37,79,80,65,67,30,48,26,35,56,63,35,71,35,36,56,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
19,2021-22,CHI,Chicago Bulls,22100710,2022-03-03,CHI @ ATL,L,48.0,52,88,0.591,14,26,0.538,6,7,0.857,5,27,32,30,14.0,5,2,3,19,15,124,-6.0,1,47,47,47,3,3,33,4,13,56,2,82,82,26,67,70,79,14,44,56,63,12,37,62,14,56,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
20,2021-22,CHI,Chicago Bulls,22100922,2022-02-28,CHI @ MIA,L,48.0,41,84,0.488,7,29,0.241,10,15,0.667,5,33,38,23,16.0,9,4,5,24,18,99,-13.0,1,47,47,47,3,38,57,34,64,38,74,72,66,76,67,41,58,40,65,17,31,35,76,35,68,64,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
21,2021-22,CHI,Chicago Bulls,22100909,2022-02-26,CHI vs. MEM,L,48.0,39,93,0.419,9,20,0.45,23,30,0.767,6,35,41,17,10.0,9,3,10,17,24,110,-6.0,1,47,47,47,3,50,8,73,54,80,18,16,10,59,55,30,44,74,21,17,47,79,22,5,44,56,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
22,2021-22,CHI,Chicago Bulls,22100891,2022-02-24,CHI vs. ATL,W,48.0,41,84,0.488,8,27,0.296,22,27,0.815,6,37,43,16,9.0,5,8,3,20,18,112,4.0,1,1,1,1,3,38,57,34,59,51,57,20,16,37,55,23,35,78,12,56,5,12,52,35,36,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
23,2021-22,CHI,Chicago Bulls,22100878,2022-02-16,CHI vs. SAC,W,48.0,47,94,0.5,12,29,0.414,19,20,0.95,13,34,47,25,13.0,8,2,3,16,14,125,7.0,1,1,1,1,3,14,5,29,25,38,30,32,45,7,9,37,17,26,38,28,63,12,15,75,13,27,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
24,2021-22,CHI,Chicago Bulls,22100861,2022-02-14,CHI vs. SAS,W,48.0,46,88,0.523,10,24,0.417,18,21,0.857,10,43,53,25,16.0,3,3,2,19,15,120,11.0,1,1,1,1,3,19,33,22,43,65,29,36,40,26,23,3,5,26,65,77,47,7,37,62,22,19,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
25,2021-22,CHI,Chicago Bulls,22100852,2022-02-12,CHI vs. OKC,W,48.0,40,89,0.449,7,25,0.28,19,23,0.826,11,46,57,20,13.0,6,3,10,19,15,106,5.0,1,1,1,1,3,45,26,52,64,64,63,32,30,36,15,2,2,61,38,45,47,79,37,62,55,34,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
26,2021-22,CHI,Chicago Bulls,22100843,2022-02-11,CHI vs. MIN,W,48.0,55,87,0.632,14,31,0.452,10,13,0.769,6,37,43,32,15.0,6,3,4,15,12,134,12.0,1,1,1,1,3,1,40,1,13,25,17,72,75,56,55,23,35,7,52,45,47,24,7,80,2,15,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
27,2021-22,CHI,Chicago Bulls,22100826,2022-02-09,CHI @ CHA,W,48.0,46,82,0.561,16,33,0.485,13,19,0.684,5,35,40,27,14.0,4,5,1,17,16,121,12.0,1,1,1,1,3,19,68,7,6,18,8,59,51,74,67,30,48,21,44,71,20,1,22,55,20,15,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
28,2021-22,CHI,Chicago Bulls,22100812,2022-02-07,CHI vs. PHX,L,48.0,43,90,0.478,10,26,0.385,28,31,0.903,11,29,40,18,9.0,7,2,5,18,23,124,-3.0,1,47,47,47,3,32,19,40,43,56,37,3,6,16,15,63,48,71,12,35,63,35,31,7,14,49,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
29,2021-22,CHI,Chicago Bulls,22100802,2022-02-06,CHI vs. PHI,L,48.0,39,81,0.481,7,26,0.269,23,26,0.885,6,32,38,21,8.0,3,4,5,19,17,108,-11.0,1,47,47,47,3,50,71,37,64,56,65,16,19,21,55,49,58,54,9,77,31,35,37,43,50,63,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
30,2021-22,CHI,Chicago Bulls,22100789,2022-02-04,CHI @ IND,W,48.0,49,90,0.544,6,26,0.231,18,23,0.783,10,33,43,30,9.0,5,6,3,17,19,122,7.0,1,1,1,1,3,9,19,13,74,56,79,36,30,52,23,41,35,14,12,56,13,12,22,28,18,27,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
31,2021-22,CHI,Chicago Bulls,22100430,2022-02-03,CHI @ TOR,L,53.0,43,90,0.478,12,29,0.414,22,24,0.917,10,41,51,30,17.0,8,7,5,19,17,120,-7.0,1,47,47,47,1,32,19,40,25,38,30,20,25,12,23,6,6,14,69,28,8,35,37,43,22,59,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
32,2021-22,CHI,Chicago Bulls,22100769,2022-02-01,CHI vs. ORL,W,48.0,46,90,0.511,11,30,0.367,23,29,0.793,11,38,49,25,10.0,5,6,4,15,18,126,11.0,1,1,1,1,3,19,19,25,31,33,44,16,14,48,15,16,11,26,21,56,13,24,7,35,12,19,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
33,2021-22,CHI,Chicago Bulls,22100753,2022-01-30,CHI vs. POR,W,48.0,50,90,0.556,13,32,0.406,17,18,0.944,8,36,44,36,7.0,10,3,3,16,12,130,14.0,1,1,1,1,3,6,19,9,18,23,34,38,57,8,42,27,30,2,5,11,47,12,15,80,7,8,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
34,2021-22,CHI,Chicago Bulls,22100742,2022-01-28,CHI @ SAS,L,48.0,46,88,0.523,8,30,0.267,22,26,0.846,4,33,37,22,6.0,5,2,1,16,18,122,-9.0,1,47,47,47,3,19,33,22,59,33,68,20,19,30,77,41,62,44,1,56,63,1,15,35,18,60,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
35,2021-22,CHI,Chicago Bulls,22100472,2022-01-26,CHI vs. TOR,W,48.0,46,84,0.548,7,26,0.269,12,16,0.75,10,35,45,32,15.0,2,1,5,22,17,111,6.0,1,1,1,1,3,19,57,11,64,56,65,67,64,60,23,30,27,7,52,82,74,35,64,43,40,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
36,2021-22,CHI,Chicago Bulls,22100730,2022-01-24,CHI @ OKC,W,48.0,41,89,0.461,15,39,0.385,14,19,0.737,10,41,51,31,19.0,7,9,5,23,15,111,1.0,1,1,1,1,3,38,26,49,8,2,37,55,51,64,23,6,6,11,78,35,3,35,71,62,40,45,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
37,2021-22,CHI,Chicago Bulls,22100701,2022-01-23,CHI @ ORL,L,48.0,33,76,0.434,5,21,0.238,24,32,0.75,11,33,44,10,22.0,3,4,8,22,25,95,-19.0,1,47,47,47,3,79,79,60,79,74,76,11,4,60,15,41,30,82,80,77,31,70,64,1,75,72,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
38,2021-22,CHI,Chicago Bulls,22100690,2022-01-21,CHI @ MIL,L,48.0,31,85,0.365,7,38,0.184,21,24,0.875,6,43,49,21,10.0,4,4,3,21,17,90,-4.0,1,47,47,47,3,80,53,81,64,4,82,23,25,22,55,3,11,54,21,71,31,12,59,43,81,51,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
39,2021-22,CHI,Chicago Bulls,22100673,2022-01-19,CHI vs. CLE,W,48.0,47,86,0.547,10,22,0.455,13,18,0.722,7,30,37,25,10.0,7,4,4,18,15,117,13.0,1,1,1,1,3,14,44,12,43,72,14,59,57,68,48,61,62,26,21,35,31,24,31,62,27,13,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
40,2021-22,CHI,Chicago Bulls,22100658,2022-01-17,CHI @ MEM,L,48.0,40,92,0.435,13,31,0.419,13,15,0.867,9,34,43,24,18.0,10,7,7,15,13,106,-13.0,1,47,47,47,3,45,11,59,18,25,27,59,66,23,35,37,35,35,74,11,8,63,7,79,55,64,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
41,2021-22,CHI,Chicago Bulls,22100647,2022-01-15,CHI @ BOS,L,48.0,44,87,0.506,12,29,0.414,12,15,0.8,7,25,32,31,6.0,3,3,6,19,15,112,-2.0,1,47,47,47,3,26,40,27,25,38,30,67,66,42,48,77,79,11,1,77,47,55,37,62,36,48,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
42,2021-22,CHI,Chicago Bulls,22100637,2022-01-14,CHI vs. GSW,L,48.0,37,87,0.425,10,38,0.263,12,18,0.667,10,26,36,26,14.0,4,5,5,19,17,96,-42.0,1,47,47,47,3,63,40,70,43,4,70,67,57,76,23,73,69,22,44,71,20,35,37,43,74,82,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
43,2021-22,CHI,Chicago Bulls,22100625,2022-01-12,CHI vs. BKN,L,48.0,38,81,0.469,11,30,0.367,25,31,0.806,10,25,35,22,17.0,5,6,4,20,21,112,-26.0,1,47,47,47,3,59,71,46,31,33,44,7,6,39,23,77,73,44,69,56,13,24,52,16,36,76,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
44,2021-22,CHI,Chicago Bulls,22100415,2022-01-11,CHI vs. DET,W,48.0,50,92,0.543,18,34,0.529,15,19,0.789,14,47,61,33,18.0,13,4,7,23,20,133,46.0,1,1,1,1,3,6,11,14,1,10,3,51,51,49,6,1,1,5,74,1,31,63,71,23,3,1,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
45,2021-22,CHI,Chicago Bulls,22100603,2022-01-09,CHI @ DAL,L,48.0,39,90,0.433,11,33,0.333,10,13,0.769,8,31,39,23,7.0,8,3,2,15,14,99,-14.0,1,47,47,47,3,50,19,61,31,18,50,72,75,56,42,55,55,40,5,28,47,7,7,75,68,66,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
46,2021-22,CHI,Chicago Bulls,22100585,2022-01-07,CHI vs. WAS,W,48.0,48,91,0.527,15,33,0.455,19,21,0.905,10,31,41,34,15.0,11,3,5,21,15,130,8.0,1,1,1,1,3,12,15,20,8,18,14,32,40,15,23,55,44,4,52,6,47,35,59,62,7,24,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
47,2021-22,CHI,Chicago Bulls,22100555,2022-01-03,CHI vs. ORL,W,48.0,37,86,0.43,11,31,0.355,17,23,0.739,10,39,49,17,13.0,10,4,2,16,17,102,4.0,1,1,1,1,3,63,44,63,31,25,46,38,30,62,23,13,11,74,38,11,31,7,15,43,64,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
48,2021-22,CHI,Chicago Bulls,22100541,2022-01-01,CHI @ WAS,W,48.0,41,84,0.488,17,34,0.5,21,25,0.84,6,38,44,17,15.0,4,4,3,24,22,120,1.0,1,1,1,1,3,38,57,34,3,10,4,23,22,32,55,16,30,74,52,71,31,12,76,10,22,45,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
49,2021-22,CHI,Chicago Bulls,22100530,2021-12-31,CHI @ IND,W,48.0,35,86,0.407,12,27,0.444,26,30,0.867,8,34,42,22,11.0,11,5,8,19,22,108,2.0,1,1,1,1,3,72,44,78,25,51,20,4,10,23,42,37,40,44,28,6,20,70,37,10,50,44,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
50,2021-22,CHI,Chicago Bulls,22100519,2021-12-29,CHI vs. ATL,W,48.0,52,84,0.619,10,22,0.455,17,22,0.773,6,35,41,38,15.0,9,6,3,18,17,131,14.0,1,1,1,1,3,3,57,2,43,72,14,38,34,54,55,30,44,1,52,17,13,12,31,43,6,8,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
51,2021-22,CHI,Chicago Bulls,22100502,2021-12-27,CHI @ ATL,W,48.0,51,94,0.543,18,37,0.486,10,14,0.714,9,35,44,29,10.0,5,6,5,19,14,130,12.0,1,1,1,1,3,5,5,15,1,6,7,72,72,69,35,30,30,18,21,56,13,35,37,75,7,15,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
52,2021-22,CHI,Chicago Bulls,22100499,2021-12-26,CHI vs. IND,W,48.0,43,76,0.566,11,23,0.478,16,22,0.727,2,38,40,17,15.0,5,6,5,20,16,113,8.0,1,1,1,1,3,32,79,6,31,68,10,46,34,65,81,16,48,74,52,56,13,35,52,55,33,24,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
53,2021-22,CHI,Chicago Bulls,22100459,2021-12-20,CHI vs. HOU,W,48.0,47,88,0.534,16,35,0.457,23,24,0.958,9,25,34,33,8.0,7,5,4,23,17,133,15.0,1,1,1,1,3,14,33,17,6,7,13,16,25,3,35,77,74,5,9,35,20,24,71,43,3,6,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
54,2021-22,CHI,Chicago Bulls,22100448,2021-12-19,CHI vs. LAL,W,48.0,40,93,0.43,10,30,0.333,25,31,0.806,16,27,43,20,10.0,10,3,8,17,25,115,5.0,1,1,1,1,3,45,8,66,43,33,50,7,6,39,3,70,35,61,21,11,47,70,22,1,30,34,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
55,2021-22,CHI,Chicago Bulls,22100394,2021-12-11,CHI @ MIA,L,48.0,31,83,0.373,17,40,0.425,13,20,0.65,7,27,34,22,16.0,5,3,6,15,21,92,-26.0,1,47,47,47,3,80,65,80,3,1,25,59,45,78,48,70,74,44,65,56,47,55,7,16,79,76,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
56,2021-22,CHI,Chicago Bulls,22100367,2021-12-08,CHI @ CLE,L,48.0,35,84,0.417,7,26,0.269,15,21,0.714,11,26,37,21,18.0,6,3,8,17,22,92,-23.0,1,47,47,47,3,72,57,74,64,56,65,51,40,69,15,73,62,54,74,45,47,70,22,10,79,74,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
57,2021-22,CHI,Chicago Bulls,22100357,2021-12-06,CHI vs. DEN,W,48.0,41,91,0.451,13,35,0.371,14,20,0.7,13,42,55,25,11.0,4,7,2,15,17,109,12.0,1,1,1,1,3,38,15,51,18,7,43,55,45,73,9,5,4,26,28,71,8,7,7,43,46,15,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
58,2021-22,CHI,Chicago Bulls,22100343,2021-12-04,CHI @ BKN,W,48.0,41,86,0.477,10,31,0.323,19,27,0.704,7,40,47,22,9.0,4,10,6,12,19,111,4.0,1,1,1,1,3,38,44,42,43,25,54,32,16,72,48,11,17,44,12,71,2,55,1,28,40,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
59,2021-22,CHI,Chicago Bulls,22100328,2021-12-02,CHI @ NYK,W,48.0,44,89,0.494,11,29,0.379,20,21,0.952,13,26,39,24,15.0,10,8,8,22,20,119,4.0,1,1,1,1,3,26,26,31,31,38,40,28,40,6,9,73,55,35,52,11,5,70,64,23,25,37,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
60,2021-22,CHI,Chicago Bulls,22100307,2021-11-29,CHI vs. CHA,W,48.0,53,89,0.596,14,30,0.467,13,19,0.684,5,36,41,35,11.0,3,5,9,19,14,133,14.0,1,1,1,1,3,2,26,3,13,33,12,59,51,74,67,27,44,3,28,77,20,77,37,75,3,8,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
61,2021-22,CHI,Chicago Bulls,22100296,2021-11-27,CHI vs. MIA,L,48.0,38,81,0.469,11,39,0.282,17,21,0.81,10,37,47,22,23.0,6,4,1,20,19,104,-3.0,1,47,47,47,3,59,71,46,31,2,62,38,40,38,23,23,17,44,81,45,31,1,52,28,60,49,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
62,2021-22,CHI,Chicago Bulls,22100283,2021-11-26,CHI @ ORL,W,48.0,48,86,0.558,17,34,0.5,10,16,0.625,6,41,47,32,14.0,11,1,5,24,16,123,35.0,1,1,1,1,3,12,44,8,3,10,4,72,64,79,55,6,17,7,44,6,74,35,76,55,17,2,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
63,2021-22,CHI,Chicago Bulls,22100271,2021-11-24,CHI @ HOU,L,48.0,44,96,0.458,15,35,0.429,10,12,0.833,8,32,40,26,14.0,12,6,6,22,16,113,-5.0,1,47,47,47,3,26,4,50,8,7,23,72,79,34,42,49,48,22,44,4,13,55,64,55,33,52,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
64,2021-22,CHI,Chicago Bulls,22100257,2021-11-22,CHI vs. IND,L,48.0,31,85,0.365,6,28,0.214,9,15,0.6,5,33,38,13,9.0,6,2,12,16,15,77,-32.0,1,47,47,47,3,80,53,81,74,48,80,78,66,80,67,41,58,81,12,45,63,82,15,62,82,81,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
65,2021-22,CHI,Chicago Bulls,22100250,2021-11-21,CHI vs. NYK,W,48.0,37,88,0.42,11,29,0.379,24,27,0.889,11,33,44,21,10.0,5,1,11,26,25,109,6.0,1,1,1,1,3,63,33,72,31,38,40,11,16,18,15,41,30,54,21,56,74,81,82,1,46,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
66,2021-22,CHI,Chicago Bulls,22100236,2021-11-19,CHI @ DEN,W,48.0,41,93,0.441,8,31,0.258,24,24,1.0,17,33,50,19,11.0,7,3,5,20,22,114,6.0,1,1,1,1,3,38,8,56,59,25,73,11,25,1,2,41,8,66,28,35,47,35,52,10,31,29,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
