,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101218,2022-04-10,CLE vs. MIL,W,48.0,51,94,0.543,19,38,0.5,12,17,0.706,10,38,48,39,12.0,5,5,2,26,14,133,18.0,1,1,1,1,3,2,5,8,2,19,4,70,65,58,38,16,21,1,18,64,19,6,80,77,2,8
1,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101205,2022-04-08,CLE @ BKN,L,48.0,40,82,0.488,8,27,0.296,19,24,0.792,10,21,31,19,9.0,4,4,8,20,20,107,-11.0,1,45,45,45,3,35,48,29,66,64,62,21,26,39,38,81,82,74,3,70,30,70,61,37,40,69
2,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101179,2022-04-05,CLE @ ORL,L,48.0,42,86,0.488,16,36,0.444,15,22,0.682,9,38,47,25,12.0,6,4,8,11,19,115,-5.0,1,45,45,45,3,24,32,28,7,26,11,49,39,61,45,16,27,42,18,45,30,70,4,45,20,54
3,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101170,2022-04-03,CLE vs. PHI,L,48.0,35,78,0.449,15,33,0.455,23,31,0.742,7,34,41,24,12.0,10,3,8,28,19,108,-4.0,1,45,45,45,3,66,73,53,13,39,8,8,7,51,62,41,53,48,18,12,47,70,82,45,37,49
4,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101162,2022-04-02,CLE @ NYK,W,48.0,44,81,0.543,15,34,0.441,16,21,0.762,7,36,43,26,12.0,6,3,4,24,19,119,18.0,1,1,1,1,3,15,55,7,13,34,13,40,46,45,62,28,43,33,18,45,47,30,77,45,12,8
5,2021-22,1610612739,CLE,Cleveland Cavaliers,0022100452,2022-03-31,CLE @ ATL,L,48.0,39,90,0.433,7,30,0.233,22,28,0.786,15,32,47,19,14.0,6,5,4,20,22,107,-24.0,1,45,45,45,3,39,13,60,73,51,77,13,12,40,4,50,27,74,36,45,19,30,61,23,40,82
6,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101136,2022-03-30,CLE vs. DAL,L,48.0,42,83,0.506,11,25,0.44,17,22,0.773,9,30,39,24,15.0,7,3,6,15,17,112,-8.0,1,45,45,45,3,24,42,23,41,69,14,35,39,43,45,62,64,48,45,32,47,57,21,61,31,60
7,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101123,2022-03-28,CLE vs. ORL,W,48.0,37,83,0.446,13,41,0.317,20,23,0.87,6,35,41,26,15.0,11,4,1,13,24,107,6.0,1,1,1,1,3,51,42,54,29,8,58,16,34,11,72,34,53,33,45,8,30,1,9,7,40,28
8,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101110,2022-03-26,CLE vs. CHI,L,48.0,34,82,0.415,7,31,0.226,19,27,0.704,15,31,46,17,13.0,7,3,1,23,21,94,-4.0,1,45,45,45,3,74,48,71,73,44,79,21,16,59,4,56,32,79,27,32,47,1,72,30,69,49
9,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101095,2022-03-24,CLE @ TOR,L,48.0,37,79,0.468,12,30,0.4,18,22,0.818,9,27,36,24,13.0,4,3,5,14,22,104,-13.0,1,45,45,45,3,51,70,38,35,51,20,29,39,34,45,76,76,48,27,70,47,43,15,23,51,76
10,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101072,2022-03-21,CLE vs. LAL,L,48.0,45,86,0.523,14,39,0.359,16,19,0.842,8,30,38,29,12.0,3,2,3,19,19,120,-11.0,1,45,45,45,3,9,32,16,19,14,35,40,57,22,52,62,70,11,18,75,71,15,53,45,9,69
11,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101060,2022-03-19,CLE vs. DET,W,48.0,45,88,0.511,10,26,0.385,13,23,0.565,12,32,44,28,16.0,7,4,6,16,22,113,4.0,1,1,1,1,3,9,23,21,47,67,27,65,34,79,23,50,39,17,55,32,30,57,27,23,29,33
12,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101049,2022-03-18,CLE vs. DEN,W,53.0,44,98,0.449,14,37,0.378,17,26,0.654,15,31,46,31,11.0,11,4,3,17,24,119,3.0,1,1,1,1,1,15,2,52,19,24,29,35,21,71,4,56,32,6,13,8,30,15,34,7,12,35
13,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101034,2022-03-16,CLE vs. PHI,L,48.0,39,80,0.488,9,28,0.321,27,32,0.844,8,31,39,25,9.0,9,4,2,17,25,114,-4.0,1,45,45,45,3,39,63,30,55,58,51,2,5,21,52,56,64,42,3,16,30,6,34,5,24,49
14,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101020,2022-03-14,CLE vs. LAC,W,53.0,41,86,0.477,15,30,0.5,23,32,0.719,12,37,49,28,12.0,7,4,8,19,24,120,9.0,1,1,1,1,1,29,32,33,13,51,4,8,5,55,23,23,16,17,18,32,30,70,53,7,9,23
15,2021-22,1610612739,CLE,Cleveland Cavaliers,0022101006,2022-03-12,CLE @ CHI,L,48.0,36,86,0.419,5,24,0.208,14,17,0.824,5,35,40,19,14.0,7,4,5,19,18,91,-10.0,1,45,45,45,3,58,32,69,81,74,81,56,65,30,77,34,58,74,36,32,30,43,53,56,79,64
