,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612754,IND,Indiana Pacers,0022101216,2022-04-10,IND @ BKN,L,48.0,47,104,0.452,19,46,0.413,13,19,0.684,11,19,30,32,7.0,16,1,6,23,16,126,-8.0,1,26,26,26,9,8,1,46,1,2,20,56,46,67,33,81,80,8,1,1,80,51,63,61,7,52
1,2021-22,1610612754,IND,Indiana Pacers,0022101214,2022-04-09,IND @ PHI,L,48.0,41,78,0.526,10,23,0.435,28,36,0.778,7,24,31,28,17.0,8,6,3,22,24,120,-13.0,1,26,26,26,9,42,80,10,55,80,13,1,1,38,72,76,78,21,59,23,27,9,55,12,24,68
2,2021-22,1610612754,IND,Indiana Pacers,0022101178,2022-04-05,IND vs. PHI,L,48.0,45,95,0.474,12,40,0.3,20,21,0.952,16,32,48,29,16.0,8,10,3,18,14,122,-9.0,1,26,26,26,9,18,15,34,40,15,55,20,37,6,10,44,19,17,53,23,5,9,14,74,15,59
3,2021-22,1610612754,IND,Indiana Pacers,0022101169,2022-04-03,IND vs. DET,L,48.0,45,94,0.479,12,38,0.316,15,19,0.789,17,41,58,33,19.0,6,11,4,21,19,117,-4.0,1,26,26,26,9,18,20,31,40,22,49,43,46,33,6,3,3,5,70,48,2,23,43,37,33,40
4,2021-22,1610612754,IND,Indiana Pacers,0022101153,2022-04-01,IND @ BOS,L,48.0,42,81,0.519,17,36,0.472,22,23,0.957,8,22,30,25,16.0,9,3,4,30,19,123,-5.0,1,26,26,26,9,35,73,14,6,35,8,14,27,4,63,78,80,38,53,15,63,23,81,37,12,45
5,2021-22,1610612754,IND,Indiana Pacers,0022101137,2022-03-30,IND vs. DEN,L,48.0,44,97,0.454,12,40,0.3,18,23,0.783,18,19,37,29,8.0,11,4,4,21,20,118,-7.0,1,26,26,26,9,25,9,45,40,15,55,27,27,36,4,81,71,17,2,4,53,23,43,29,28,48
6,2021-22,1610612754,IND,Indiana Pacers,0022101124,2022-03-28,IND vs. ATL,L,48.0,45,87,0.517,17,36,0.472,16,18,0.889,8,20,28,32,14.0,7,6,4,22,19,123,-9.0,1,26,26,26,9,18,52,16,6,35,8,36,54,11,63,80,82,8,40,34,27,23,55,37,12,59
7,2021-22,1610612754,IND,Indiana Pacers,0022101109,2022-03-26,IND @ TOR,L,48.0,33,79,0.418,11,36,0.306,14,20,0.7,9,26,35,23,14.0,5,3,3,14,16,91,-40.0,1,26,26,26,9,77,77,67,46,35,50,50,42,60,53,70,75,52,40,64,63,9,3,61,79,82
8,2021-22,1610612754,IND,Indiana Pacers,0022101096,2022-03-24,IND @ MEM,L,48.0,39,92,0.424,9,33,0.273,16,23,0.696,9,22,31,20,11.0,7,8,9,19,22,103,-30.0,1,26,26,26,9,56,27,63,65,51,64,36,27,61,53,78,78,69,12,34,13,79,22,15,60,79
9,2021-22,1610612754,IND,Indiana Pacers,0022101086,2022-03-23,IND vs. SAC,L,48.0,42,91,0.462,14,36,0.389,11,11,1.0,10,32,42,34,15.0,11,3,3,17,10,109,-1.0,1,26,26,26,9,35,31,42,19,35,26,67,77,1,42,44,44,4,48,4,63,9,12,81,48,26
10,2021-22,1610612754,IND,Indiana Pacers,0022101062,2022-03-20,IND vs. POR,W,48.0,48,84,0.571,15,35,0.429,18,21,0.857,11,30,41,38,16.0,10,2,3,19,19,129,31.0,1,1,1,1,9,7,62,2,14,46,14,27,37,19,33,57,51,1,53,9,75,9,22,37,4,2
11,2021-22,1610612754,IND,Indiana Pacers,0022101053,2022-03-18,IND @ HOU,W,48.0,47,101,0.465,14,43,0.326,13,19,0.684,16,30,46,29,13.0,7,4,8,26,19,121,3.0,1,1,1,1,9,8,4,40,19,9,45,56,46,67,10,57,30,17,27,34,53,74,77,37,21,23
12,2021-22,1610612754,IND,Indiana Pacers,0022101029,2022-03-15,IND vs. MEM,L,48.0,41,98,0.418,6,30,0.2,14,19,0.737,16,33,49,23,19.0,4,3,11,21,16,102,-33.0,1,26,26,26,9,42,7,66,80,67,80,50,46,49,10,36,16,52,70,72,63,82,43,61,63,81
13,2021-22,1610612754,IND,Indiana Pacers,0022101016,2022-03-13,IND @ ATL,L,48.0,46,89,0.517,15,35,0.429,21,26,0.808,15,28,43,23,15.0,7,4,3,21,21,128,-3.0,1,26,26,26,9,15,46,17,14,46,14,16,21,28,13,65,41,52,48,34,53,9,43,22,5,33
14,2021-22,1610612754,IND,Indiana Pacers,0022101007,2022-03-12,IND @ SAS,W,48.0,45,92,0.489,14,36,0.389,15,15,1.0,9,38,47,23,13.0,6,10,3,20,15,119,11.0,1,1,1,1,9,18,27,23,19,35,26,43,68,1,53,14,23,52,27,48,5,9,36,69,26,12
