,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612746,LAC,LA Clippers,0022101222,2022-04-10,LAC vs. OKC,W,48.0,54,97,0.557,18,35,0.514,12,14,0.857,12,45,57,34,9.0,4,8,2,11,16,138,50.0,1,1,1,1,5,2,6,4,5,34,6,60,65,24,13,7,4,5,7,77,6,7,2,60,4,1
1,2021-22,1610612746,LAC,LA Clippers,0022101212,2022-04-09,LAC vs. SAC,W,48.0,42,86,0.488,21,43,0.488,12,15,0.8,10,38,48,29,17.0,7,3,2,22,16,117,19.0,1,1,1,1,5,25,42,23,2,5,11,60,60,40,26,16,20,12,64,32,56,7,59,60,16,9
2,2021-22,1610612746,LAC,LA Clippers,0022101195,2022-04-06,LAC vs. PHX,W,48.0,33,75,0.44,12,34,0.353,35,44,0.795,9,46,55,20,17.0,7,9,2,17,26,113,4.0,1,1,1,1,5,73,80,51,38,40,44,1,1,44,33,4,6,59,64,32,3,7,30,3,28,29
3,2021-22,1610612746,LAC,LA Clippers,0022101177,2022-04-03,LAC vs. NOP,W,48.0,45,95,0.474,21,44,0.477,8,10,0.8,12,29,41,33,10.0,10,5,5,21,13,119,19.0,1,1,1,1,5,11,15,33,2,3,12,71,75,40,13,68,55,8,9,11,34,52,52,74,13,9
4,2021-22,1610612746,LAC,LA Clippers,0022101156,2022-04-01,LAC @ MIL,W,48.0,56,92,0.609,23,43,0.535,18,24,0.75,8,28,36,34,10.0,9,7,5,17,19,153,34.0,1,1,1,1,5,1,20,1,1,5,3,26,21,48,44,73,71,5,9,15,12,52,30,29,1,2
5,2021-22,1610612746,LAC,LA Clippers,0022101149,2022-03-31,LAC @ CHI,L,53.0,45,90,0.5,16,36,0.444,24,26,0.923,4,36,40,26,12.0,7,5,3,24,17,130,-5.0,1,43,43,43,1,11,29,18,12,25,14,5,14,8,76,28,59,21,20,32,34,18,72,53,6,48
6,2021-22,1610612746,LAC,LA Clippers,0022101135,2022-03-29,LAC vs. UTA,W,48.0,41,83,0.494,15,36,0.417,24,28,0.857,10,23,33,21,11.0,8,4,5,23,24,121,6.0,1,1,1,1,5,33,59,21,19,25,21,5,9,24,26,82,79,56,17,22,45,52,67,6,10,24
7,2021-22,1610612746,LAC,LA Clippers,0022101106,2022-03-25,LAC vs. PHI,L,48.0,34,85,0.4,8,25,0.32,21,25,0.84,9,30,39,19,16.0,7,7,8,18,18,97,-25.0,1,43,43,43,5,65,50,67,77,78,59,12,17,31,33,64,63,65,60,32,12,78,37,40,66,80
8,2021-22,1610612746,LAC,LA Clippers,0022101083,2022-03-22,LAC @ DEN,L,48.0,42,86,0.488,10,32,0.313,21,26,0.808,6,29,35,27,6.0,3,7,5,19,19,115,-12.0,1,43,43,43,5,25,42,23,60,50,64,12,14,39,63,68,74,17,1,79,12,52,42,29,21,63
9,2021-22,1610612746,LAC,LA Clippers,0022101055,2022-03-18,LAC @ UTA,L,48.0,31,86,0.36,11,35,0.314,19,21,0.905,8,35,43,23,12.0,10,8,5,13,18,92,-29.0,1,43,43,43,5,78,42,78,46,34,63,24,30,12,44,32,40,44,20,11,6,52,7,40,72,82
10,2021-22,1610612746,LAC,LA Clippers,0022101044,2022-03-16,LAC vs. TOR,L,48.0,38,78,0.487,11,30,0.367,13,15,0.867,10,31,41,27,14.0,7,2,1,15,12,100,-3.0,1,43,43,43,5,53,74,27,46,62,39,51,60,21,26,59,55,17,44,32,72,3,13,77,60,46
11,2021-22,1610612746,LAC,LA Clippers,0022101020,2022-03-14,LAC @ CLE,L,53.0,43,98,0.439,12,36,0.333,13,17,0.765,12,31,43,29,11.0,5,8,4,24,19,111,-9.0,1,43,43,43,1,19,5,52,38,25,50,51,49,46,13,59,40,12,17,64,6,32,72,29,33,60
12,2021-22,1610612746,LAC,LA Clippers,0022101013,2022-03-13,LAC @ DET,W,48.0,40,89,0.449,10,30,0.333,16,20,0.8,11,35,46,25,6.0,5,3,4,15,18,106,4.0,1,1,1,1,5,39,32,44,60,62,50,34,35,40,22,32,29,28,1,64,56,32,13,40,43,29
13,2021-22,1610612746,LAC,LA Clippers,0022100996,2022-03-11,LAC @ ATL,L,48.0,40,82,0.488,12,32,0.375,14,17,0.824,6,30,36,22,12.0,7,3,3,20,19,106,-6.0,1,43,43,43,5,39,62,26,38,50,37,46,49,36,63,64,71,52,20,32,56,18,48,29,43,50
14,2021-22,1610612746,LAC,LA Clippers,0022100992,2022-03-09,LAC vs. WAS,W,48.0,43,86,0.5,16,32,0.5,13,13,1.0,7,34,41,21,12.0,6,10,3,15,13,115,6.0,1,1,1,1,5,19,42,18,12,50,8,51,67,1,55,40,55,56,20,54,2,18,13,74,21,24
15,2021-22,1610612746,LAC,LA Clippers,0022100980,2022-03-08,LAC @ GSW,L,48.0,33,93,0.355,12,39,0.308,19,23,0.826,12,35,47,23,13.0,12,3,6,12,20,97,-15.0,1,43,43,43,5,73,17,82,38,14,67,24,25,35,13,32,22,44,32,4,56,65,3,22,66,67
16,2021-22,1610612746,LAC,LA Clippers,0022100966,2022-03-06,LAC vs. NYK,L,48.0,33,88,0.375,11,34,0.324,16,22,0.727,9,34,43,17,10.0,2,5,5,23,18,93,-23.0,1,43,43,43,5,73,36,77,46,40,55,34,27,59,33,40,40,75,9,80,34,52,67,40,71,76
17,2021-22,1610612746,LAC,LA Clippers,0022100945,2022-03-03,LAC vs. LAL,W,48.0,51,93,0.548,17,27,0.63,13,15,0.867,13,33,46,32,12.0,10,3,4,22,17,132,21.0,1,1,1,1,5,5,17,8,11,75,1,51,60,21,9,49,29,10,20,11,56,32,59,53,5,7
18,2021-22,1610612746,LAC,LA Clippers,0022100929,2022-03-01,LAC @ HOU,W,48.0,42,96,0.438,13,31,0.419,16,17,0.941,17,38,55,24,16.0,7,8,6,19,18,113,13.0,1,1,1,1,5,25,10,53,34,59,20,34,49,6,2,16,6,35,60,32,6,65,42,40,28,16
19,2021-22,1610612746,LAC,LA Clippers,0022100916,2022-02-27,LAC @ HOU,W,48.0,34,77,0.442,11,34,0.324,20,28,0.714,10,49,59,18,18.0,4,12,0,22,21,99,1.0,1,1,1,1,5,65,79,50,46,40,55,17,9,63,26,2,3,68,71,77,1,1,59,15,62,39
20,2021-22,1610612746,LAC,LA Clippers,0022100904,2022-02-25,LAC @ LAL,W,48.0,41,83,0.494,10,26,0.385,13,19,0.684,7,40,47,25,17.0,8,8,7,19,17,105,3.0,1,1,1,1,5,33,59,21,60,76,32,51,39,67,55,13,22,28,64,22,6,73,42,53,48,33
21,2021-22,1610612746,LAC,LA Clippers,0022100888,2022-02-17,LAC vs. HOU,W,48.0,51,92,0.554,18,35,0.514,22,26,0.846,12,38,50,34,18.0,12,5,2,16,20,142,31.0,1,1,1,1,5,5,20,5,5,34,6,10,14,28,13,16,12,5,71,4,34,7,23,22,2,3
22,2021-22,1610612746,LAC,LA Clippers,0022100873,2022-02-15,LAC @ PHX,L,48.0,40,97,0.412,10,35,0.286,6,9,0.667,13,33,46,26,14.0,11,9,4,12,12,96,-7.0,1,43,43,43,5,39,6,61,60,34,76,76,76,71,9,49,29,21,44,9,3,32,3,77,69,53
23,2021-22,1610612746,LAC,LA Clippers,0022100866,2022-02-14,LAC vs. GSW,W,48.0,48,85,0.565,15,34,0.441,8,15,0.533,6,37,43,25,12.0,6,3,3,18,18,119,15.0,1,1,1,1,5,7,50,3,19,40,15,71,60,82,63,24,40,28,20,54,56,18,37,40,13,13
24,2021-22,1610612746,LAC,LA Clippers,0022100853,2022-02-12,LAC @ DAL,W,48.0,43,82,0.524,7,22,0.318,6,11,0.545,6,36,42,23,14.0,7,4,0,20,17,99,2.0,1,1,1,1,5,19,62,11,79,81,60,76,73,80,63,28,51,44,44,32,45,1,48,53,62,36
25,2021-22,1610612746,LAC,LA Clippers,0022100835,2022-02-10,LAC @ DAL,L,48.0,39,81,0.481,9,23,0.391,18,25,0.72,4,27,31,24,10.0,9,2,3,25,23,105,-7.0,1,43,43,43,5,48,66,29,69,80,28,26,17,61,76,78,80,35,9,15,72,18,79,8,48,53
26,2021-22,1610612746,LAC,LA Clippers,0022100818,2022-02-08,LAC @ MEM,L,48.0,40,89,0.449,11,31,0.355,18,24,0.75,11,29,40,25,17.0,8,7,6,17,18,109,-26.0,1,43,43,43,5,39,32,44,46,59,43,26,21,48,22,68,59,28,64,22,12,65,30,40,37,81
27,2021-22,1610612746,LAC,LA Clippers,0022100809,2022-02-06,LAC vs. MIL,L,48.0,40,96,0.417,18,46,0.391,15,16,0.938,10,34,44,26,10.0,6,2,4,20,15,113,-24.0,1,43,43,43,5,39,10,59,5,2,28,40,56,7,26,40,37,21,9,54,72,32,48,65,28,77
28,2021-22,1610612746,LAC,LA Clippers,0022100786,2022-02-03,LAC vs. LAL,W,48.0,46,89,0.517,13,30,0.433,6,11,0.545,7,36,43,29,10.0,5,6,6,22,13,111,1.0,1,1,1,1,5,10,32,14,34,62,18,76,73,80,55,28,40,12,9,64,26,65,59,74,33,39
29,2021-22,1610612746,LAC,LA Clippers,0022100760,2022-01-31,LAC @ IND,L,48.0,45,96,0.469,15,44,0.341,11,13,0.846,10,31,41,25,10.0,7,5,5,15,12,116,-6.0,1,43,43,43,5,11,10,39,19,3,49,64,67,28,26,59,55,28,9,32,34,52,13,77,18,50
30,2021-22,1610612746,LAC,LA Clippers,0022100752,2022-01-30,LAC @ CHA,W,48.0,44,84,0.524,11,28,0.393,16,19,0.842,6,54,60,23,18.0,5,6,2,23,15,115,25.0,1,1,1,1,5,15,57,12,46,70,26,34,39,30,63,1,2,44,71,64,26,7,67,65,21,6
31,2021-22,1610612746,LAC,LA Clippers,0022100738,2022-01-28,LAC @ MIA,L,48.0,41,92,0.446,9,35,0.257,23,32,0.719,9,28,37,22,13.0,7,3,3,21,23,114,-7.0,1,43,43,43,5,33,20,47,69,34,78,9,3,62,33,73,67,52,32,32,56,18,52,8,25,53
32,2021-22,1610612746,LAC,LA Clippers,0022100724,2022-01-26,LAC @ ORL,W,48.0,36,81,0.444,15,29,0.517,24,27,0.889,8,41,49,20,15.0,7,1,3,22,23,111,9.0,1,1,1,1,5,60,66,49,19,67,5,5,11,14,44,10,14,59,53,32,79,18,59,8,33,21
33,2021-22,1610612746,LAC,LA Clippers,0022100716,2022-01-25,LAC @ WAS,W,48.0,39,94,0.415,11,29,0.379,27,31,0.871,12,36,48,28,12.0,9,5,7,29,24,116,1.0,1,1,1,1,5,48,16,60,46,67,35,3,5,20,13,28,20,15,20,15,34,73,82,6,18,39
34,2021-22,1610612746,LAC,LA Clippers,0022100698,2022-01-23,LAC @ NYK,L,48.0,34,79,0.43,14,41,0.341,20,30,0.667,6,34,40,20,12.0,7,6,4,19,22,102,-8.0,1,43,43,43,5,65,73,57,27,10,48,17,7,71,63,40,59,59,20,32,26,32,42,14,57,57
35,2021-22,1610612746,LAC,LA Clippers,0022100686,2022-01-21,LAC @ PHI,W,48.0,40,87,0.46,11,32,0.344,11,15,0.733,10,39,49,21,12.0,5,0,3,21,17,102,1.0,1,1,1,1,5,39,38,42,46,50,46,64,60,58,26,15,14,56,20,64,81,18,52,53,57,39
36,2021-22,1610612746,LAC,LA Clippers,0022100678,2022-01-19,LAC @ DEN,L,53.0,52,97,0.536,15,39,0.385,9,12,0.75,12,35,47,35,14.0,6,3,3,24,15,128,-2.0,1,43,43,43,1,4,6,9,19,14,32,67,70,48,13,32,22,2,44,54,56,18,72,65,8,44
37,2021-22,1610612746,LAC,LA Clippers,0022100659,2022-01-17,LAC vs. IND,W,48.0,45,82,0.549,18,36,0.5,31,36,0.861,8,29,37,32,13.0,7,7,4,18,23,139,6.0,1,1,1,1,5,11,62,7,5,25,8,2,2,23,44,68,67,10,32,32,12,32,37,8,3,24
38,2021-22,1610612746,LAC,LA Clippers,0022100648,2022-01-15,LAC @ SAS,L,48.0,38,100,0.38,12,38,0.316,6,8,0.75,21,33,54,24,15.0,8,4,5,21,12,94,-7.0,1,43,43,43,5,53,1,75,38,19,61,76,78,48,1,49,8,35,53,22,45,52,52,77,70,53
39,2021-22,1610612746,LAC,LA Clippers,0022100629,2022-01-13,LAC @ NOP,L,48.0,31,81,0.383,10,34,0.294,17,20,0.85,5,41,46,19,15.0,2,7,4,16,18,89,-24.0,1,43,43,43,5,78,66,71,60,40,71,31,35,27,73,10,29,65,53,80,12,32,23,40,78,77
40,2021-22,1610612746,LAC,LA Clippers,0022100616,2022-01-11,LAC vs. DEN,W,48.0,34,84,0.405,10,34,0.294,9,12,0.75,3,28,31,23,9.0,12,4,2,22,19,87,2.0,1,1,1,1,5,65,57,66,60,40,71,67,70,48,80,73,80,44,7,4,45,7,59,29,80,36
41,2021-22,1610612746,LAC,LA Clippers,0022100597,2022-01-09,LAC vs. ATL,W,48.0,44,92,0.478,12,33,0.364,6,7,0.857,13,34,47,24,13.0,5,4,2,18,14,106,13.0,1,1,1,1,5,15,20,31,38,49,40,76,80,24,9,40,22,35,32,64,45,7,37,71,43,16
