,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612747,LAL,Los Angeles Lakers,0022101220,2022-04-10,LAL @ DEN,W,53.0,44,94,0.468,16,43,0.372,42,47,0.894,13,37,50,26,13.0,4,6,7,24,34,146,5.0,1,1,1,1,2,27,16,44,9,6,33,1,1,7,9,20,10,20,27,76,24,71,64,1,1,21
1,2021-22,1610612747,LAL,Los Angeles Lakers,0022101211,2022-04-08,LAL vs. OKC,W,48.0,41,82,0.5,9,31,0.29,29,39,0.744,7,38,45,23,10.0,8,4,3,17,26,120,19.0,1,1,1,1,11,41,68,18,63,55,60,2,2,41,59,16,33,48,10,22,48,21,16,4,20,4
2,2021-22,1610612747,LAL,Los Angeles Lakers,0022101202,2022-04-07,LAL @ GSW,L,48.0,37,83,0.446,9,32,0.281,29,38,0.763,8,34,42,14,19.0,8,4,5,13,26,112,-16.0,1,34,34,34,11,65,65,58,63,47,63,2,3,32,53,37,53,81,68,22,48,53,1,4,40,69
3,2021-22,1610612747,LAL,Los Angeles Lakers,0022101189,2022-04-05,LAL @ PHX,L,48.0,39,86,0.453,9,29,0.31,23,30,0.767,7,39,46,22,16.0,7,3,4,14,22,110,-11.0,1,34,34,34,11,54,50,54,63,69,53,10,11,29,59,13,28,55,51,41,60,36,3,20,44,62
4,2021-22,1610612747,LAL,Los Angeles Lakers,0022101168,2022-04-03,LAL vs. DEN,L,48.0,49,92,0.533,6,20,0.3,14,21,0.667,6,34,40,31,13.0,4,5,5,25,18,118,-11.0,1,34,34,34,11,6,24,7,78,82,57,52,46,60,70,37,62,6,27,76,38,53,69,56,25,62
5,2021-22,1610612747,LAL,Los Angeles Lakers,0022101160,2022-04-01,LAL vs. NOP,L,48.0,39,82,0.476,11,27,0.407,22,31,0.71,7,33,40,24,17.0,10,1,4,24,21,111,-3.0,1,34,34,34,11,54,68,38,45,74,19,14,8,50,59,46,62,39,58,11,80,36,64,30,41,37
6,2021-22,1610612747,LAL,Los Angeles Lakers,0022101150,2022-03-31,LAL @ UTA,L,48.0,41,83,0.494,7,25,0.28,20,28,0.714,9,31,40,18,11.0,5,3,2,21,20,109,-13.0,1,34,34,34,11,41,65,29,75,80,66,22,23,46,40,62,62,76,12,67,60,7,47,42,51,65
7,2021-22,1610612747,LAL,Los Angeles Lakers,0022101134,2022-03-29,LAL @ DAL,L,48.0,40,89,0.449,12,44,0.273,18,22,0.818,14,34,48,20,9.0,7,2,1,22,14,110,-18.0,1,34,34,34,11,50,40,57,33,3,71,27,40,16,3,37,14,63,6,41,74,3,55,72,44,70
8,2021-22,1610612747,LAL,Los Angeles Lakers,0022101119,2022-03-27,LAL @ NOP,L,48.0,42,80,0.525,14,35,0.4,10,16,0.625,7,32,39,26,15.0,5,2,1,20,13,108,-8.0,1,34,34,34,11,35,75,11,22,30,23,71,70,70,59,54,67,20,45,67,74,3,38,75,52,54
9,2021-22,1610612747,LAL,Los Angeles Lakers,0022101093,2022-03-23,LAL vs. PHI,L,48.0,50,97,0.515,11,30,0.367,10,16,0.625,11,34,45,25,12.0,6,3,5,19,13,121,-5.0,1,34,34,34,11,3,8,16,45,61,35,71,70,70,29,37,33,28,16,57,60,53,29,75,16,43
