,SEASON_YEAR,TEAM_ABBREVIATION_x,TEAM_NAME_x,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,TEAM_NAME_y,TEAM_ABBREVIATION_y,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS_x,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,MEM,Memphis Grizzlies,22101223,2022-04-10,MEM vs. BOS,39.41,87.64,0.45,0.461,-0.011,Boston Celtics,BOS,22,22,0.411,20.09,36.05,0.557,0.58,-0.023,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
2,2021-22,MEM,Memphis Grizzlies,22101213,2022-04-09,MEM vs. NOP,40.96,84.57,0.484,0.465,0.02,New Orleans Pelicans,NOP,23,23,0.393,21.3,33.26,0.641,0.586,0.055,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
6,2021-22,MEM,Memphis Grizzlies,22101201,2022-04-07,MEM @ DEN,42.83,89.38,0.479,0.46,0.019,Denver Nuggets,DEN,24,24,0.428,23.04,38.21,0.603,0.583,0.02,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
10,2021-22,MEM,Memphis Grizzlies,22101187,2022-04-05,MEM @ UTA,40.13,87.46,0.459,0.459,-0.001,Utah Jazz,UTA,24,24,0.388,19.29,33.92,0.569,0.582,-0.013,27.13,52.38,0.518,0.531,-0.013,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
13,2021-22,MEM,Memphis Grizzlies,22101155,2022-04-01,MEM vs. PHX,39.5,87.04,0.454,0.457,-0.003,Phoenix Suns,PHX,24,24,0.42,20.83,36.54,0.57,0.58,-0.01,27.46,53.25,0.516,0.53,-0.014,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
16,2021-22,MEM,Memphis Grizzlies,22101144,2022-03-30,MEM @ SAS,42.52,90.3,0.471,0.459,0.012,San Antonio Spurs,SAS,23,23,0.442,22.78,39.91,0.571,0.583,-0.012,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110.0
20,2021-22,MEM,Memphis Grizzlies,22101129,2022-03-28,MEM vs. GSW,39.04,86.39,0.452,0.464,-0.012,Golden State Warriors,GSW,23,23,0.401,20.04,34.61,0.579,0.591,-0.012,26.57,50.91,0.522,0.538,-0.016,1610612744,12.48,35.48,0.352,0.354,-0.002,100.7,103.9
24,2021-22,MEM,Memphis Grizzlies,22101112,2022-03-26,MEM vs. MIL,43.91,91.82,0.478,0.465,0.013,Milwaukee Bucks,MIL,22,22,0.345,19.36,31.68,0.611,0.586,0.025,28.41,52.27,0.543,0.534,0.009,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
26,2021-22,MEM,Memphis Grizzlies,22101096,2022-03-24,MEM vs. IND,45.86,89.77,0.511,0.456,0.055,Indiana Pacers,IND,22,22,0.477,26.68,42.86,0.622,0.572,0.05,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
28,2021-22,MEM,Memphis Grizzlies,22101089,2022-03-23,MEM vs. BKN,40.87,89.26,0.458,0.456,0.002,Brooklyn Nets,BKN,23,23,0.419,21.57,37.43,0.576,0.577,-0.001,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
30,2021-22,MEM,Memphis Grizzlies,22101063,2022-03-20,MEM @ HOU,43.75,90.63,0.483,0.461,0.022,Houston Rockets,HOU,24,24,0.471,26.5,42.71,0.62,0.582,0.038,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
34,2021-22,MEM,Memphis Grizzlies,22101047,2022-03-18,MEM @ ATL,42.71,88.54,0.482,0.458,0.025,Atlanta Hawks,ATL,24,24,0.423,23.13,37.46,0.617,0.577,0.041,30.71,56.04,0.548,0.526,0.022,1610612737,12.0,32.5,0.369,0.35,0.019,100.0,112.1
27,2021-22,MEM,Memphis Grizzlies,22101029,2022-03-15,MEM @ IND,45.86,89.77,0.511,0.456,0.055,Indiana Pacers,IND,22,22,0.477,26.68,42.86,0.622,0.572,0.05,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
36,2021-22,MEM,Memphis Grizzlies,22101018,2022-03-13,MEM @ OKC,44.42,91.46,0.486,0.461,0.025,Oklahoma City Thunder,OKC,24,24,0.426,23.63,39.0,0.606,0.583,0.022,29.25,51.58,0.567,0.534,0.033,1610612760,15.17,39.88,0.38,0.354,0.027,100.8,110.2
39,2021-22,MEM,Memphis Grizzlies,22101000,2022-03-11,MEM vs. NYK,38.09,83.74,0.455,0.462,-0.008,New York Knicks,NYK,23,23,0.389,19.78,32.61,0.607,0.581,0.026,26.48,48.74,0.543,0.53,0.014,1610612752,11.61,35.0,0.332,0.356,-0.024,98.4,107.6
3,2021-22,MEM,Memphis Grizzlies,22100978,2022-03-08,MEM vs. NOP,40.96,84.57,0.484,0.465,0.02,New Orleans Pelicans,NOP,23,23,0.393,21.3,33.26,0.641,0.586,0.055,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
31,2021-22,MEM,Memphis Grizzlies,22100964,2022-03-06,MEM @ HOU,43.75,90.63,0.483,0.461,0.022,Houston Rockets,HOU,24,24,0.471,26.5,42.71,0.62,0.582,0.038,32.04,56.96,0.563,0.531,0.032,1610612745,11.71,33.67,0.348,0.353,-0.006,103.3,114.4
41,2021-22,MEM,Memphis Grizzlies,22100957,2022-03-05,MEM vs. ORL,40.55,89.5,0.453,0.458,-0.005,Orlando Magic,ORL,22,22,0.398,20.32,35.59,0.571,0.579,-0.008,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
1,2021-22,MEM,Memphis Grizzlies,22100940,2022-03-03,MEM @ BOS,39.41,87.64,0.45,0.461,-0.011,Boston Celtics,BOS,22,22,0.411,20.09,36.05,0.557,0.58,-0.023,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99.0,104.0
17,2021-22,MEM,Memphis Grizzlies,22100923,2022-02-28,MEM vs. SAS,42.52,90.3,0.471,0.459,0.012,San Antonio Spurs,SAS,23,23,0.442,22.78,39.91,0.571,0.583,-0.012,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110.0
43,2021-22,MEM,Memphis Grizzlies,22100909,2022-02-26,MEM @ CHI,42.43,86.13,0.493,0.461,0.031,Chicago Bulls,CHI,23,23,0.435,23.09,37.43,0.617,0.582,0.034,30.7,54.78,0.56,0.53,0.03,1610612741,11.74,31.35,0.374,0.358,0.017,100.4,111.1
45,2021-22,MEM,Memphis Grizzlies,22100892,2022-02-24,MEM @ MIN,41.7,88.35,0.472,0.459,0.012,Minnesota Timberwolves,MIN,23,23,0.425,22.91,37.52,0.611,0.582,0.029,28.35,50.83,0.558,0.531,0.026,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
49,2021-22,MEM,Memphis Grizzlies,22100879,2022-02-16,MEM vs. POR,42.26,85.17,0.496,0.46,0.036,Portland Trail Blazers,POR,23,23,0.443,24.3,37.74,0.644,0.581,0.063,28.26,47.17,0.599,0.535,0.064,1610612757,14.0,38.0,0.368,0.35,0.018,100.6,114.0
4,2021-22,MEM,Memphis Grizzlies,22100872,2022-02-15,MEM @ NOP,40.96,84.57,0.484,0.465,0.02,New Orleans Pelicans,NOP,23,23,0.393,21.3,33.26,0.641,0.586,0.055,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
53,2021-22,MEM,Memphis Grizzlies,22100846,2022-02-12,MEM @ CHA,42.45,89.18,0.476,0.459,0.017,Charlotte Hornets,CHA,22,22,0.43,22.64,38.36,0.59,0.58,0.01,28.45,52.23,0.545,0.529,0.016,1610612766,14.0,36.95,0.379,0.352,0.027,102.3,111.0
55,2021-22,MEM,Memphis Grizzlies,22100831,2022-02-10,MEM @ DET,40.04,86.0,0.466,0.46,0.005,Detroit Pistons,DET,24,24,0.485,24.63,41.75,0.59,0.582,0.008,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
57,2021-22,MEM,Memphis Grizzlies,22100818,2022-02-08,MEM vs. LAC,41.33,90.29,0.458,0.462,-0.004,LA Clippers,LAC,21,21,0.449,22.33,40.52,0.551,0.588,-0.037,29.33,57.48,0.51,0.536,-0.026,1610612746,12.0,32.81,0.366,0.352,0.014,100.2,107.5
