,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612748,MIA,Miami Heat,0022101227,2022-04-10,MIA @ ORL,L,48.0,40,94,0.426,19,50,0.38,12,16,0.75,10,37,47,20,10.0,5,4,3,13,16,111,-14.0,1,54,54,54,5,37,11,63,7,2,39,64,62,62,34,22,28,71,9,62,25,23,2,69,42,73
1,2021-22,1610612748,MIA,Miami Heat,0022101207,2022-04-08,MIA vs. ATL,W,48.0,40,72,0.556,11,26,0.423,22,28,0.786,4,29,33,20,17.0,9,1,0,17,23,113,4.0,1,1,1,1,5,37,79,5,55,77,28,15,16,50,77,65,79,71,59,18,63,1,12,21,31,47
2,2021-22,1610612748,MIA,Miami Heat,0022101181,2022-04-05,MIA vs. CHA,W,48.0,48,84,0.571,23,42,0.548,25,29,0.862,8,33,41,29,15.0,10,1,3,19,18,144,29.0,1,1,1,1,5,4,41,2,1,17,3,9,11,26,54,41,49,15,41,14,63,23,26,57,1,2
3,2021-22,1610612748,MIA,Miami Heat,0022101172,2022-04-03,MIA @ TOR,W,48.0,41,79,0.519,18,38,0.474,14,22,0.636,8,30,38,30,17.0,9,4,1,21,20,114,5.0,1,1,1,1,5,27,63,15,12,29,11,52,36,79,54,60,61,8,59,18,25,4,43,39,29,44
4,2021-22,1610612748,MIA,Miami Heat,0022101164,2022-04-02,MIA @ CHI,W,48.0,44,82,0.537,17,34,0.5,22,27,0.815,5,36,41,28,9.0,4,1,4,21,19,127,18.0,1,1,1,1,5,13,49,8,17,42,7,15,19,46,74,27,49,20,5,69,63,37,43,45,5,10
5,2021-22,1610612748,MIA,Miami Heat,0022101139,2022-03-30,MIA @ BOS,W,48.0,38,79,0.481,13,34,0.382,17,25,0.68,4,38,42,27,18.0,9,6,1,23,22,106,8.0,1,1,1,1,5,48,63,36,40,42,38,40,26,75,77,15,43,29,64,18,2,4,56,28,52,34
6,2021-22,1610612748,MIA,Miami Heat,0022101125,2022-03-28,MIA vs. SAC,W,48.0,49,90,0.544,19,40,0.475,6,6,1.0,10,38,48,30,16.0,7,1,2,20,12,123,23.0,1,1,1,1,5,2,19,6,7,23,10,81,82,1,34,15,24,8,53,40,63,14,38,81,9,7
7,2021-22,1610612748,MIA,Miami Heat,0022101111,2022-03-26,MIA vs. BKN,L,48.0,33,75,0.44,10,34,0.294,19,26,0.731,6,33,39,20,24.0,7,5,5,23,22,95,-15.0,1,54,54,54,5,75,75,59,60,42,67,32,23,65,67,41,53,71,81,40,13,49,56,28,73,75
8,2021-22,1610612748,MIA,Miami Heat,0022101103,2022-03-25,MIA vs. NYK,L,48.0,35,70,0.5,12,33,0.364,21,25,0.84,8,27,35,18,15.0,6,3,2,25,24,103,-8.0,1,54,54,54,5,64,82,18,47,49,44,21,26,35,54,76,75,79,41,47,36,14,65,14,62,64
9,2021-22,1610612748,MIA,Miami Heat,0022101088,2022-03-23,MIA vs. GSW,L,48.0,37,85,0.435,14,36,0.389,16,21,0.762,8,26,34,26,10.0,8,1,2,19,24,104,-14.0,1,54,54,54,5,56,35,61,34,34,34,47,40,59,54,80,77,35,9,28,63,14,26,14,57,73
10,2021-22,1610612748,MIA,Miami Heat,0022101074,2022-03-21,MIA @ PHI,L,48.0,38,80,0.475,10,33,0.303,20,20,1.0,4,30,34,23,12.0,6,4,4,16,20,106,-7.0,1,54,54,54,5,48,61,39,60,49,64,26,42,1,77,60,77,56,20,47,25,37,10,39,52,62
11,2021-22,1610612748,MIA,Miami Heat,0022101052,2022-03-18,MIA vs. OKC,W,48.0,46,95,0.484,18,51,0.353,10,12,0.833,11,35,46,25,6.0,5,0,5,19,10,120,12.0,1,1,1,1,5,8,9,32,12,1,49,73,73,38,22,34,30,44,1,62,80,49,26,82,14,26
12,2021-22,1610612748,MIA,Miami Heat,0022101031,2022-03-15,MIA vs. DET,W,48.0,29,72,0.403,12,33,0.364,35,39,0.897,7,37,44,20,13.0,1,1,5,21,30,105,7.0,1,1,1,1,5,80,79,71,47,49,44,1,1,15,61,22,35,71,26,81,63,49,43,2,56,36
13,2021-22,1610612748,MIA,Miami Heat,0022101005,2022-03-12,MIA vs. MIN,L,48.0,35,88,0.398,15,45,0.333,19,25,0.76,11,42,53,23,18.0,7,1,5,24,19,104,-9.0,1,54,54,54,5,64,23,73,26,7,56,32,26,60,22,6,8,56,64,40,63,49,64,45,57,66
14,2021-22,1610612748,MIA,Miami Heat,0022100998,2022-03-11,MIA vs. CLE,W,48.0,41,86,0.477,11,35,0.314,24,27,0.889,8,34,42,28,9.0,9,6,2,26,23,117,12.0,1,1,1,1,5,27,31,38,55,36,61,10,19,18,54,38,43,20,5,18,2,14,74,21,21,26
15,2021-22,1610612748,MIA,Miami Heat,0022100983,2022-03-09,MIA vs. PHX,L,48.0,35,88,0.398,10,33,0.303,10,13,0.769,6,32,38,27,15.0,8,5,5,9,18,90,-21.0,1,54,54,54,5,64,23,73,60,49,64,73,69,54,67,46,61,29,41,28,13,49,1,57,78,79
16,2021-22,1610612748,MIA,Miami Heat,0022100970,2022-03-07,MIA vs. HOU,W,48.0,49,91,0.538,14,31,0.452,11,14,0.786,13,37,50,26,15.0,3,4,7,17,24,123,17.0,1,1,1,1,5,2,14,7,34,63,19,67,66,50,13,22,14,35,41,76,25,74,12,14,9,12
17,2021-22,1610612748,MIA,Miami Heat,0022100956,2022-03-05,MIA vs. PHI,W,48.0,35,72,0.486,13,28,0.464,16,19,0.842,6,32,38,20,14.0,6,3,4,19,17,99,17.0,1,1,1,1,5,64,79,31,40,72,16,47,46,33,67,46,61,71,32,47,36,37,26,64,69,12
18,2021-22,1610612748,MIA,Miami Heat,0022100941,2022-03-03,MIA @ BKN,W,48.0,40,77,0.519,10,30,0.333,23,28,0.821,5,30,35,27,15.0,8,6,5,22,24,113,6.0,1,1,1,1,5,37,69,13,60,65,56,12,16,44,74,60,75,29,41,28,2,49,51,14,31,39
19,2021-22,1610612748,MIA,Miami Heat,0022100936,2022-03-02,MIA @ MIL,L,48.0,44,97,0.454,21,44,0.477,10,12,0.833,9,39,48,28,12.0,9,4,3,22,16,119,-1.0,1,54,54,54,5,13,4,51,5,9,9,73,73,38,43,11,24,20,20,18,25,23,51,69,17,54
20,2021-22,1610612748,MIA,Miami Heat,0022100922,2022-02-28,MIA vs. CHI,W,48.0,40,81,0.494,12,31,0.387,20,26,0.769,9,30,39,28,14.0,8,5,4,18,24,112,13.0,1,1,1,1,5,37,55,27,47,63,35,26,23,54,43,60,53,20,32,28,13,37,18,14,38,23
21,2021-22,1610612748,MIA,Miami Heat,0022100908,2022-02-26,MIA vs. SAS,W,48.0,47,83,0.566,12,28,0.429,27,38,0.711,4,28,32,25,12.0,8,3,1,20,31,133,4.0,1,1,1,1,5,5,44,3,47,72,25,3,2,68,77,70,81,44,20,28,36,4,38,1,3,47
22,2021-22,1610612748,MIA,Miami Heat,0022100900,2022-02-25,MIA @ NYK,W,48.0,39,83,0.47,11,32,0.344,26,35,0.743,4,40,44,22,10.0,13,5,1,28,30,115,15.0,1,1,1,1,5,46,44,44,55,58,52,5,3,63,77,10,35,63,9,4,13,4,81,2,23,16
23,2021-22,1610612748,MIA,Miami Heat,0022100885,2022-02-17,MIA @ CHA,W,58.0,41,102,0.402,14,48,0.292,15,23,0.652,15,41,56,31,15.0,4,5,4,23,28,111,4.0,1,1,1,1,2,27,3,72,34,5,69,51,34,77,7,9,5,5,41,69,13,37,56,4,42,47
24,2021-22,1610612748,MIA,Miami Heat,0022100868,2022-02-15,MIA vs. DAL,L,48.0,35,84,0.417,7,27,0.259,22,27,0.815,15,33,48,19,12.0,1,2,7,23,26,99,-8.0,1,54,54,54,5,64,41,65,79,74,76,15,19,46,7,41,24,78,20,81,52,74,56,10,69,64
25,2021-22,1610612748,MIA,Miami Heat,0022100851,2022-02-12,MIA vs. BKN,W,48.0,41,82,0.5,10,29,0.345,23,29,0.793,10,42,52,20,15.0,6,1,2,21,27,115,4.0,1,1,1,1,5,27,49,18,60,69,51,12,11,49,34,6,10,71,41,47,63,14,43,6,23,47
26,2021-22,1610612748,MIA,Miami Heat,0022100833,2022-02-10,MIA @ NOP,W,48.0,39,81,0.481,10,32,0.313,24,28,0.857,11,32,43,25,14.0,12,4,6,19,23,112,15.0,1,1,1,1,5,46,55,35,60,58,62,10,16,27,22,46,38,44,32,7,25,64,26,21,38,16
27,2021-22,1610612748,MIA,Miami Heat,0022100811,2022-02-07,MIA @ WAS,W,48.0,43,76,0.566,18,32,0.563,17,21,0.81,5,32,37,29,19.0,9,1,0,23,18,121,21.0,1,1,1,1,5,16,72,4,12,58,2,40,40,48,74,46,68,15,71,18,63,1,56,57,12,9
28,2021-22,1610612748,MIA,Miami Heat,0022100797,2022-02-05,MIA @ CHA,W,48.0,38,91,0.418,11,32,0.344,17,18,0.944,11,38,49,27,12.0,14,6,5,17,19,104,18.0,1,1,1,1,5,48,14,64,55,58,52,40,54,7,22,15,19,29,20,1,2,49,12,45,57,10
29,2021-22,1610612748,MIA,Miami Heat,0022100521,2022-02-03,MIA @ SAS,W,48.0,42,83,0.506,12,30,0.4,16,18,0.889,7,35,42,27,14.0,13,3,5,27,19,112,17.0,1,1,1,1,5,24,44,17,47,65,31,47,54,18,61,34,43,29,32,4,36,49,78,45,38,12
30,2021-22,1610612748,MIA,Miami Heat,0022100784,2022-02-01,MIA @ TOR,L,48.0,38,78,0.487,8,30,0.267,22,25,0.88,10,28,38,26,17.0,8,1,3,25,24,106,-4.0,1,54,54,54,5,48,65,30,77,65,75,15,26,20,34,70,61,35,59,28,63,23,65,14,52,60
