,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,MIL,Milwaukee Bucks,22101218,2022-04-10,MIL @ CLE,L,48.0,39,88,0.443,12,30,0.4,25,32,0.781,8,33,41,27,12.0,7,2,5,14,26,115,-18.0,1,52,52,52,4,57,45,58,50,77,24,7,8,42,58,56,67,18,22,38,64,50,10,3,45,74,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
1,2021-22,MIL,Milwaukee Bucks,22101203,2022-04-08,MIL @ DET,W,48.0,50,101,0.495,11,37,0.297,20,23,0.87,10,41,51,29,8.0,7,1,5,20,22,131,30.0,1,1,1,1,4,3,4,25,66,46,68,26,37,15,42,17,22,9,5,38,73,50,55,21,9,2,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
2,2021-22,MIL,Milwaukee Bucks,22101198,2022-04-07,MIL vs. BOS,W,48.0,49,97,0.505,14,38,0.368,15,21,0.714,14,34,48,27,11.0,13,5,4,19,15,127,6.0,1,1,1,1,4,6,8,20,34,38,38,57,49,60,7,49,30,18,17,2,21,33,42,73,13,42,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
3,2021-22,MIL,Milwaukee Bucks,22101183,2022-04-05,MIL @ CHI,W,48.0,46,87,0.529,12,35,0.343,23,25,0.92,8,39,47,32,14.0,8,8,2,19,21,127,21.0,1,1,1,1,4,16,53,13,50,59,48,14,28,3,58,23,38,3,42,28,2,8,42,26,13,12,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
4,2021-22,MIL,Milwaukee Bucks,22101167,2022-04-03,MIL vs. DAL,L,48.0,42,95,0.442,15,40,0.375,13,18,0.722,10,26,36,25,9.0,9,1,3,22,20,112,-6.0,1,52,52,52,4,38,14,60,27,29,35,66,61,57,42,79,80,30,9,22,73,22,68,34,51,58,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
5,2021-22,MIL,Milwaukee Bucks,22101156,2022-04-01,MIL vs. LAC,L,48.0,50,94,0.532,8,25,0.32,11,18,0.611,13,25,38,30,15.0,6,5,7,19,17,119,-34.0,1,52,52,52,4,3,18,10,79,82,58,73,61,79,14,82,76,8,54,55,21,66,42,58,33,80,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
6,2021-22,MIL,Milwaukee Bucks,22101148,2022-03-31,MIL @ BKN,W,53.0,40,89,0.449,12,41,0.293,28,34,0.824,11,46,57,17,23.0,12,3,7,14,25,120,1.0,1,1,1,1,1,49,39,51,50,22,69,4,6,23,32,5,3,78,82,4,46,66,10,6,29,50,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
7,2021-22,MIL,Milwaukee Bucks,22101131,2022-03-29,MIL @ PHI,W,48.0,44,88,0.5,14,38,0.368,16,23,0.696,9,39,48,26,11.0,5,4,3,17,19,118,2.0,1,1,1,1,4,26,45,21,34,38,38,47,37,67,48,23,30,26,17,66,32,22,23,45,36,48,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
8,2021-22,MIL,Milwaukee Bucks,22101112,2022-03-26,MIL @ MEM,L,48.0,37,93,0.398,7,32,0.219,21,26,0.808,14,32,46,19,14.0,4,7,9,21,19,102,-25.0,1,52,52,52,4,66,23,74,81,68,81,23,23,32,7,62,45,68,42,73,7,78,65,45,67,78,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
9,2021-22,MIL,Milwaukee Bucks,22101097,2022-03-24,MIL vs. WAS,W,48.0,42,81,0.519,16,35,0.457,14,16,0.875,4,37,41,23,16.0,5,2,1,17,17,114,12.0,1,1,1,1,4,38,77,16,20,59,14,61,71,13,79,34,67,44,69,66,64,1,23,58,46,24,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
10,2021-22,MIL,Milwaukee Bucks,22101082,2022-03-22,MIL vs. CHI,W,48.0,50,82,0.61,12,28,0.429,14,20,0.7,5,48,53,26,15.0,4,6,4,12,12,126,28.0,1,1,1,1,4,3,73,2,50,81,17,61,56,66,75,3,10,26,54,73,11,33,6,80,18,4,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
11,2021-22,MIL,Milwaukee Bucks,22101058,2022-03-19,MIL @ MIN,L,48.0,43,97,0.443,19,52,0.365,14,17,0.824,14,37,51,27,14.0,6,4,2,18,19,119,-19.0,1,52,52,52,4,35,8,57,6,1,40,61,68,23,7,34,22,18,42,55,32,8,31,45,33,75,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
12,2021-22,MIL,Milwaukee Bucks,22101043,2022-03-16,MIL @ SAC,W,48.0,47,89,0.528,18,35,0.514,23,32,0.719,8,39,47,21,13.0,12,3,5,19,21,135,9.0,1,1,1,1,4,12,39,14,9,59,2,14,8,59,58,23,38,54,26,4,46,50,42,26,6,32,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
13,2021-22,MIL,Milwaukee Bucks,22101027,2022-03-14,MIL @ UTA,W,48.0,40,86,0.465,12,31,0.387,25,29,0.862,6,36,42,21,14.0,10,3,4,19,23,117,6.0,1,1,1,1,4,49,57,38,50,73,30,7,14,17,70,40,63,54,42,12,46,33,42,14,41,42,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
14,2021-22,MIL,Milwaukee Bucks,22101008,2022-03-12,MIL @ GSW,L,48.0,38,92,0.413,17,44,0.386,16,23,0.696,8,31,39,27,5.0,8,2,7,16,19,109,-13.0,1,52,52,52,4,62,24,69,14,15,31,47,37,67,58,67,73,18,1,28,64,66,19,45,58,69,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
15,2021-22,MIL,Milwaukee Bucks,22100984,2022-03-09,MIL vs. ATL,W,48.0,47,94,0.5,12,35,0.343,18,23,0.783,11,39,50,24,9.0,7,2,3,19,20,124,9.0,1,1,1,1,4,12,18,21,50,59,48,34,37,41,32,23,24,37,9,38,64,22,42,34,21,32,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
16,2021-22,MIL,Milwaukee Bucks,22100979,2022-03-08,MIL @ OKC,W,48.0,53,100,0.53,20,40,0.5,16,20,0.8,16,37,53,35,13.0,10,4,5,18,20,142,27.0,1,1,1,1,4,1,5,12,5,29,3,47,56,34,3,34,10,2,26,12,32,50,31,34,1,6,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
17,2021-22,MIL,Milwaukee Bucks,22100961,2022-03-06,MIL vs. PHX,W,48.0,47,87,0.54,15,32,0.469,23,29,0.793,14,34,48,31,15.0,9,6,4,19,20,132,10.0,1,1,1,1,4,12,53,7,27,68,10,14,14,38,7,49,30,5,54,22,11,33,42,34,8,29,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
18,2021-22,MIL,Milwaukee Bucks,22100949,2022-03-04,MIL @ CHI,W,48.0,43,88,0.489,10,31,0.323,22,33,0.667,12,38,50,20,14.0,5,5,2,18,23,118,6.0,1,1,1,1,4,35,45,30,71,73,57,17,7,72,25,31,24,64,42,66,21,8,31,14,36,42,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
19,2021-22,MIL,Milwaukee Bucks,22100936,2022-03-02,MIL vs. MIA,W,48.0,41,91,0.451,14,36,0.389,24,27,0.889,11,41,52,22,12.0,7,3,4,16,22,120,1.0,1,1,1,1,4,45,29,50,34,52,28,10,19,8,32,17,16,48,22,38,46,33,19,21,29,50,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
