,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,MIN,Minnesota Timberwolves,22101224,2022-04-10,MIN vs. CHI,L,48.0,46,91,0.505,11,31,0.355,17,22,0.773,9,23,32,30,13.0,7,9,3,23,22,120,-4.0,1,47,47,47,4,17,37,20,68,81,43,44,45,46,52,79,77,12,28,58,7,13,49,33,31,51,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
1,2021-22,MIN,Minnesota Timberwolves,22101199,2022-04-07,MIN vs. SAS,W,48.0,41,96,0.427,20,53,0.377,25,31,0.806,13,34,47,25,11.0,8,2,5,29,22,127,6.0,1,1,1,1,4,42,14,55,7,3,34,10,8,31,26,30,24,40,15,42,73,42,78,33,17,34,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
2,2021-22,MIN,Minnesota Timberwolves,22101184,2022-04-05,MIN vs. WAS,L,48.0,41,91,0.451,14,41,0.341,18,25,0.72,6,32,38,27,10.0,6,3,4,16,25,114,-18.0,1,47,47,47,4,42,37,40,41,40,47,41,32,63,71,41,66,26,10,67,64,29,6,7,45,74,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
3,2021-22,MIN,Minnesota Timberwolves,22101173,2022-04-03,MIN @ HOU,W,48.0,51,86,0.593,17,41,0.415,20,25,0.8,7,25,32,32,19.0,13,6,4,27,24,139,7.0,1,1,1,1,4,3,61,1,15,40,22,29,32,32,66,75,77,10,74,5,29,29,72,15,3,32,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
4,2021-22,MIN,Minnesota Timberwolves,22101159,2022-04-01,MIN @ DEN,W,48.0,43,86,0.5,19,40,0.475,31,36,0.861,10,28,38,26,12.0,14,4,2,23,23,136,6.0,1,1,1,1,4,28,61,21,9,47,6,2,4,12,43,67,66,32,22,3,53,7,49,22,7,34,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
5,2021-22,MIN,Minnesota Timberwolves,22101141,2022-03-30,MIN @ TOR,L,48.0,37,92,0.402,11,37,0.297,17,23,0.739,17,31,48,26,22.0,11,9,4,19,23,102,-23.0,1,47,47,47,4,63,31,66,68,61,66,44,41,57,6,46,22,32,79,13,7,29,20,22,69,79,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
6,2021-22,MIN,Minnesota Timberwolves,22101116,2022-03-27,MIN @ BOS,L,48.0,45,84,0.536,14,32,0.438,8,12,0.667,4,26,30,26,14.0,7,3,5,21,20,112,-22.0,1,47,47,47,4,19,72,9,41,78,13,78,76,74,82,74,82,32,36,58,64,42,34,48,49,78,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
7,2021-22,MIN,Minnesota Timberwolves,22101104,2022-03-25,MIN vs. DAL,W,48.0,43,84,0.512,11,32,0.344,19,24,0.792,6,39,45,26,9.0,4,2,5,21,19,116,21.0,1,1,1,1,4,28,72,14,68,78,46,34,38,36,71,13,34,32,3,77,73,42,34,56,37,8,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
8,2021-22,MIN,Minnesota Timberwolves,22101090,2022-03-23,MIN vs. PHX,L,48.0,42,95,0.442,13,43,0.302,19,22,0.864,15,30,45,27,12.0,5,5,9,21,20,116,-9.0,1,47,47,47,4,36,19,48,52,29,63,34,45,11,14,51,34,26,22,73,42,77,34,48,37,59,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
9,2021-22,MIN,Minnesota Timberwolves,22101079,2022-03-21,MIN @ DAL,L,48.0,36,91,0.396,13,36,0.361,23,29,0.793,15,35,50,21,9.0,9,3,3,18,21,108,-2.0,1,47,47,47,4,65,37,72,52,65,38,16,15,35,14,26,15,66,3,34,64,13,15,42,58,47,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
10,2021-22,MIN,Minnesota Timberwolves,22101058,2022-03-19,MIN vs. MIL,W,48.0,47,92,0.511,22,47,0.468,22,26,0.846,8,36,44,30,11.0,12,2,4,19,18,138,19.0,1,1,1,1,4,14,31,17,2,11,8,20,28,14,59,21,41,12,15,8,73,29,20,59,4,13,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
11,2021-22,MIN,Minnesota Timberwolves,22101039,2022-03-16,MIN vs. LAL,W,48.0,40,90,0.444,17,42,0.405,27,31,0.871,15,36,51,22,17.0,7,6,4,23,25,124,20.0,1,1,1,1,4,51,45,46,15,33,26,6,8,10,14,21,13,59,59,58,29,29,49,7,22,9,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
12,2021-22,MIN,Minnesota Timberwolves,22101024,2022-03-14,MIN @ SAS,W,48.0,52,90,0.578,17,33,0.515,28,32,0.875,7,33,40,28,16.0,8,3,11,20,24,149,10.0,1,1,1,1,4,2,45,2,15,77,2,4,5,8,66,35,57,23,50,42,64,82,28,15,1,27,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
13,2021-22,MIN,Minnesota Timberwolves,22101005,2022-03-12,MIN @ MIA,W,48.0,35,83,0.422,15,42,0.357,28,32,0.875,6,40,46,21,15.0,12,5,1,19,24,113,9.0,1,1,1,1,4,75,75,58,33,33,40,4,5,8,71,9,30,66,47,8,42,3,20,15,46,29,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
14,2021-22,MIN,Minnesota Timberwolves,22100995,2022-03-11,MIN @ ORL,L,48.0,41,90,0.456,15,45,0.333,13,13,1.0,5,32,37,24,9.0,8,5,3,24,11,110,-8.0,1,47,47,47,4,42,45,39,33,16,49,63,75,1,81,41,71,43,3,42,42,13,55,81,52,55,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
15,2021-22,MIN,Minnesota Timberwolves,22100986,2022-03-09,MIN vs. OKC,W,48.0,45,86,0.523,22,52,0.423,20,26,0.769,6,42,48,34,14.0,10,5,0,18,18,132,30.0,1,1,1,1,4,19,61,12,2,4,18,29,28,47,71,4,22,7,36,20,42,1,15,59,12,4,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
16,2021-22,MIN,Minnesota Timberwolves,22100971,2022-03-07,MIN vs. POR,W,48.0,38,92,0.413,13,43,0.302,35,44,0.795,19,48,67,21,22.0,10,9,5,25,30,124,43.0,1,1,1,1,4,59,31,62,52,29,63,1,1,34,3,1,1,66,79,20,7,42,60,2,22,1,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
17,2021-22,MIN,Minnesota Timberwolves,22100958,2022-03-05,MIN vs. POR,W,48.0,48,85,0.565,15,37,0.405,24,29,0.828,9,33,42,36,11.0,10,7,1,21,23,135,14.0,1,1,1,1,4,10,68,3,33,61,25,13,15,22,52,35,44,3,15,20,20,3,34,22,9,21,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
18,2021-22,MIN,Minnesota Timberwolves,22100951,2022-03-04,MIN @ OKC,W,48.0,49,91,0.538,22,47,0.468,18,23,0.783,7,34,41,35,18.0,17,7,4,17,16,138,37.0,1,1,1,1,4,6,37,7,2,11,8,41,41,40,66,30,51,4,69,2,20,29,9,70,4,3,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
19,2021-22,MIN,Minnesota Timberwolves,22100930,2022-03-01,MIN vs. GSW,W,48.0,47,89,0.528,16,40,0.4,19,23,0.826,6,36,42,27,16.0,10,2,3,20,25,129,15.0,1,1,1,1,4,14,53,10,27,47,27,34,41,23,71,21,44,26,50,20,73,13,28,7,14,19,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
20,2021-22,MIN,Minnesota Timberwolves,22100920,2022-02-28,MIN @ CLE,W,48.0,47,86,0.547,18,42,0.429,15,19,0.789,8,23,31,30,13.0,12,6,3,31,17,127,5.0,1,1,1,1,4,14,61,6,11,33,15,51,56,37,59,79,81,12,28,8,29,13,80,64,17,38,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
21,2021-22,MIN,Minnesota Timberwolves,22100901,2022-02-25,MIN vs. PHI,L,48.0,36,86,0.419,9,39,0.231,21,25,0.84,9,32,41,23,16.0,4,1,0,27,23,102,-31.0,1,47,47,47,4,65,61,60,79,53,79,23,32,16,52,41,51,50,50,77,81,1,72,22,69,81,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
22,2021-22,MIN,Minnesota Timberwolves,22100892,2022-02-24,MIN vs. MEM,W,48.0,43,93,0.462,16,42,0.381,17,25,0.68,12,30,42,26,12.0,6,11,7,27,21,119,5.0,1,1,1,1,4,28,25,34,27,33,31,44,32,73,31,51,44,32,22,67,2,59,72,42,32,38,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
23,2021-22,MIN,Minnesota Timberwolves,22100880,2022-02-16,MIN vs. TOR,L,48.0,30,77,0.39,10,42,0.238,21,29,0.724,6,36,42,23,17.0,6,7,6,18,21,91,-12.0,1,47,47,47,4,82,81,77,75,33,76,23,15,61,71,21,44,50,59,67,20,52,15,42,79,65,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
24,2021-22,MIN,Minnesota Timberwolves,22100871,2022-02-15,MIN vs. CHA,W,53.0,43,109,0.394,13,55,0.236,27,43,0.628,17,41,58,29,14.0,10,8,7,26,30,126,6.0,1,1,1,1,2,28,1,73,52,1,78,6,2,80,6,6,3,19,36,20,14,59,67,2,19,34,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
25,2021-22,MIN,Minnesota Timberwolves,22100857,2022-02-13,MIN @ IND,W,48.0,43,84,0.512,18,34,0.529,25,28,0.893,8,30,38,23,14.0,8,8,6,25,21,129,9.0,1,1,1,1,4,28,72,14,11,73,1,10,19,4,59,51,66,50,36,42,14,52,60,42,14,29,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
26,2021-22,MIN,Minnesota Timberwolves,22100843,2022-02-11,MIN @ CHI,L,48.0,48,96,0.5,13,40,0.325,13,16,0.813,7,25,32,32,9.0,7,4,3,12,15,122,-12.0,1,47,47,47,4,10,14,21,52,47,53,63,67,28,66,75,77,10,3,58,53,13,1,74,27,65,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
27,2021-22,MIN,Minnesota Timberwolves,22100830,2022-02-09,MIN @ SAC,L,48.0,44,98,0.449,16,46,0.348,15,18,0.833,6,28,34,28,10.0,4,6,7,21,19,119,-13.0,1,47,47,47,4,25,8,42,27,14,45,51,61,18,71,67,76,23,10,77,29,59,34,56,32,71,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
28,2021-22,MIN,Minnesota Timberwolves,22100824,2022-02-08,MIN @ SAC,W,48.0,50,104,0.481,22,44,0.5,12,17,0.706,16,33,49,34,14.0,10,4,3,24,20,134,20.0,1,1,1,1,4,4,3,30,2,22,3,67,64,68,9,35,18,7,36,20,53,13,55,48,11,9,1610612750,13.35,37.52,0.356,0.351,0.004,103.5,109.1
