,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612740,NOP,New Orleans Pelicans,0022101225,2022-04-10,NOP vs. GSW,L,48.0,42,99,0.424,14,40,0.35,9,12,0.75,18,24,42,24,12.0,10,0,2,17,15,107,-21.0,1,37,37,37,4,22,2,63,7,6,39,76,76,54,6,78,55,39,21,16,79,4,20,73,48,75
1,2021-22,1610612740,NOP,New Orleans Pelicans,0022101213,2022-04-09,NOP @ MEM,L,48.0,41,91,0.451,6,30,0.2,26,35,0.743,9,20,29,23,16.0,10,3,9,22,24,114,-27.0,1,37,37,37,4,31,26,39,75,47,77,10,6,58,61,81,82,49,57,16,50,77,57,13,25,80
2,2021-22,1610612740,NOP,New Orleans Pelicans,0022101200,2022-04-07,NOP vs. POR,W,48.0,44,93,0.473,13,37,0.351,26,31,0.839,23,26,49,31,12.0,15,1,4,14,27,127,33.0,1,1,1,1,4,12,17,31,13,12,35,10,14,31,1,77,21,6,21,5,72,22,7,2,4,2
3,2021-22,1610612740,NOP,New Orleans Pelicans,0022101188,2022-04-05,NOP @ SAC,W,48.0,45,88,0.511,12,25,0.48,21,26,0.808,14,30,44,26,13.0,13,2,3,20,20,123,14.0,1,1,1,1,4,10,40,13,23,74,5,25,28,41,20,59,44,31,31,7,65,11,43,41,10,15
4,2021-22,1610612740,NOP,New Orleans Pelicans,0022101177,2022-04-03,NOP @ LAC,L,48.0,35,87,0.402,9,24,0.375,21,27,0.778,19,35,54,22,16.0,4,5,5,13,21,100,-19.0,1,37,37,37,4,72,49,74,54,76,27,25,25,48,4,27,9,61,57,75,16,49,3,36,63,73
5,2021-22,1610612740,NOP,New Orleans Pelicans,0022101160,2022-04-01,NOP @ LAL,W,48.0,41,79,0.519,7,26,0.269,25,29,0.862,4,33,37,23,15.0,8,4,1,21,24,114,3.0,1,1,1,1,4,31,72,9,72,72,61,13,18,22,80,34,74,49,47,37,34,1,49,13,25,33
6,2021-22,1610612740,NOP,New Orleans Pelicans,0022101146,2022-03-30,NOP @ POR,W,48.0,40,78,0.513,6,24,0.25,31,39,0.795,12,28,40,26,14.0,16,6,4,16,27,117,10.0,1,1,1,1,4,39,74,12,75,76,68,3,2,43,35,69,63,31,39,3,8,22,11,2,17,22
7,2021-22,1610612740,NOP,New Orleans Pelicans,0022101119,2022-03-27,NOP vs. LAL,W,48.0,44,91,0.484,9,27,0.333,19,24,0.792,12,29,41,25,7.0,10,1,2,13,20,116,8.0,1,1,1,1,4,12,26,26,54,70,41,32,38,45,35,64,60,38,2,16,72,4,3,41,22,25
8,2021-22,1610612740,NOP,New Orleans Pelicans,0022101107,2022-03-26,NOP vs. SAS,L,48.0,40,90,0.444,10,32,0.313,13,19,0.684,12,30,42,23,8.0,4,11,6,19,17,103,-4.0,1,37,37,37,4,39,29,44,47,38,50,64,54,68,35,59,55,49,3,75,1,59,34,66,57,40
9,2021-22,1610612740,NOP,New Orleans Pelicans,0022101098,2022-03-24,NOP vs. CHI,W,48.0,41,83,0.494,12,29,0.414,32,34,0.941,10,33,43,23,11.0,10,2,4,17,24,126,17.0,1,1,1,1,4,31,64,23,23,58,14,2,7,2,54,34,49,49,14,16,65,22,20,13,6,11
10,2021-22,1610612740,NOP,New Orleans Pelicans,0022101071,2022-03-21,NOP @ CHA,L,48.0,40,90,0.444,9,24,0.375,14,16,0.875,15,32,47,23,15.0,9,4,10,16,19,103,-3.0,1,37,37,37,4,39,29,44,54,76,27,56,62,15,14,45,29,49,47,29,34,81,11,51,57,37
11,2021-22,1610612740,NOP,New Orleans Pelicans,0022101064,2022-03-20,NOP @ ATL,W,48.0,43,96,0.448,7,21,0.333,24,27,0.889,18,36,54,22,16.0,12,1,4,23,22,117,5.0,1,1,1,1,4,16,8,43,72,80,41,15,25,10,6,20,9,61,57,11,72,22,64,29,17,28
12,2021-22,1610612740,NOP,New Orleans Pelicans,0022101054,2022-03-18,NOP @ SAS,W,48.0,48,96,0.5,14,34,0.412,14,18,0.778,13,45,58,24,10.0,13,4,4,21,12,124,33.0,1,1,1,1,4,3,8,16,7,24,17,56,56,48,28,1,4,39,7,7,34,22,49,80,8,2
13,2021-22,1610612740,NOP,New Orleans Pelicans,0022101032,2022-03-15,NOP vs. PHX,L,48.0,43,86,0.5,12,34,0.353,17,24,0.708,13,32,45,29,17.0,7,4,2,19,22,115,-16.0,1,37,37,37,4,16,58,16,23,24,33,44,38,64,28,45,38,14,66,47,34,4,34,29,24,69
14,2021-22,1610612740,NOP,New Orleans Pelicans,0022101017,2022-03-13,NOP vs. HOU,W,48.0,48,93,0.516,10,32,0.313,24,34,0.706,14,31,45,30,11.0,17,3,4,20,26,130,25.0,1,1,1,1,4,3,17,10,47,38,50,15,7,65,20,49,38,8,14,1,50,22,43,5,1,7
15,2021-22,1610612740,NOP,New Orleans Pelicans,0022101001,2022-03-11,NOP vs. CHA,L,48.0,43,86,0.5,15,39,0.385,19,25,0.76,13,27,40,31,17.0,9,2,1,21,23,120,-22.0,1,37,37,37,4,16,58,16,5,8,25,32,32,52,28,75,63,6,66,29,65,1,49,21,13,77
16,2021-22,1610612740,NOP,New Orleans Pelicans,0022100987,2022-03-09,NOP vs. ORL,L,48.0,41,93,0.441,7,31,0.226,13,18,0.722,10,31,41,23,11.0,11,2,1,22,20,102,-6.0,1,37,37,37,4,31,17,47,72,45,75,64,56,60,54,49,60,49,14,13,65,1,57,41,59,45
17,2021-22,1610612740,NOP,New Orleans Pelicans,0022100978,2022-03-08,NOP @ MEM,L,48.0,41,88,0.466,11,34,0.324,18,27,0.667,12,33,45,24,15.0,9,3,6,18,20,111,-21.0,1,37,37,37,4,31,40,33,34,24,47,37,25,70,35,34,38,39,47,29,50,59,24,41,37,75
18,2021-22,1610612740,NOP,New Orleans Pelicans,0022100967,2022-03-06,NOP @ DEN,L,53.0,48,101,0.475,14,33,0.424,20,29,0.69,14,35,49,30,14.0,9,4,8,30,26,130,-8.0,1,37,37,37,1,3,1,30,7,32,13,30,18,67,20,27,21,8,39,29,34,72,82,5,1,50
19,2021-22,1610612740,NOP,New Orleans Pelicans,0022100950,2022-03-04,NOP vs. UTA,W,48.0,50,97,0.515,11,36,0.306,13,17,0.765,15,37,52,29,11.0,11,5,2,23,14,124,34.0,1,1,1,1,4,2,4,11,34,16,52,64,61,51,14,18,12,14,14,13,16,4,64,76,8,1
20,2021-22,1610612740,NOP,New Orleans Pelicans,0022100937,2022-03-02,NOP vs. SAC,W,48.0,52,88,0.591,11,29,0.379,10,12,0.833,7,43,50,30,16.0,5,5,4,23,19,125,30.0,1,1,1,1,4,1,40,1,34,58,26,75,76,32,74,6,17,8,57,66,16,22,64,51,7,4
21,2021-22,1610612740,NOP,New Orleans Pelicans,0022100919,2022-02-27,NOP @ LAL,W,48.0,47,92,0.511,13,30,0.433,16,25,0.64,12,39,51,29,15.0,16,3,7,19,18,123,28.0,1,1,1,1,4,7,23,14,13,47,8,49,32,75,35,13,15,14,47,3,50,64,34,64,10,6
22,2021-22,1610612740,NOP,New Orleans Pelicans,0022100902,2022-02-25,NOP @ PHX,W,48.0,38,87,0.437,8,29,0.276,33,41,0.805,16,37,53,21,11.0,10,4,8,18,27,117,15.0,1,1,1,1,4,56,49,51,64,58,59,1,1,42,10,18,11,67,14,16,34,72,24,2,17,14
23,2021-22,1610612740,NOP,New Orleans Pelicans,0022100886,2022-02-17,NOP vs. DAL,L,48.0,46,92,0.5,12,28,0.429,14,21,0.667,17,31,48,22,13.0,7,0,4,18,22,118,-7.0,1,37,37,37,4,9,23,16,23,66,12,56,48,70,8,49,26,61,31,47,79,22,24,29,16,48
24,2021-22,1610612740,NOP,New Orleans Pelicans,0022100872,2022-02-15,NOP vs. MEM,L,48.0,44,88,0.5,4,26,0.154,17,20,0.85,11,23,34,20,15.0,7,5,3,23,24,109,-12.0,1,37,37,37,4,12,40,16,82,72,81,44,51,26,48,79,79,71,47,47,16,11,64,13,43,59
25,2021-22,1610612740,NOP,New Orleans Pelicans,0022100863,2022-02-14,NOP vs. TOR,W,48.0,45,77,0.584,16,35,0.457,14,16,0.875,4,43,47,36,14.0,4,7,3,24,14,120,30.0,1,1,1,1,4,10,75,2,1,19,6,56,62,15,80,6,29,1,39,75,6,11,71,76,13,4
26,2021-22,1610612740,NOP,New Orleans Pelicans,0022100848,2022-02-12,NOP vs. SAS,L,48.0,43,87,0.494,11,32,0.344,17,20,0.85,10,36,46,22,15.0,2,4,5,19,19,114,-10.0,1,37,37,37,4,16,49,22,34,38,40,44,51,26,54,20,33,61,47,80,34,49,34,51,25,53
27,2021-22,1610612740,NOP,New Orleans Pelicans,0022100833,2022-02-10,NOP vs. MIA,L,48.0,36,85,0.424,11,41,0.268,14,16,0.875,12,27,39,19,17.0,8,6,4,23,19,97,-15.0,1,37,37,37,4,66,62,64,34,4,62,56,62,15,35,75,67,75,66,37,8,22,64,51,71,65
28,2021-22,1610612740,NOP,New Orleans Pelicans,0022100819,2022-02-08,NOP vs. HOU,W,48.0,42,80,0.525,8,32,0.25,18,20,0.9,8,35,43,27,19.0,10,10,3,29,23,110,13.0,1,1,1,1,4,22,68,6,64,38,68,37,51,8,67,27,49,23,75,16,2,11,81,21,40,17
29,2021-22,1610612740,NOP,New Orleans Pelicans,0022100808,2022-02-06,NOP @ HOU,W,48.0,41,77,0.532,12,29,0.414,26,36,0.722,5,28,33,29,13.0,12,4,7,23,23,120,13.0,1,1,1,1,4,31,75,5,23,58,14,10,4,60,78,69,80,14,31,11,34,64,64,21,13,17
30,2021-22,1610612740,NOP,New Orleans Pelicans,0022100794,2022-02-04,NOP @ DEN,W,48.0,42,75,0.56,8,25,0.32,21,23,0.913,5,33,38,27,15.0,8,5,4,18,20,113,8.0,1,1,1,1,4,22,79,3,64,74,48,25,42,6,78,34,71,23,47,37,16,22,24,41,29,25
31,2021-22,1610612740,NOP,New Orleans Pelicans,0022100766,2022-02-01,NOP @ DET,W,48.0,39,89,0.438,8,28,0.286,25,28,0.893,16,30,46,24,17.0,8,5,3,17,25,111,10.0,1,1,1,1,4,49,34,50,64,66,57,13,21,9,10,59,33,39,66,37,16,11,20,8,37,22
32,2021-22,1610612740,NOP,New Orleans Pelicans,0022100759,2022-01-31,NOP @ CLE,L,48.0,33,85,0.388,6,30,0.2,18,21,0.857,16,35,51,26,13.0,6,8,9,18,19,90,-3.0,1,37,37,37,4,78,62,79,75,47,77,37,48,23,10,27,15,31,31,58,4,77,24,51,80,37
33,2021-22,1610612740,NOP,New Orleans Pelicans,0022100745,2022-01-29,NOP vs. BOS,L,48.0,36,82,0.439,8,32,0.25,17,23,0.739,9,31,40,22,15.0,8,0,7,14,19,97,-10.0,1,37,37,37,4,66,67,49,64,38,68,44,42,59,61,49,63,61,47,37,79,64,7,51,71,53
34,2021-22,1610612740,NOP,New Orleans Pelicans,0022100729,2022-01-28,NOP vs. DEN,L,48.0,35,90,0.389,5,34,0.147,30,33,0.909,14,29,43,23,13.0,14,4,4,19,22,105,-11.0,1,37,37,37,4,72,29,78,81,24,82,4,10,7,20,64,49,49,31,6,34,22,34,29,53,57
35,2021-22,1610612740,NOP,New Orleans Pelicans,0022100454,2022-01-25,NOP @ PHI,L,48.0,40,83,0.482,9,22,0.409,18,26,0.692,11,28,39,26,8.0,5,7,8,25,22,107,-10.0,1,37,37,37,4,39,64,28,54,79,18,37,28,66,48,69,67,31,3,66,6,72,73,29,48,53
