,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101222,2022-04-10,OKC @ LAC,L,48.0,37,98,0.378,9,34,0.265,5,9,0.556,12,28,40,17,10.0,6,2,8,16,11,88,-50.0,1,25,25,25,6,45,4,71,64,59,63,81,80,81,25,79,70,70,8,51,66,61,23,81,74,81
1,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101211,2022-04-08,OKC @ LAL,L,48.0,40,88,0.455,6,29,0.207,15,19,0.789,9,35,44,21,14.0,5,3,4,26,17,101,-19.0,1,25,25,25,6,26,41,27,80,78,75,39,39,33,50,40,45,46,38,66,55,16,78,49,45,64
2,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101194,2022-04-06,OKC @ UTA,L,48.0,37,90,0.411,16,37,0.432,11,17,0.647,11,21,32,27,10.0,9,1,10,22,13,101,-36.0,1,25,25,25,6,45,31,51,11,39,6,61,51,69,29,81,81,12,8,20,75,73,66,74,45,79
3,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101185,2022-04-05,OKC vs. POR,W,48.0,39,81,0.481,9,29,0.31,11,22,0.5,13,34,47,15,17.0,12,12,6,10,18,98,4.0,1,1,1,1,6,31,79,13,64,78,46,61,26,82,20,44,30,79,64,3,1,43,2,37,55,15
4,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101174,2022-04-03,OKC vs. PHX,W,48.0,43,87,0.494,17,41,0.415,14,18,0.778,12,42,54,33,18.0,7,4,4,18,17,117,21.0,1,1,1,1,6,9,44,11,5,20,11,47,46,37,25,5,6,1,68,42,39,16,37,49,14,1
5,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101157,2022-04-01,OKC vs. DET,L,48.0,36,84,0.429,11,34,0.324,18,29,0.621,12,42,54,24,17.0,1,8,8,15,20,101,-9.0,1,25,25,25,6,54,65,37,42,59,41,19,7,72,25,5,6,21,64,82,7,61,13,16,45,48
6,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101143,2022-03-30,OKC vs. ATL,L,48.0,41,87,0.471,17,41,0.415,19,27,0.704,10,32,42,31,18.0,5,2,4,17,19,118,-18.0,1,25,25,25,6,19,44,21,5,20,11,14,13,57,40,59,54,4,68,66,66,16,31,23,10,61
7,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101130,2022-03-28,OKC @ POR,W,53.0,48,90,0.533,20,45,0.444,18,25,0.72,11,38,49,32,21.0,7,3,5,15,23,134,3.0,1,1,1,1,1,2,31,1,1,4,4,19,18,50,29,21,27,2,81,42,55,28,13,5,1,18
8,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101113,2022-03-26,OKC @ DEN,L,48.0,39,84,0.464,14,36,0.389,15,16,0.938,5,31,36,29,17.0,8,5,5,19,19,107,-6.0,1,25,25,25,6,31,65,26,22,45,16,39,56,3,76,67,78,6,64,29,29,28,48,23,29,38
9,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101091,2022-03-23,OKC vs. ORL,W,48.0,38,79,0.481,17,41,0.415,25,30,0.833,5,39,44,21,12.0,6,6,3,16,22,118,16.0,1,1,1,1,6,37,81,14,5,20,11,2,3,21,76,16,45,46,26,51,18,7,23,7,10,4
10,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101078,2022-03-21,OKC vs. BOS,L,48.0,48,93,0.516,17,37,0.459,10,14,0.714,10,32,42,23,11.0,5,4,7,26,18,123,-9.0,1,25,25,25,6,2,19,4,5,39,2,67,69,51,40,59,54,29,15,66,39,50,78,37,5,48
11,2021-22,1610612760,OKC,Oklahoma City Thunder,0022101065,2022-03-20,OKC @ ORL,L,48.0,30,92,0.326,13,48,0.271,12,18,0.667,14,33,47,19,16.0,13,7,4,24,17,85,-5.0,1,25,25,25,6,79,22,82,28,1,61,56,46,65,12,52,30,62,53,2,11,16,73,49,79,34
