,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,ORL,Orlando Magic,22101227,2022-04-10,ORL vs. MIA,W,48.0,45,91,0.495,23,58,0.397,12,14,0.857,6,42,48,33,10.0,4,3,4,16,13,125,14.0,1,1,1,1,5,5,27,9,1,1,11,56,67,21,67,8,20,2,8,69,56,22,14,77,2,6,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
1,2021-22,ORL,Orlando Magic,22101196,2022-04-07,ORL @ CHA,L,48.0,38,95,0.4,15,48,0.313,10,13,0.769,8,35,43,27,16.0,6,4,10,22,17,101,-27.0,1,23,23,23,5,39,11,61,16,4,49,70,70,50,46,34,46,17,49,43,38,78,58,51,51,73,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
2,2021-22,ORL,Orlando Magic,22101179,2022-04-05,ORL vs. CLE,W,48.0,47,93,0.505,16,35,0.457,10,15,0.667,8,35,43,31,7.0,9,8,4,19,11,120,5.0,1,1,1,1,5,2,19,6,10,46,8,70,63,73,46,34,46,5,1,12,5,22,31,82,3,17,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
3,2021-22,ORL,Orlando Magic,22101171,2022-04-03,ORL vs. NYK,L,48.0,30,85,0.353,12,44,0.273,16,27,0.593,8,32,40,18,11.0,5,2,7,12,22,88,-30.0,1,23,23,23,5,78,57,79,34,8,67,35,7,81,46,57,59,70,12,58,69,58,4,10,77,76,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
4,2021-22,ORL,Orlando Magic,22101151,2022-04-01,ORL vs. TOR,L,48.0,34,79,0.43,11,35,0.314,10,11,0.909,9,36,45,24,22.0,6,4,3,14,14,89,-13.0,1,23,23,23,5,67,77,44,45,46,45,70,75,10,37,30,30,34,81,43,38,14,7,69,75,55,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
5,2021-22,ORL,Orlando Magic,22101138,2022-03-30,ORL @ WAS,L,48.0,40,96,0.417,11,34,0.324,19,22,0.864,11,31,42,21,12.0,8,5,8,23,15,110,-17.0,1,23,23,23,5,28,8,52,45,55,40,21,29,20,21,65,54,56,19,21,22,68,64,66,25,64,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
6,2021-22,ORL,Orlando Magic,22101123,2022-03-28,ORL @ CLE,L,48.0,42,87,0.483,10,37,0.27,7,13,0.538,8,37,45,31,17.0,6,1,4,24,13,101,-6.0,1,23,23,23,5,17,45,17,60,36,69,79,70,82,46,26,30,5,58,43,77,22,66,77,51,35,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
7,2021-22,ORL,Orlando Magic,22101108,2022-03-26,ORL vs. SAC,L,53.0,45,106,0.425,13,36,0.361,7,7,1.0,15,42,57,27,13.0,9,3,4,20,12,110,-4.0,1,23,23,23,1,5,1,49,26,42,26,79,82,1,3,8,2,17,27,12,56,22,41,80,25,30,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
8,2021-22,ORL,Orlando Magic,22101091,2022-03-23,ORL @ OKC,L,48.0,36,93,0.387,17,51,0.333,13,16,0.813,9,36,45,24,11.0,3,3,6,22,16,102,-16.0,1,23,23,23,5,53,19,68,6,2,35,51,54,30,37,30,30,34,12,75,56,47,58,60,49,62,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
9,2021-22,ORL,Orlando Magic,22101080,2022-03-22,ORL vs. GSW,W,48.0,34,79,0.43,10,36,0.278,16,20,0.8,6,33,39,25,14.0,9,6,3,14,23,94,4.0,1,1,1,1,5,67,77,44,60,42,65,35,39,33,67,48,64,27,39,12,13,14,7,7,65,20,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
10,2021-22,ORL,Orlando Magic,22101065,2022-03-20,ORL vs. OKC,W,48.0,32,83,0.386,7,31,0.226,19,24,0.792,15,45,60,22,21.0,11,4,7,17,24,90,5.0,1,1,1,1,5,75,64,69,76,71,76,21,18,39,3,3,1,51,80,5,38,58,20,1,72,17,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
11,2021-22,ORL,Orlando Magic,22101045,2022-03-17,ORL vs. DET,L,48.0,47,97,0.485,11,30,0.367,15,21,0.714,10,35,45,24,14.0,3,4,3,21,21,120,-14.0,1,23,23,23,5,2,5,15,45,73,22,42,33,64,25,34,30,34,39,75,38,14,50,17,3,60,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
12,2021-22,ORL,Orlando Magic,22101030,2022-03-15,ORL vs. BKN,L,48.0,36,95,0.379,15,41,0.366,21,27,0.778,11,26,37,25,12.0,2,4,4,25,23,108,-42.0,1,23,23,23,5,53,11,72,16,17,23,13,7,45,21,80,73,27,19,78,38,22,71,7,33,82,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
13,2021-22,ORL,Orlando Magic,22101015,2022-03-13,ORL vs. PHI,L,53.0,41,91,0.451,18,43,0.419,14,20,0.7,8,42,50,28,12.0,7,7,3,27,17,114,-2.0,1,23,23,23,1,24,27,29,4,10,9,46,39,65,46,8,13,15,19,29,8,14,79,51,16,24,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
14,2021-22,ORL,Orlando Magic,22100995,2022-03-11,ORL vs. MIN,W,48.0,40,86,0.465,16,40,0.4,22,25,0.88,10,39,49,31,12.0,4,3,5,11,24,118,8.0,1,1,1,1,5,28,52,23,10,22,10,5,15,15,25,17,17,5,19,69,56,37,2,1,9,7,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
15,2021-22,ORL,Orlando Magic,22100987,2022-03-09,ORL @ NOP,W,48.0,36,76,0.474,14,37,0.378,22,26,0.846,7,38,45,25,19.0,4,1,2,20,22,108,6.0,1,1,1,1,5,53,80,20,22,36,14,5,11,23,62,22,30,27,70,69,77,7,41,10,33,12,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
16,2021-22,ORL,Orlando Magic,22100977,2022-03-08,ORL vs. PHX,L,48.0,35,92,0.38,7,39,0.179,22,25,0.88,8,45,53,17,12.0,6,2,6,20,20,99,-3.0,1,23,23,23,5,60,24,70,76,26,81,5,15,15,46,3,7,74,19,43,69,47,41,22,55,29,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
17,2021-22,ORL,Orlando Magic,22100957,2022-03-05,ORL @ MEM,L,48.0,37,86,0.43,11,35,0.314,11,16,0.688,1,40,41,25,12.0,7,5,4,20,14,96,-28.0,1,23,23,23,5,47,52,46,45,46,45,63,54,70,81,12,57,27,19,29,22,22,41,69,61,75,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
18,2021-22,ORL,Orlando Magic,22100458,2022-03-04,ORL @ TOR,W,48.0,36,95,0.379,11,37,0.297,20,21,0.952,12,43,55,24,11.0,5,4,8,18,18,103,6.0,1,1,1,1,5,53,11,72,45,36,56,16,33,3,11,6,4,34,12,58,38,68,24,42,47,12,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
19,2021-22,ORL,Orlando Magic,22100933,2022-03-02,ORL vs. IND,L,53.0,44,97,0.454,10,32,0.313,16,20,0.8,12,40,52,22,20.0,12,5,7,28,19,114,-8.0,1,23,23,23,1,9,5,25,60,62,49,35,39,33,11,12,8,51,78,2,22,58,81,29,16,40,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
20,2021-22,ORL,Orlando Magic,22100921,2022-02-28,ORL vs. IND,W,48.0,45,96,0.469,12,37,0.324,17,22,0.773,10,29,39,29,11.0,10,2,6,19,18,119,16.0,1,1,1,1,5,5,8,22,34,36,39,31,29,48,25,76,64,11,12,8,69,47,31,42,5,4,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
21,2021-22,ORL,Orlando Magic,22100898,2022-02-25,ORL vs. HOU,W,48.0,42,83,0.506,13,36,0.361,22,29,0.759,10,44,54,20,19.0,7,4,3,22,24,119,8.0,1,1,1,1,5,17,64,5,26,42,26,5,4,54,25,5,6,64,70,29,38,14,58,1,5,7,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
22,2021-22,ORL,Orlando Magic,22100874,2022-02-16,ORL vs. ATL,L,48.0,42,98,0.429,13,41,0.317,12,13,0.923,12,33,45,23,13.0,3,5,6,19,20,109,-21.0,1,23,23,23,5,17,3,47,26,17,44,56,70,6,11,48,30,45,27,75,22,47,31,22,31,70,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
23,2021-22,ORL,Orlando Magic,22100864,2022-02-14,ORL @ DEN,L,48.0,40,91,0.44,11,39,0.282,20,23,0.87,11,31,42,24,15.0,16,5,2,19,18,111,-10.0,1,23,23,23,5,28,27,37,45,26,62,16,22,17,21,65,54,34,42,1,22,7,31,42,21,44,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
24,2021-22,ORL,Orlando Magic,22100855,2022-02-12,ORL @ PHX,L,48.0,37,87,0.425,15,41,0.366,16,24,0.667,4,40,44,25,15.0,2,2,2,9,19,105,-27.0,1,23,23,23,5,47,45,48,16,17,23,35,18,73,76,12,40,27,42,78,69,7,1,29,40,73,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
25,2021-22,ORL,Orlando Magic,22100844,2022-02-11,ORL @ UTA,L,48.0,37,84,0.44,13,35,0.371,12,16,0.75,9,31,40,23,18.0,12,5,5,15,14,99,-15.0,1,23,23,23,5,47,60,36,26,46,19,56,54,56,37,65,59,45,64,2,22,37,10,69,55,61,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
26,2021-22,ORL,Orlando Magic,22100823,2022-02-08,ORL @ POR,W,48.0,44,90,0.489,19,38,0.5,6,8,0.75,10,40,50,34,15.0,8,7,5,18,12,113,18.0,1,1,1,1,5,9,30,12,2,31,2,82,81,56,25,12,13,1,42,21,8,37,24,80,19,2,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
27,2021-22,ORL,Orlando Magic,22100806,2022-02-06,ORL vs. BOS,L,48.0,29,81,0.358,5,26,0.192,20,21,0.952,8,32,40,17,19.0,8,5,6,16,17,83,-33.0,1,23,23,23,5,80,70,78,81,79,80,16,33,3,46,57,59,74,70,21,22,47,14,51,80,79,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
