,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,PHX,Phoenix Suns,22101229,2022-04-10,PHX vs. SAC,L,48.0,42,103,0.408,14,47,0.298,11,15,0.733,18,32,50,27,11.0,9,7,7,25,18,109,-7.0,1,65,65,65,3,52,4,75,11,2,67,59,54,57,3,62,26,37,18,30,10,73,76,43,56,70,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
1,2021-22,PHX,Phoenix Suns,22101210,2022-04-08,PHX @ UTA,W,48.0,46,92,0.5,6,19,0.316,13,15,0.867,11,35,46,27,13.0,7,3,4,25,18,111,6.0,1,1,1,1,3,20,32,34,79,81,59,49,54,22,24,42,38,37,40,50,52,37,76,43,52,46,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
2,2021-22,PHX,Phoenix Suns,22101195,2022-04-06,PHX @ LAC,L,48.0,42,108,0.389,17,48,0.354,8,12,0.667,18,36,54,29,12.0,11,2,9,26,17,109,-4.0,1,65,65,65,3,52,1,77,5,1,45,72,69,71,3,40,7,26,33,14,61,80,79,57,56,67,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
3,2021-22,PHX,Phoenix Suns,22101189,2022-04-05,PHX vs. LAL,W,48.0,50,102,0.49,14,39,0.359,7,9,0.778,11,42,53,38,14.0,10,4,3,22,14,121,11.0,1,1,1,1,3,9,6,40,11,9,41,78,81,47,24,8,8,2,48,20,38,24,54,73,21,29,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
4,2021-22,PHX,Phoenix Suns,22101174,2022-04-03,PHX @ OKC,L,48.0,37,89,0.416,7,38,0.184,15,17,0.882,6,27,33,22,11.0,14,4,4,17,18,96,-21.0,1,65,65,65,3,74,42,70,72,13,82,42,45,20,65,76,79,72,18,3,38,37,14,43,79,79,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
5,2021-22,PHX,Phoenix Suns,22101155,2022-04-01,PHX @ MEM,L,48.0,47,86,0.547,10,27,0.37,10,17,0.588,2,37,39,27,20.0,8,4,2,25,18,114,-8.0,1,65,65,65,3,16,55,10,57,65,33,62,45,79,81,33,62,37,80,39,38,12,76,43,39,71,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
6,2021-22,PHX,Phoenix Suns,22101145,2022-03-30,PHX @ GSW,W,48.0,38,92,0.413,7,28,0.25,24,30,0.8,12,34,46,20,14.0,9,1,4,19,24,107,4.0,1,1,1,1,3,72,32,72,72,58,76,9,7,41,19,50,38,77,48,30,76,37,26,8,63,53,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
7,2021-22,PHX,Phoenix Suns,22101118,2022-03-27,PHX vs. PHI,W,48.0,45,87,0.517,13,27,0.481,11,17,0.647,5,35,40,24,13.0,5,5,4,21,19,114,10.0,1,1,1,1,3,27,50,26,22,65,9,59,45,76,71,42,59,61,40,72,27,37,46,37,39,31,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
8,2021-22,PHX,Phoenix Suns,22101099,2022-03-24,PHX @ DEN,W,48.0,52,86,0.605,13,27,0.481,23,29,0.793,5,24,29,32,9.0,7,3,2,23,22,140,10.0,1,1,1,1,3,5,55,1,22,65,9,11,9,44,71,80,81,12,9,50,52,12,64,13,1,31,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
9,2021-22,PHX,Phoenix Suns,22101090,2022-03-23,PHX @ MIN,W,48.0,45,86,0.523,12,33,0.364,23,29,0.793,11,32,43,30,13.0,6,9,5,20,21,125,9.0,1,1,1,1,3,27,55,21,32,32,36,11,9,44,24,62,50,21,40,62,1,51,34,21,15,38,1610612756,12.04,33.79,0.356,0.35,0.007,102.0,104.7
