,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612757,POR,Portland Trail Blazers,0022101230,2022-04-10,POR vs. UTA,L,48.0,31,83,0.373,9,34,0.265,9,12,0.75,5,27,32,21,16.0,11,8,6,27,16,80,-31.0,1,28,28,28,3,75,56,75,65,53,70,75,77,39,74,71,76,54,54,13,4,46,72,61,81,71
1,2021-22,1610612757,POR,Portland Trail Blazers,0022101209,2022-04-08,POR @ DAL,L,48.0,31,83,0.373,7,32,0.219,9,12,0.75,5,24,29,20,17.0,9,2,5,23,19,78,-50.0,1,28,28,28,3,75,56,75,73,63,76,75,77,39,74,76,81,61,59,28,68,34,54,38,82,82
2,2021-22,1610612757,POR,Portland Trail Blazers,0022101200,2022-04-07,POR @ NOP,L,48.0,36,69,0.522,11,31,0.355,11,13,0.846,3,24,27,28,22.0,10,4,1,27,14,94,-33.0,1,28,28,28,3,53,82,6,53,69,34,65,73,17,81,76,82,9,77,18,40,3,72,74,66,76
3,2021-22,1610612757,POR,Portland Trail Blazers,0022101185,2022-04-05,POR @ OKC,L,48.0,35,83,0.422,11,32,0.344,13,16,0.813,10,30,40,24,17.0,10,6,12,19,10,94,-4.0,1,28,28,28,3,59,56,51,53,63,42,53,62,25,40,52,56,29,59,18,13,82,24,82,66,33
4,2021-22,1610612757,POR,Portland Trail Blazers,0022101175,2022-04-03,POR @ SAS,L,48.0,33,84,0.393,16,45,0.356,10,15,0.667,7,32,39,22,14.0,7,4,1,22,18,92,-21.0,1,28,28,28,3,69,51,66,14,8,33,70,68,69,62,39,57,45,36,44,40,3,49,47,71,63
5,2021-22,1610612757,POR,Portland Trail Blazers,0022101158,2022-04-01,POR @ SAS,L,48.0,41,92,0.446,15,35,0.429,14,20,0.7,12,30,42,27,12.0,12,2,6,20,16,111,-19.0,1,28,28,28,3,25,19,41,20,48,12,43,39,61,21,52,41,13,21,8,68,46,34,61,29,60
6,2021-22,1610612757,POR,Portland Trail Blazers,0022101146,2022-03-30,POR vs. NOP,L,48.0,39,85,0.459,14,42,0.333,15,18,0.833,13,28,41,30,22.0,7,4,6,27,16,107,-10.0,1,28,28,28,3,39,42,34,29,11,46,40,49,19,15,67,48,2,77,44,40,46,72,61,40,42
7,2021-22,1610612757,POR,Portland Trail Blazers,0022101130,2022-03-28,POR vs. OKC,L,53.0,51,112,0.455,20,50,0.4,9,13,0.692,19,28,47,28,11.0,17,5,3,23,15,131,-3.0,1,28,28,28,1,1,1,37,3,3,20,75,73,65,3,67,21,9,14,1,25,13,54,66,3,29
8,2021-22,1610612757,POR,Portland Trail Blazers,0022101114,2022-03-26,POR vs. HOU,L,48.0,37,93,0.398,12,40,0.3,12,17,0.706,21,30,51,21,23.0,14,4,8,19,14,98,-17.0,1,28,28,28,3,44,16,63,46,19,60,58,57,59,1,52,10,54,80,4,40,73,24,74,57,57
9,2021-22,1610612757,POR,Portland Trail Blazers,0022101105,2022-03-25,POR vs. HOU,L,48.0,43,85,0.506,3,20,0.15,17,23,0.739,13,25,38,28,17.0,6,3,3,21,22,106,-19.0,1,28,28,28,3,16,42,12,82,82,82,31,29,49,15,73,61,9,59,54,55,13,39,18,45,60
10,2021-22,1610612757,POR,Portland Trail Blazers,0022101094,2022-03-23,POR vs. SAS,L,48.0,36,94,0.383,7,26,0.269,17,18,0.944,12,31,43,18,18.0,5,5,11,21,13,96,-37.0,1,28,28,28,3,53,12,70,73,79,68,31,49,3,21,45,33,72,67,64,25,81,39,80,62,78
11,2021-22,1610612757,POR,Portland Trail Blazers,0022101073,2022-03-21,POR @ DET,W,48.0,37,88,0.42,8,28,0.286,37,49,0.755,17,30,47,22,9.0,15,7,5,26,34,119,4.0,1,1,1,1,3,44,33,52,69,77,63,1,1,38,5,52,21,45,2,2,7,34,68,1,13,23
12,2021-22,1610612757,POR,Portland Trail Blazers,0022101062,2022-03-20,POR @ IND,L,48.0,38,81,0.469,9,33,0.273,13,18,0.722,10,22,32,23,18.0,10,3,2,19,19,98,-31.0,1,28,28,28,3,43,67,29,65,60,66,53,49,54,40,81,76,36,67,18,55,8,24,38,57,71
13,2021-22,1610612757,POR,Portland Trail Blazers,0022101048,2022-03-18,POR @ BKN,L,48.0,48,96,0.5,13,35,0.371,14,24,0.583,17,20,37,29,14.0,14,4,4,26,22,123,-5.0,1,28,28,28,3,3,8,14,37,48,30,43,26,77,5,82,66,5,36,4,40,28,68,18,7,36
14,2021-22,1610612757,POR,Portland Trail Blazers,0022101037,2022-03-16,POR @ NYK,L,48.0,40,91,0.44,11,34,0.324,7,14,0.5,10,31,41,26,12.0,1,3,8,31,14,98,-30.0,1,28,28,28,3,29,21,46,53,53,52,79,71,81,40,45,48,18,21,81,55,73,82,74,57,68
15,2021-22,1610612757,POR,Portland Trail Blazers,0022101021,2022-03-14,POR @ ATL,L,48.0,44,88,0.5,10,24,0.417,15,21,0.714,11,45,56,25,21.0,4,9,6,25,15,113,-9.0,1,28,28,28,3,12,33,14,63,80,17,40,37,55,31,2,3,23,76,71,1,46,64,66,24,41
16,2021-22,1610612757,POR,Portland Trail Blazers,0022101011,2022-03-12,POR vs. WAS,W,48.0,48,93,0.516,11,30,0.367,20,22,0.909,12,31,43,21,11.0,10,3,8,21,16,127,9.0,1,1,1,1,3,3,16,9,53,73,32,20,33,7,21,45,33,54,14,18,55,73,39,61,4,12
17,2021-22,1610612757,POR,Portland Trail Blazers,0022100990,2022-03-09,POR @ UTA,L,48.0,29,89,0.326,9,36,0.25,18,22,0.818,9,27,36,19,10.0,4,2,5,23,23,85,-38.0,1,28,28,28,3,80,29,81,65,43,72,27,33,23,48,71,68,65,10,71,68,34,54,13,77,80
18,2021-22,1610612757,POR,Portland Trail Blazers,0022100971,2022-03-07,POR @ MIN,L,48.0,23,83,0.277,7,28,0.25,28,38,0.737,8,34,42,11,18.0,10,5,9,30,25,81,-43.0,1,28,28,28,3,82,56,82,73,77,72,3,3,50,55,27,41,82,67,18,25,77,81,5,79,81
19,2021-22,1610612757,POR,Portland Trail Blazers,0022100958,2022-03-05,POR @ MIN,L,48.0,40,85,0.471,16,38,0.421,25,30,0.833,11,30,41,24,16.0,5,1,7,23,21,121,-14.0,1,28,28,28,3,29,42,28,14,31,14,7,10,19,31,52,48,29,54,64,80,62,54,25,10,51
20,2021-22,1610612757,POR,Portland Trail Blazers,0022100939,2022-03-02,POR @ PHX,L,48.0,30,78,0.385,11,31,0.355,19,25,0.76,5,30,35,22,19.0,10,2,6,23,21,90,-30.0,1,28,28,28,3,79,77,69,53,69,34,23,24,37,74,52,72,45,74,18,68,46,54,25,74,68
21,2021-22,1610612757,POR,Portland Trail Blazers,0022100918,2022-02-27,POR vs. DEN,L,48.0,34,91,0.374,6,36,0.167,18,26,0.692,11,31,42,22,15.0,12,3,5,25,20,92,-32.0,1,28,28,28,3,66,21,74,79,43,81,27,21,65,31,45,41,45,46,8,55,34,64,34,71,74
22,2021-22,1610612757,POR,Portland Trail Blazers,0022100894,2022-02-24,POR vs. GSW,L,48.0,31,79,0.392,9,35,0.257,24,29,0.828,6,25,31,16,18.0,5,4,7,29,23,95,-37.0,1,28,28,28,3,75,75,67,65,48,71,10,12,22,71,73,79,79,67,64,40,62,80,13,63,78
23,2021-22,1610612757,POR,Portland Trail Blazers,0022100879,2022-02-16,POR @ MEM,W,48.0,43,85,0.506,13,32,0.406,24,32,0.75,13,30,43,23,12.0,6,5,7,27,26,123,4.0,1,1,1,1,3,16,42,12,37,63,19,10,6,39,15,52,33,36,21,54,25,62,72,3,7,23
24,2021-22,1610612757,POR,Portland Trail Blazers,0022100862,2022-02-14,POR @ MIL,W,48.0,45,99,0.455,18,43,0.419,14,19,0.737,14,44,58,30,14.0,8,6,3,19,18,122,15.0,1,1,1,1,3,8,4,38,5,10,16,43,45,50,13,3,2,2,36,34,13,13,24,47,9,6
25,2021-22,1610612757,POR,Portland Trail Blazers,0022100845,2022-02-12,POR vs. NYK,W,48.0,40,84,0.476,15,40,0.375,17,20,0.85,9,42,51,29,17.0,3,2,6,26,24,112,9.0,1,1,1,1,3,29,51,21,20,19,28,31,39,15,48,5,10,5,59,80,68,46,68,8,26,12
26,2021-22,1610612757,POR,Portland Trail Blazers,0022100829,2022-02-09,POR vs. LAL,W,48.0,42,89,0.472,10,32,0.313,13,16,0.813,11,30,41,26,11.0,15,3,7,15,15,107,2.0,1,1,1,1,3,21,29,26,63,63,56,53,62,25,31,52,48,18,14,2,55,62,4,66,40,27
27,2021-22,1610612757,POR,Portland Trail Blazers,0022100823,2022-02-08,POR vs. ORL,L,48.0,32,91,0.352,11,38,0.289,20,26,0.769,17,33,50,21,13.0,9,5,7,12,18,95,-18.0,1,28,28,28,3,73,21,80,53,31,62,20,21,35,5,31,14,54,29,28,25,62,1,47,63,59
28,2021-22,1610612757,POR,Portland Trail Blazers,0022100800,2022-02-05,POR vs. MIL,L,48.0,41,85,0.482,14,45,0.311,12,21,0.571,9,29,38,25,16.0,6,6,6,18,18,108,-29.0,1,28,28,28,3,25,42,20,29,8,57,58,37,79,48,64,61,23,54,54,13,46,15,47,38,66
