,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612758,SAC,Sacramento Kings,0022101229,2022-04-10,SAC @ PHX,W,48.0,40,76,0.526,14,26,0.538,22,30,0.733,2,38,40,26,15.0,9,7,7,18,25,116,7.0,1,1,1,1,4,40,79,8,12,74,2,18,10,52,82,13,49,23,48,18,11,67,28,9,26,15
1,2021-22,1610612758,SAC,Sacramento Kings,0022101212,2022-04-09,SAC @ LAC,L,48.0,38,86,0.442,7,28,0.25,15,24,0.625,7,35,42,24,13.0,12,2,3,16,22,98,-19.0,1,31,31,31,4,53,44,50,74,67,71,53,32,78,57,31,45,33,26,6,66,13,15,25,66,67
2,2021-22,1610612758,SAC,Sacramento Kings,0022101188,2022-04-05,SAC vs. NOP,L,48.0,39,76,0.513,11,30,0.367,20,22,0.909,3,31,34,28,15.0,4,3,2,20,20,109,-14.0,1,31,31,31,4,45,79,21,42,55,31,25,41,3,80,53,76,14,48,66,50,6,42,35,47,57
3,2021-22,1610612758,SAC,Sacramento Kings,0022101176,2022-04-03,SAC vs. GSW,L,48.0,31,81,0.383,7,33,0.212,21,24,0.875,6,29,35,19,13.0,5,1,8,15,28,90,-19.0,1,31,31,31,4,79,67,76,74,40,79,21,32,9,68,63,73,71,26,56,77,72,11,4,77,67
4,2021-22,1610612758,SAC,Sacramento Kings,0022101154,2022-04-01,SAC @ HOU,W,48.0,42,81,0.519,12,28,0.429,26,34,0.765,8,39,47,29,13.0,6,11,7,19,25,122,5.0,1,1,1,1,4,27,67,16,26,67,10,4,6,41,45,11,19,9,26,45,1,67,35,9,19,18
5,2021-22,1610612758,SAC,Sacramento Kings,0022101142,2022-03-30,SAC @ HOU,W,48.0,44,95,0.463,7,26,0.269,26,36,0.722,13,31,44,21,9.0,7,10,4,21,34,121,3.0,1,1,1,1,4,19,11,37,74,74,68,4,3,59,12,53,37,55,7,36,2,32,54,1,20,24
6,2021-22,1610612758,SAC,Sacramento Kings,0022101125,2022-03-28,SAC @ MIA,L,48.0,37,81,0.457,12,35,0.343,14,18,0.778,5,27,32,21,14.0,6,2,1,12,20,100,-23.0,1,31,31,31,4,61,67,39,26,27,44,60,62,35,74,73,81,55,34,45,66,2,3,35,63,74
7,2021-22,1610612758,SAC,Sacramento Kings,0022101108,2022-03-26,SAC @ ORL,W,53.0,42,98,0.429,11,36,0.306,19,24,0.792,18,41,59,24,14.0,4,4,3,12,20,114,4.0,1,1,1,1,2,27,4,56,42,22,62,32,32,34,4,4,1,33,34,66,37,13,3,35,30,20
8,2021-22,1610612758,SAC,Sacramento Kings,0022101086,2022-03-23,SAC @ IND,W,48.0,43,82,0.524,12,37,0.324,12,17,0.706,4,32,36,26,17.0,7,3,3,10,17,110,1.0,1,1,1,1,4,21,62,12,26,18,52,71,70,65,77,46,70,23,66,36,50,13,2,63,43,29
9,2021-22,1610612758,SAC,Sacramento Kings,0022101066,2022-03-20,SAC vs. PHX,L,53.0,39,91,0.429,16,34,0.471,30,36,0.833,9,33,42,27,15.0,12,2,5,21,30,124,-3.0,1,31,31,31,2,45,28,56,4,32,5,2,3,21,38,38,45,18,48,6,66,37,54,3,14,37
10,2021-22,1610612758,SAC,Sacramento Kings,0022101057,2022-03-18,SAC vs. BOS,L,48.0,33,79,0.418,13,36,0.361,18,24,0.75,8,29,37,23,16.0,5,6,1,14,23,97,-29.0,1,31,31,31,4,74,76,65,20,22,34,37,32,46,45,63,66,45,58,56,19,2,7,21,68,80
