,SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
0,2021-22,1610612761,TOR,Toronto Raptors,0022101226,2022-04-10,TOR @ NYK,L,48.0,36,92,0.391,12,42,0.286,10,11,0.909,9,34,43,27,14.0,10,2,5,17,17,94,-11.0,1,49,49,49,6,67,34,75,35,5,62,75,80,8,70,29,50,10,58,22,68,39,15,56,74,69
1,2021-22,1610612761,TOR,Toronto Raptors,0022101206,2022-04-08,TOR vs. HOU,W,48.0,44,96,0.458,7,29,0.241,22,23,0.957,13,28,41,20,10.0,13,4,3,18,19,117,2.0,1,1,1,1,6,20,19,31,72,70,75,9,24,4,37,60,61,52,18,6,37,9,23,34,23,46
2,2021-22,1610612761,TOR,Toronto Raptors,0022101197,2022-04-07,TOR vs. PHI,W,48.0,45,91,0.495,15,33,0.455,14,18,0.778,12,29,41,22,11.0,7,4,3,17,18,119,5.0,1,1,1,1,6,15,36,14,12,48,10,53,57,35,47,55,61,38,27,56,37,9,15,44,18,34
3,2021-22,1610612761,TOR,Toronto Raptors,0022101182,2022-04-05,TOR vs. ATL,W,48.0,44,101,0.436,9,35,0.257,21,31,0.677,20,40,60,20,8.0,6,5,4,14,22,118,10.0,1,1,1,1,6,20,6,47,64,34,69,10,5,63,5,4,2,52,5,68,26,21,6,17,21,25
4,2021-22,1610612761,TOR,Toronto Raptors,0022101172,2022-04-03,TOR vs. MIA,L,48.0,35,83,0.422,12,39,0.308,27,34,0.794,10,28,38,19,17.0,12,1,4,20,21,109,-5.0,1,49,49,49,6,73,74,57,35,13,56,1,3,30,63,60,75,60,67,11,75,21,40,22,38,57
5,2021-22,1610612761,TOR,Toronto Raptors,0022101151,2022-04-01,TOR @ ORL,W,48.0,36,86,0.419,13,42,0.31,17,20,0.85,10,31,41,21,10.0,13,3,4,14,14,102,13.0,1,1,1,1,6,67,63,60,29,5,54,29,42,19,63,43,61,45,18,6,55,21,6,75,58,16
6,2021-22,1610612761,TOR,Toronto Raptors,0022101141,2022-03-30,TOR vs. MIN,W,48.0,48,96,0.5,18,36,0.5,11,15,0.733,11,36,47,32,19.0,9,4,9,23,19,125,23.0,1,1,1,1,6,6,19,11,1,28,2,70,71,48,55,14,25,3,79,34,37,78,65,34,9,5
7,2021-22,1610612761,TOR,Toronto Raptors,0022101127,2022-03-28,TOR vs. BOS,W,53.0,46,106,0.434,10,39,0.256,13,18,0.722,16,36,52,16,10.0,10,11,7,28,15,115,3.0,1,1,1,1,2,12,3,49,57,13,70,61,57,52,14,14,11,74,18,22,1,57,81,69,30,42
8,2021-22,1610612761,TOR,Toronto Raptors,0022101109,2022-03-26,TOR vs. IND,W,48.0,51,84,0.607,15,32,0.469,14,19,0.737,9,33,42,34,6.0,9,3,3,16,14,131,40.0,1,1,1,1,6,3,70,1,12,51,6,53,49,46,70,35,57,2,1,34,55,9,11,75,3,1
9,2021-22,1610612761,TOR,Toronto Raptors,0022101095,2022-03-24,TOR vs. CLE,W,48.0,42,89,0.472,16,37,0.432,17,19,0.895,13,27,40,26,9.0,9,5,3,22,14,117,13.0,1,1,1,1,6,27,45,22,8,21,15,29,49,10,37,67,70,15,14,34,26,9,61,75,23,16
10,2021-22,1610612761,TOR,Toronto Raptors,0022101076,2022-03-21,TOR @ CHI,L,48.0,40,91,0.44,6,32,0.188,13,15,0.867,14,35,49,26,14.0,5,6,7,20,14,99,-14.0,1,49,49,49,6,42,36,42,79,51,82,61,71,17,30,23,16,15,58,74,19,57,40,75,62,72
11,2021-22,1610612761,TOR,Toronto Raptors,0022101069,2022-03-20,TOR @ PHI,W,48.0,35,93,0.376,7,26,0.269,16,23,0.696,20,36,56,16,9.0,5,4,5,16,23,93,5.0,1,1,1,1,6,73,30,77,72,73,65,36,24,57,5,14,5,74,14,74,37,39,11,10,75,34
12,2021-22,1610612761,TOR,Toronto Raptors,0022101051,2022-03-18,TOR vs. LAL,L,53.0,49,97,0.505,12,37,0.324,13,20,0.65,16,30,46,25,12.0,8,2,4,19,19,123,-5.0,1,49,49,49,2,5,16,10,35,21,49,61,42,68,14,50,34,20,35,45,68,21,32,34,14,57
