,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M_x,FG3A_x,FG3_PCT_x,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,TEAM_ID,FG3M_y,FG3A_y,FG3_PCT_y,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
0,2021-22,UTA,Utah Jazz,22101230,2022-04-10,UTA @ POR,W,48.0,37,82,0.451,9,36,0.25,28,38,0.737,15,45,60,23,17.0,8,6,8,16,27,111,31.0,1,1,1,1,3,58,62,53,76,62,78,4,3,53,9,6,3,29,58,20,17,77,16,5,45,6,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
1,2021-22,UTA,Utah Jazz,22101210,2022-04-08,UTA vs. PHX,L,48.0,35,88,0.398,11,38,0.289,24,33,0.727,15,29,44,20,11.0,8,4,3,18,25,105,-6.0,1,50,50,50,3,69,35,75,67,50,71,8,7,56,9,70,47,54,17,20,44,12,34,6,65,59,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
2,2021-22,UTA,Utah Jazz,22101194,2022-04-06,UTA vs. OKC,W,48.0,49,84,0.583,15,36,0.417,24,32,0.75,16,39,55,29,13.0,7,10,1,13,22,137,36.0,1,1,1,1,3,3,52,1,33,62,16,8,8,49,4,19,9,10,30,34,2,1,3,23,1,2,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
3,2021-22,UTA,Utah Jazz,22101187,2022-04-05,UTA vs. MEM,W,53.0,40,96,0.417,12,38,0.316,29,43,0.674,13,48,61,23,17.0,8,8,7,21,29,121,6.0,1,1,1,1,1,40,3,69,57,50,64,2,1,70,19,2,2,29,58,20,7,69,56,3,21,39,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
4,2021-22,UTA,Utah Jazz,22101165,2022-04-02,UTA @ GSW,L,48.0,38,89,0.427,15,46,0.326,16,22,0.727,12,35,47,19,13.0,8,2,6,17,22,107,-4.0,1,50,50,50,3,55,23,67,33,15,55,52,44,56,26,43,35,62,30,20,71,67,29,23,60,56,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
5,2021-22,UTA,Utah Jazz,22101150,2022-03-31,UTA vs. LAL,W,48.0,46,90,0.511,15,44,0.341,15,24,0.625,9,32,41,25,8.0,7,2,3,20,21,122,13.0,1,1,1,1,3,12,18,23,33,24,47,56,29,78,48,60,61,23,6,34,71,12,45,32,18,25,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
6,2021-22,UTA,Utah Jazz,22101135,2022-03-29,UTA @ LAC,L,48.0,43,78,0.551,12,31,0.387,17,29,0.586,10,28,38,23,15.0,5,5,4,24,23,115,-6.0,1,50,50,50,3,24,78,7,57,74,28,41,14,81,38,75,71,29,46,63,30,36,72,16,36,59,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
7,2021-22,UTA,Utah Jazz,22101121,2022-03-27,UTA @ DAL,L,48.0,41,89,0.461,12,34,0.353,6,10,0.6,7,29,36,23,6.0,5,1,2,20,13,100,-14.0,1,50,50,50,3,33,23,46,57,69,43,82,81,80,69,70,80,29,2,63,80,3,45,78,72,77,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
8,2021-22,UTA,Utah Jazz,22101100,2022-03-25,UTA @ CHA,L,48.0,38,84,0.452,17,47,0.362,8,11,0.727,9,29,38,25,12.0,7,2,3,16,17,101,-6.0,1,50,50,50,3,55,52,52,11,11,39,80,79,56,48,70,71,23,22,34,71,12,16,67,70,59,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
9,2021-22,UTA,Utah Jazz,22101087,2022-03-23,UTA @ BOS,L,48.0,35,88,0.398,8,36,0.222,19,21,0.905,16,24,40,13,14.0,8,1,10,14,20,97,-28.0,1,50,50,50,3,69,35,75,79,62,81,28,53,5,4,81,66,80,38,20,80,82,5,39,76,81,1610612762,13.0,35.08,0.371,0.354,0.017,99.5,107.7
