,TEAM_ID,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
0,1610612744,41.58,91.46,0.455,0.476,-0.021
1,1610612738,41.09,90.26,0.455,0.475,-0.02
2,1610612756,39.86,86.45,0.461,0.477,-0.016
3,1610612762,43.23,94.64,0.457,0.473,-0.016
4,1610612749,44.17,95.58,0.462,0.475,-0.013
5,1610612747,43.0,93.61,0.459,0.473,-0.013
6,1610612741,39.35,85.09,0.462,0.474,-0.012
7,1610612763,41.28,89.2,0.463,0.475,-0.012
8,1610612740,39.61,84.78,0.467,0.473,-0.006
9,1610612766,42.05,90.09,0.467,0.472,-0.005
10,1610612750,42.1,89.0,0.473,0.477,-0.004
11,1610612751,42.63,89.63,0.476,0.476,0.0
12,1610612755,40.64,85.56,0.475,0.475,0.0
13,1610612743,42.26,89.3,0.473,0.473,0.001
14,1610612739,39.52,83.43,0.474,0.471,0.002
15,1610612753,41.3,86.57,0.477,0.473,0.004
16,1610612752,41.86,86.73,0.483,0.476,0.007
17,1610612765,41.48,86.52,0.479,0.473,0.007
18,1610612746,44.38,91.76,0.484,0.476,0.007
19,1610612760,42.4,87.68,0.484,0.473,0.011
20,1610612742,43.82,90.18,0.486,0.473,0.013
21,1610612761,39.87,81.26,0.491,0.476,0.014
22,1610612758,43.68,88.92,0.491,0.477,0.015
23,1610612745,43.04,87.17,0.494,0.477,0.017
24,1610612748,41.74,84.43,0.494,0.474,0.021
25,1610612764,44.0,89.13,0.494,0.472,0.022
26,1610612759,46.35,92.43,0.501,0.475,0.026
27,1610612737,45.87,90.74,0.506,0.478,0.028
28,1610612757,45.08,88.83,0.508,0.476,0.032
29,1610612754,46.68,92.36,0.505,0.469,0.036
