,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612766,Charlotte Hornets,CHA,22,22,0.351,226,696,0.325,0.359,-0.034
1,1610612738,Boston Celtics,BOS,23,23,0.399,271,828,0.327,0.358,-0.031
2,1610612743,Denver Nuggets,DEN,23,23,0.366,249,752,0.331,0.359,-0.028
3,1610612747,Los Angeles Lakers,LAL,23,23,0.392,283,845,0.335,0.359,-0.024
4,1610612740,New Orleans Pelicans,NOP,23,23,0.425,280,829,0.338,0.356,-0.019
5,1610612756,Phoenix Suns,PHX,22,22,0.382,255,727,0.351,0.361,-0.01
6,1610612763,Memphis Grizzlies,MEM,25,25,0.413,324,920,0.352,0.362,-0.009
7,1610612755,Philadelphia 76ers,PHI,25,25,0.411,313,879,0.356,0.363,-0.007
8,1610612742,Dallas Mavericks,DAL,22,22,0.363,254,721,0.352,0.356,-0.003
9,1610612760,Oklahoma City Thunder,OKC,25,25,0.427,336,937,0.359,0.361,-0.003
10,1610612762,Utah Jazz,UTA,22,22,0.428,321,891,0.36,0.359,0.001
11,1610612765,Detroit Pistons,DET,23,23,0.373,266,743,0.358,0.355,0.003
12,1610612741,Chicago Bulls,CHI,23,23,0.448,320,877,0.365,0.36,0.005
13,1610612744,Golden State Warriors,GSW,24,24,0.394,315,865,0.364,0.359,0.005
14,1610612751,Brooklyn Nets,BKN,24,24,0.351,274,755,0.363,0.357,0.005
15,1610612753,Orlando Magic,ORL,23,23,0.42,305,836,0.365,0.359,0.006
16,1610612746,LA Clippers,LAC,21,21,0.359,255,691,0.369,0.36,0.009
17,1610612748,Miami Heat,MIA,23,23,0.426,304,827,0.368,0.357,0.01
18,1610612749,Milwaukee Bucks,MIL,24,24,0.374,320,858,0.373,0.362,0.011
19,1610612750,Minnesota Timberwolves,MIN,21,21,0.324,226,606,0.373,0.362,0.011
20,1610612737,Atlanta Hawks,ATL,23,23,0.364,285,759,0.375,0.364,0.012
21,1610612754,Indiana Pacers,IND,22,22,0.353,266,717,0.371,0.358,0.013
22,1610612758,Sacramento Kings,SAC,25,25,0.41,350,911,0.384,0.365,0.019
23,1610612739,Cleveland Cavaliers,CLE,21,21,0.358,236,627,0.376,0.356,0.02
24,1610612761,Toronto Raptors,TOR,23,23,0.375,267,700,0.381,0.361,0.02
25,1610612759,San Antonio Spurs,SAS,23,23,0.373,303,792,0.383,0.362,0.021
26,1610612752,New York Knicks,NYK,22,22,0.404,297,770,0.386,0.361,0.025
27,1610612745,Houston Rockets,HOU,24,24,0.44,356,921,0.387,0.36,0.027
28,1610612764,Washington Wizards,WAS,24,24,0.366,303,783,0.387,0.355,0.032
29,1610612757,Portland Trail Blazers,POR,24,24,0.391,332,834,0.398,0.362,0.036
