,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612763,Memphis Grizzlies,MEM,57,57,0.435,21.67,39.19,0.553,0.592,-0.039
1,1610612751,Brooklyn Nets,BKN,58,58,0.464,22.6,40.83,0.554,0.592,-0.038
2,1610612749,Milwaukee Bucks,MIL,58,58,0.408,21.24,37.62,0.565,0.591,-0.026
3,1610612764,Washington Wizards,WAS,58,58,0.472,24.03,42.48,0.566,0.592,-0.026
4,1610612762,Utah Jazz,UTA,60,60,0.478,24.8,43.25,0.573,0.594,-0.021
5,1610612739,Cleveland Cavaliers,CLE,61,61,0.441,21.07,36.87,0.571,0.593,-0.021
6,1610612738,Boston Celtics,BOS,59,59,0.427,22.0,38.53,0.571,0.591,-0.02
7,1610612760,Oklahoma City Thunder,OKC,57,57,0.454,23.37,40.26,0.58,0.595,-0.015
8,1610612756,Phoenix Suns,PHX,60,60,0.444,22.08,38.07,0.58,0.593,-0.013
9,1610612754,Indiana Pacers,IND,60,60,0.455,23.35,40.12,0.582,0.595,-0.013
10,1610612752,New York Knicks,NYK,60,60,0.394,20.17,34.9,0.578,0.591,-0.013
11,1610612746,LA Clippers,LAC,61,61,0.426,21.62,37.08,0.583,0.593,-0.009
12,1610612766,Charlotte Hornets,CHA,60,60,0.429,22.72,38.72,0.587,0.595,-0.008
13,1610612750,Minnesota Timberwolves,MIN,61,61,0.44,22.93,39.03,0.588,0.591,-0.003
14,1610612744,Golden State Warriors,GSW,58,58,0.431,22.93,38.88,0.59,0.592,-0.002
15,1610612747,Los Angeles Lakers,LAL,59,59,0.41,23.24,38.58,0.602,0.594,0.008
16,1610612737,Atlanta Hawks,ATL,59,59,0.45,24.34,40.54,0.6,0.59,0.01
17,1610612757,Portland Trail Blazers,POR,58,58,0.456,23.95,39.69,0.603,0.593,0.01
18,1610612741,Chicago Bulls,CHI,59,59,0.423,22.41,37.19,0.603,0.59,0.012
19,1610612742,Dallas Mavericks,DAL,60,60,0.443,22.85,37.55,0.609,0.593,0.015
20,1610612755,Philadelphia 76ers,PHI,57,57,0.421,21.81,35.96,0.606,0.59,0.016
21,1610612759,San Antonio Spurs,SAS,59,59,0.466,25.69,42.17,0.609,0.593,0.016
22,1610612761,Toronto Raptors,TOR,59,59,0.448,22.61,37.08,0.61,0.591,0.018
23,1610612745,Houston Rockets,HOU,58,58,0.408,22.17,36.07,0.615,0.594,0.02
24,1610612748,Miami Heat,MIA,59,59,0.398,20.24,32.92,0.615,0.593,0.022
25,1610612743,Denver Nuggets,DEN,59,59,0.447,23.81,38.75,0.615,0.592,0.023
26,1610612758,Sacramento Kings,SAC,57,57,0.457,24.91,40.58,0.614,0.589,0.025
27,1610612765,Detroit Pistons,DET,59,59,0.463,25.61,41.07,0.624,0.595,0.029
28,1610612753,Orlando Magic,ORL,59,59,0.41,22.32,35.68,0.626,0.592,0.033
29,1610612740,New Orleans Pelicans,NOP,59,59,0.417,23.19,36.46,0.636,0.592,0.044
