,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
0,1610612763,Memphis Grizzlies,MEM,57,57,0.595,1567,3057,0.513,0.547,-0.034
1,1610612751,Brooklyn Nets,BKN,58,58,0.631,1643,3221,0.51,0.544,-0.034
2,1610612749,Milwaukee Bucks,MIL,58,58,0.637,1752,3409,0.514,0.545,-0.031
3,1610612739,Cleveland Cavaliers,CLE,61,61,0.631,1683,3214,0.524,0.545,-0.022
4,1610612764,Washington Wizards,WAS,58,58,0.635,1744,3318,0.526,0.546,-0.021
5,1610612756,Phoenix Suns,PHX,60,60,0.63,1720,3241,0.531,0.548,-0.018
6,1610612752,New York Knicks,NYK,60,60,0.582,1651,3099,0.533,0.545,-0.012
7,1610612738,Boston Celtics,BOS,59,59,0.636,1797,3383,0.531,0.543,-0.012
8,1610612746,LA Clippers,LAC,61,61,0.615,1753,3269,0.536,0.547,-0.01
9,1610612750,Minnesota Timberwolves,MIN,61,61,0.608,1763,3286,0.537,0.546,-0.009
10,1610612754,Indiana Pacers,IND,60,60,0.619,1769,3275,0.54,0.548,-0.008
11,1610612760,Oklahoma City Thunder,OKC,57,57,0.601,1654,3042,0.544,0.549,-0.006
12,1610612762,Utah Jazz,UTA,60,60,0.643,1902,3495,0.544,0.547,-0.003
13,1610612744,Golden State Warriors,GSW,58,58,0.608,1735,3178,0.546,0.546,0.0
14,1610612747,Los Angeles Lakers,LAL,59,59,0.613,1873,3399,0.551,0.548,0.003
15,1610612757,Portland Trail Blazers,POR,58,58,0.627,1743,3161,0.551,0.547,0.004
16,1610612766,Charlotte Hornets,CHA,60,60,0.609,1819,3293,0.552,0.548,0.004
17,1610612741,Chicago Bulls,CHI,59,59,0.582,1668,3020,0.552,0.546,0.006
18,1610612755,Philadelphia 76ers,PHI,57,57,0.619,1657,3010,0.55,0.545,0.006
19,1610612737,Atlanta Hawks,ATL,59,59,0.625,1843,3322,0.555,0.543,0.011
20,1610612748,Miami Heat,MIA,59,59,0.568,1555,2773,0.561,0.547,0.014
21,1610612745,Houston Rockets,HOU,58,58,0.559,1614,2871,0.562,0.549,0.014
22,1610612743,Denver Nuggets,DEN,59,59,0.617,1767,3152,0.561,0.547,0.014
23,1610612742,Dallas Mavericks,DAL,60,60,0.631,1802,3206,0.562,0.547,0.015
24,1610612758,Sacramento Kings,SAC,57,57,0.639,1825,3236,0.564,0.544,0.02
25,1610612740,New Orleans Pelicans,NOP,59,59,0.588,1724,3031,0.569,0.547,0.022
26,1610612759,San Antonio Spurs,SAS,59,59,0.651,1981,3475,0.57,0.547,0.023
27,1610612753,Orlando Magic,ORL,59,59,0.573,1680,2942,0.571,0.547,0.024
28,1610612765,Detroit Pistons,DET,59,59,0.62,1861,3243,0.574,0.549,0.025
29,1610612761,Toronto Raptors,TOR,59,59,0.595,1661,2907,0.571,0.546,0.025
