,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612762,Utah Jazz,UTA,22,22,0.423,22.27,40.0,0.557,0.588,-0.032
1,1610612749,Milwaukee Bucks,MIL,24,24,0.402,21.58,38.46,0.561,0.592,-0.031
2,1610612739,Cleveland Cavaliers,CLE,21,21,0.464,21.52,38.71,0.556,0.587,-0.031
3,1610612750,Minnesota Timberwolves,MIN,21,21,0.441,22.29,39.29,0.567,0.597,-0.03
4,1610612744,Golden State Warriors,GSW,24,24,0.416,21.54,38.04,0.566,0.59,-0.024
5,1610612756,Phoenix Suns,PHX,22,22,0.439,21.82,37.95,0.575,0.597,-0.022
6,1610612763,Memphis Grizzlies,MEM,25,25,0.424,21.88,37.84,0.578,0.595,-0.017
7,1610612752,New York Knicks,NYK,22,22,0.423,21.23,36.68,0.579,0.595,-0.016
8,1610612751,Brooklyn Nets,BKN,24,24,0.48,25.0,43.04,0.581,0.594,-0.013
9,1610612747,Los Angeles Lakers,LAL,23,23,0.435,23.52,40.7,0.578,0.589,-0.011
10,1610612741,Chicago Bulls,CHI,23,23,0.397,19.7,33.78,0.583,0.591,-0.008
11,1610612766,Charlotte Hornets,CHA,22,22,0.477,24.86,43.0,0.578,0.587,-0.008
12,1610612738,Boston Celtics,BOS,23,23,0.421,22.13,37.96,0.583,0.591,-0.008
13,1610612746,LA Clippers,LAC,21,21,0.447,24.52,41.0,0.598,0.594,0.004
14,1610612758,Sacramento Kings,SAC,25,25,0.432,23.16,38.4,0.603,0.595,0.008
15,1610612765,Detroit Pistons,DET,23,23,0.437,22.65,37.83,0.599,0.589,0.009
16,1610612737,Atlanta Hawks,ATL,23,23,0.481,26.65,43.61,0.611,0.599,0.013
17,1610612742,Dallas Mavericks,DAL,22,22,0.444,24.18,40.05,0.604,0.588,0.015
18,1610612759,San Antonio Spurs,SAS,23,23,0.478,26.96,44.17,0.61,0.594,0.016
19,1610612755,Philadelphia 76ers,PHI,25,25,0.418,21.96,35.8,0.613,0.598,0.016
20,1610612761,Toronto Raptors,TOR,23,23,0.454,22.52,36.87,0.611,0.595,0.016
21,1610612764,Washington Wizards,WAS,24,24,0.449,24.21,40.04,0.605,0.589,0.016
22,1610612743,Denver Nuggets,DEN,23,23,0.444,24.09,39.65,0.607,0.589,0.019
23,1610612760,Oklahoma City Thunder,OKC,25,25,0.404,21.64,35.4,0.611,0.591,0.02
24,1610612757,Portland Trail Blazers,POR,24,24,0.486,26.67,43.21,0.617,0.593,0.024
25,1610612753,Orlando Magic,ORL,23,23,0.382,20.35,33.09,0.615,0.59,0.025
26,1610612740,New Orleans Pelicans,NOP,23,23,0.423,22.39,35.87,0.624,0.593,0.031
27,1610612754,Indiana Pacers,IND,22,22,0.503,28.95,46.45,0.623,0.588,0.035
28,1610612745,Houston Rockets,HOU,24,24,0.424,23.58,36.92,0.639,0.596,0.043
29,1610612748,Miami Heat,MIA,23,23,0.4,21.78,33.78,0.645,0.59,0.054
