,TEAM_ID,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
0,1610612740,0.412,12.24,36.0,0.34,0.36,-0.02
1,1610612747,0.387,12.63,36.37,0.347,0.363,-0.015
2,1610612753,0.427,12.86,37.19,0.346,0.36,-0.014
3,1610612752,0.418,12.85,37.03,0.347,0.36,-0.013
4,1610612755,0.381,11.21,32.56,0.344,0.356,-0.012
5,1610612749,0.363,11.57,33.47,0.346,0.357,-0.012
6,1610612743,0.383,11.59,33.19,0.349,0.359,-0.01
7,1610612742,0.369,10.98,31.25,0.351,0.361,-0.009
8,1610612737,0.375,11.76,33.71,0.349,0.357,-0.008
9,1610612741,0.418,12.98,36.69,0.354,0.36,-0.006
10,1610612738,0.364,11.58,32.8,0.353,0.358,-0.005
11,1610612764,0.365,11.74,32.84,0.357,0.362,-0.004
12,1610612763,0.405,13.0,36.46,0.357,0.36,-0.003
13,1610612760,0.399,12.68,35.4,0.358,0.36,-0.002
14,1610612756,0.37,11.38,31.68,0.359,0.36,-0.001
15,1610612765,0.38,12.17,33.71,0.361,0.361,0.0
16,1610612762,0.357,11.7,32.32,0.362,0.361,0.001
17,1610612744,0.392,12.84,35.34,0.363,0.358,0.005
18,1610612746,0.385,12.21,33.56,0.364,0.359,0.005
19,1610612745,0.441,14.36,39.0,0.368,0.362,0.006
20,1610612739,0.369,11.28,30.84,0.366,0.36,0.006
21,1610612766,0.391,12.97,35.28,0.368,0.361,0.007
22,1610612748,0.432,13.1,35.71,0.367,0.36,0.007
23,1610612751,0.369,11.97,32.5,0.368,0.359,0.009
24,1610612750,0.392,12.8,34.79,0.368,0.359,0.009
25,1610612758,0.361,11.79,32.09,0.367,0.357,0.01
26,1610612757,0.373,12.02,32.47,0.37,0.358,0.012
27,1610612761,0.405,12.44,33.49,0.371,0.36,0.012
28,1610612754,0.381,12.55,33.6,0.374,0.359,0.014
29,1610612759,0.349,12.42,31.51,0.394,0.36,0.034
