,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,GP,G,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
0,1610612738,Boston Celtics,BOS,39,39,0.435,851,1560,0.546,0.588,-0.042
1,1610612750,Minnesota Timberwolves,MIN,39,39,0.426,800,1470,0.544,0.586,-0.042
2,1610612763,Memphis Grizzlies,MEM,39,39,0.438,821,1492,0.55,0.587,-0.037
3,1610612760,Oklahoma City Thunder,OKC,38,38,0.426,802,1458,0.55,0.582,-0.032
4,1610612739,Cleveland Cavaliers,CLE,37,37,0.453,821,1467,0.56,0.586,-0.027
5,1610612743,Denver Nuggets,DEN,40,40,0.463,915,1624,0.563,0.584,-0.021
6,1610612751,Brooklyn Nets,BKN,37,37,0.417,784,1391,0.564,0.584,-0.02
7,1610612746,LA Clippers,LAC,39,39,0.439,848,1501,0.565,0.584,-0.019
8,1610612745,Houston Rockets,HOU,39,39,0.423,825,1433,0.576,0.591,-0.015
9,1610612749,Milwaukee Bucks,MIL,40,40,0.446,981,1693,0.579,0.583,-0.004
10,1610612747,Los Angeles Lakers,LAL,40,40,0.407,847,1470,0.576,0.581,-0.004
11,1610612762,Utah Jazz,UTA,41,41,0.452,979,1690,0.579,0.582,-0.002
12,1610612755,Philadelphia 76ers,PHI,38,38,0.464,902,1551,0.582,0.584,-0.002
13,1610612754,Indiana Pacers,IND,39,39,0.531,1096,1873,0.585,0.586,0.0
14,1610612753,Orlando Magic,ORL,39,39,0.456,905,1536,0.589,0.59,0.0
15,1610612756,Phoenix Suns,PHX,39,39,0.439,884,1528,0.579,0.577,0.001
16,1610612741,Chicago Bulls,CHI,41,41,0.413,863,1464,0.589,0.588,0.002
17,1610612765,Detroit Pistons,DET,39,39,0.49,1006,1711,0.588,0.584,0.004
18,1610612752,New York Knicks,NYK,39,39,0.422,850,1432,0.594,0.588,0.005
19,1610612758,Sacramento Kings,SAC,39,39,0.452,917,1553,0.59,0.584,0.007
20,1610612761,Toronto Raptors,TOR,39,39,0.459,955,1616,0.591,0.584,0.007
21,1610612759,San Antonio Spurs,SAS,38,38,0.443,910,1543,0.59,0.582,0.008
22,1610612744,Golden State Warriors,GSW,39,39,0.44,926,1547,0.599,0.588,0.011
23,1610612740,New Orleans Pelicans,NOP,40,40,0.429,895,1491,0.6,0.585,0.015
24,1610612764,Washington Wizards,WAS,38,38,0.482,1035,1717,0.603,0.582,0.02
25,1610612766,Charlotte Hornets,CHA,37,37,0.462,912,1502,0.607,0.586,0.022
26,1610612748,Miami Heat,MIA,39,39,0.43,883,1443,0.612,0.585,0.027
27,1610612737,Atlanta Hawks,ATL,38,38,0.464,999,1613,0.619,0.588,0.031
28,1610612742,Dallas Mavericks,DAL,40,40,0.445,996,1618,0.616,0.577,0.039
29,1610612757,Portland Trail Blazers,POR,39,39,0.47,1040,1599,0.65,0.593,0.058
