,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,BKN,Brooklyn Nets,22300250,2023-11-26,BKN vs. CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
2,2023-24,BKN,Brooklyn Nets,22300250,2023-11-26,BKN vs. CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
4,2023-24,BKN,Brooklyn Nets,22300240,2023-11-25,BKN vs. MIA,1610612748,370.0,620.0,0.597,0.579,679.0,1436.0,0.473,0.467,230.0,604.0,0.381,0.361,449.0,832.0,0.54,0.537,99.2,108.2
7,2023-24,BKN,Brooklyn Nets,22300240,2023-11-25,BKN vs. MIA,1610612748,,,,,,,,,,,,,,,,,99.2,108.2
10,2023-24,BKN,Brooklyn Nets,22300227,2023-11-22,BKN @ ATL,1610612737,409.0,671.0,0.61,0.578,719.0,1466.0,0.49,0.474,216.0,587.0,0.368,0.367,503.0,879.0,0.572,0.54,104.5,115.1
11,2023-24,BKN,Brooklyn Nets,22300227,2023-11-22,BKN @ ATL,1610612737,,,,,,,,,,,,,,,,,104.5,115.1
13,2023-24,BKN,Brooklyn Nets,22300208,2023-11-19,BKN vs. PHI,1610612755,,,,,,,,,,,,,,,,,101.5,110.9
12,2023-24,BKN,Brooklyn Nets,22300208,2023-11-19,BKN vs. PHI,1610612755,365.0,659.0,0.554,0.586,657.0,1425.0,0.461,0.478,196.0,546.0,0.359,0.368,461.0,879.0,0.524,0.551,101.5,110.9
5,2023-24,BKN,Brooklyn Nets,22300200,2023-11-16,BKN @ MIA,1610612748,370.0,620.0,0.597,0.579,679.0,1436.0,0.473,0.467,230.0,604.0,0.381,0.361,449.0,832.0,0.54,0.537,99.2,108.2
8,2023-24,BKN,Brooklyn Nets,22300200,2023-11-16,BKN @ MIA,1610612748,,,,,,,,,,,,,,,,,99.2,108.2
15,2023-24,BKN,Brooklyn Nets,22300020,2023-11-14,BKN vs. ORL,1610612753,,,,,,,,,,,,,,,,,102.7,104.7
14,2023-24,BKN,Brooklyn Nets,22300020,2023-11-14,BKN vs. ORL,1610612753,378.0,646.0,0.585,0.588,664.0,1421.0,0.467,0.472,197.0,549.0,0.359,0.36,467.0,872.0,0.536,0.544,102.7,104.7
17,2023-24,BKN,Brooklyn Nets,22300178,2023-11-12,BKN vs. WAS,1610612764,,,,,,,,,,,,,,,,,105.6,118.1
16,2023-24,BKN,Brooklyn Nets,22300178,2023-11-12,BKN vs. WAS,1610612764,430.0,696.0,0.618,0.585,753.0,1499.0,0.502,0.472,208.0,568.0,0.366,0.365,545.0,931.0,0.585,0.545,105.6,118.1
18,2023-24,BKN,Brooklyn Nets,22300010,2023-11-10,BKN @ BOS,1610612738,354.0,666.0,0.532,0.576,682.0,1552.0,0.439,0.469,225.0,640.0,0.352,0.364,457.0,912.0,0.501,0.537,100.3,105.9
20,2023-24,BKN,Brooklyn Nets,22300010,2023-11-10,BKN @ BOS,1610612738,,,,,,,,,,,,,,,,,100.3,105.9
23,2023-24,BKN,Brooklyn Nets,22300160,2023-11-08,BKN vs. LAC,1610612746,,,,,,,,,,,,,,,,,101.2,106.0
22,2023-24,BKN,Brooklyn Nets,22300160,2023-11-08,BKN vs. LAC,1610612746,321.0,587.0,0.547,0.574,593.0,1325.0,0.448,0.461,171.0,513.0,0.333,0.354,422.0,812.0,0.52,0.532,101.2,106.0
24,2023-24,BKN,Brooklyn Nets,22300149,2023-11-06,BKN vs. MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
25,2023-24,BKN,Brooklyn Nets,22300149,2023-11-06,BKN vs. MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
19,2023-24,BKN,Brooklyn Nets,22300136,2023-11-04,BKN vs. BOS,1610612738,354.0,666.0,0.532,0.576,682.0,1552.0,0.439,0.469,225.0,640.0,0.352,0.364,457.0,912.0,0.501,0.537,100.3,105.9
21,2023-24,BKN,Brooklyn Nets,22300136,2023-11-04,BKN vs. BOS,1610612738,,,,,,,,,,,,,,,,,100.3,105.9
1,2023-24,BKN,Brooklyn Nets,22300004,2023-11-03,BKN @ CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
3,2023-24,BKN,Brooklyn Nets,22300004,2023-11-03,BKN @ CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
