,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,CHI,Chicago Bulls,22300250,2023-11-26,CHI @ BKN,1610612751,347.0,591.0,0.587,0.586,667.0,1463.0,0.456,0.469,220.0,629.0,0.35,0.361,447.0,834.0,0.536,0.539,100.6,112.9
2,2023-24,CHI,Chicago Bulls,22300250,2023-11-26,CHI @ BKN,1610612751,,,,,,,,,,,,,,,,,100.6,112.9
4,2023-24,CHI,Chicago Bulls,22300046,2023-11-24,CHI @ TOR,1610612761,403.0,685.0,0.588,0.586,719.0,1519.0,0.473,0.47,210.0,574.0,0.366,0.359,509.0,945.0,0.539,0.542,101.4,109.2
6,2023-24,CHI,Chicago Bulls,22300046,2023-11-24,CHI @ TOR,1610612761,,,,,,,,,,,,,,,,,101.4,109.2
8,2023-24,CHI,Chicago Bulls,22300234,2023-11-22,CHI @ OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
10,2023-24,CHI,Chicago Bulls,22300234,2023-11-22,CHI @ OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
12,2023-24,CHI,Chicago Bulls,22300220,2023-11-20,CHI vs. MIA,1610612748,370.0,620.0,0.597,0.579,679.0,1436.0,0.473,0.467,230.0,604.0,0.381,0.361,449.0,832.0,0.54,0.537,99.2,108.2
14,2023-24,CHI,Chicago Bulls,22300220,2023-11-20,CHI vs. MIA,1610612748,,,,,,,,,,,,,,,,,99.2,108.2
15,2023-24,CHI,Chicago Bulls,22300204,2023-11-18,CHI vs. MIA,1610612748,,,,,,,,,,,,,,,,,99.2,108.2
13,2023-24,CHI,Chicago Bulls,22300204,2023-11-18,CHI vs. MIA,1610612748,370.0,620.0,0.597,0.579,679.0,1436.0,0.473,0.467,230.0,604.0,0.381,0.361,449.0,832.0,0.54,0.537,99.2,108.2
16,2023-24,CHI,Chicago Bulls,22300033,2023-11-17,CHI vs. ORL,1610612753,378.0,646.0,0.585,0.588,664.0,1421.0,0.467,0.472,197.0,549.0,0.359,0.36,467.0,872.0,0.536,0.544,102.7,104.7
18,2023-24,CHI,Chicago Bulls,22300033,2023-11-17,CHI vs. ORL,1610612753,,,,,,,,,,,,,,,,,102.7,104.7
17,2023-24,CHI,Chicago Bulls,22300196,2023-11-15,CHI vs. ORL,1610612753,378.0,646.0,0.585,0.588,664.0,1421.0,0.467,0.472,197.0,549.0,0.359,0.36,467.0,872.0,0.536,0.544,102.7,104.7
19,2023-24,CHI,Chicago Bulls,22300196,2023-11-15,CHI vs. ORL,1610612753,,,,,,,,,,,,,,,,,102.7,104.7
20,2023-24,CHI,Chicago Bulls,22300190,2023-11-13,CHI @ MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
21,2023-24,CHI,Chicago Bulls,22300190,2023-11-13,CHI @ MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
22,2023-24,CHI,Chicago Bulls,22300181,2023-11-12,CHI vs. DET,1610612765,384.0,695.0,0.553,0.578,670.0,1424.0,0.471,0.471,173.0,472.0,0.367,0.365,497.0,952.0,0.522,0.535,102.3,114.7
24,2023-24,CHI,Chicago Bulls,22300181,2023-11-12,CHI vs. DET,1610612765,,,,,,,,,,,,,,,,,102.3,114.7
26,2023-24,CHI,Chicago Bulls,22300162,2023-11-08,CHI vs. PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
27,2023-24,CHI,Chicago Bulls,22300162,2023-11-08,CHI vs. PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
29,2023-24,CHI,Chicago Bulls,22300152,2023-11-06,CHI vs. UTA,1610612762,,,,,,,,,,,,,,,,,102.4,116.8
28,2023-24,CHI,Chicago Bulls,22300152,2023-11-06,CHI vs. UTA,1610612762,395.0,647.0,0.611,0.576,711.0,1450.0,0.49,0.464,221.0,597.0,0.37,0.356,490.0,853.0,0.574,0.533,102.4,116.8
31,2023-24,CHI,Chicago Bulls,22300139,2023-11-04,CHI @ DEN,1610612743,,,,,,,,,,,,,,,,,99.8,110.0
30,2023-24,CHI,Chicago Bulls,22300139,2023-11-04,CHI @ DEN,1610612743,374.0,663.0,0.564,0.575,645.0,1388.0,0.465,0.468,175.0,486.0,0.36,0.358,470.0,902.0,0.521,0.536,99.8,110.0
1,2023-24,CHI,Chicago Bulls,22300004,2023-11-03,CHI vs. BKN,1610612751,347.0,591.0,0.587,0.586,667.0,1463.0,0.456,0.469,220.0,629.0,0.35,0.361,447.0,834.0,0.536,0.539,100.6,112.9
3,2023-24,CHI,Chicago Bulls,22300004,2023-11-03,CHI vs. BKN,1610612751,,,,,,,,,,,,,,,,,100.6,112.9
33,2023-24,CHI,Chicago Bulls,22300124,2023-11-01,CHI @ DAL,1610612742,,,,,,,,,,,,,,,,,103.1,115.0
