,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,DAL,Dallas Mavericks,22300244,2023-11-25,DAL @ LAC,1610612746,321.0,587.0,0.547,0.574,593.0,1325.0,0.448,0.461,171.0,513.0,0.333,0.354,422.0,812.0,0.52,0.532,101.2,106.0
2,2023-24,DAL,Dallas Mavericks,22300244,2023-11-25,DAL @ LAC,1610612746,,,,,,,,,,,,,,,,,101.2,106.0
4,2023-24,DAL,Dallas Mavericks,22300238,2023-11-22,DAL @ LAL,1610612747,373.0,662.0,0.563,0.575,724.0,1596.0,0.454,0.462,230.0,652.0,0.353,0.356,494.0,944.0,0.523,0.534,102.4,107.5
5,2023-24,DAL,Dallas Mavericks,22300238,2023-11-22,DAL @ LAL,1610612747,,,,,,,,,,,,,,,,,102.4,107.5
7,2023-24,DAL,Dallas Mavericks,22300212,2023-11-19,DAL vs. SAC,1610612758,,,,,,,,,,,,,,,,,102.0,111.8
6,2023-24,DAL,Dallas Mavericks,22300212,2023-11-19,DAL vs. SAC,1610612758,365.0,599.0,0.609,0.578,635.0,1308.0,0.485,0.469,177.0,480.0,0.369,0.359,458.0,828.0,0.553,0.537,102.0,111.8
9,2023-24,DAL,Dallas Mavericks,22300205,2023-11-18,DAL @ MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
8,2023-24,DAL,Dallas Mavericks,22300205,2023-11-18,DAL @ MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
10,2023-24,DAL,Dallas Mavericks,22300192,2023-11-15,DAL @ WAS,1610612764,430.0,696.0,0.618,0.585,753.0,1499.0,0.502,0.472,208.0,568.0,0.366,0.365,545.0,931.0,0.585,0.545,105.6,118.1
11,2023-24,DAL,Dallas Mavericks,22300192,2023-11-15,DAL @ WAS,1610612764,,,,,,,,,,,,,,,,,105.6,118.1
12,2023-24,DAL,Dallas Mavericks,22300022,2023-11-14,DAL @ NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
14,2023-24,DAL,Dallas Mavericks,22300022,2023-11-14,DAL @ NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
13,2023-24,DAL,Dallas Mavericks,22300183,2023-11-12,DAL @ NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
15,2023-24,DAL,Dallas Mavericks,22300183,2023-11-12,DAL @ NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
3,2023-24,DAL,Dallas Mavericks,22300014,2023-11-10,DAL vs. LAC,1610612746,,,,,,,,,,,,,,,,,101.2,106.0
1,2023-24,DAL,Dallas Mavericks,22300014,2023-11-10,DAL vs. LAC,1610612746,321.0,587.0,0.547,0.574,593.0,1325.0,0.448,0.461,171.0,513.0,0.333,0.354,422.0,812.0,0.52,0.532,101.2,106.0
17,2023-24,DAL,Dallas Mavericks,22300168,2023-11-08,DAL vs. TOR,1610612761,,,,,,,,,,,,,,,,,101.4,109.2
16,2023-24,DAL,Dallas Mavericks,22300168,2023-11-08,DAL vs. TOR,1610612761,403.0,685.0,0.588,0.586,719.0,1519.0,0.473,0.47,210.0,574.0,0.366,0.359,509.0,945.0,0.539,0.542,101.4,109.2
18,2023-24,DAL,Dallas Mavericks,22300147,2023-11-06,DAL @ ORL,1610612753,378.0,646.0,0.585,0.588,664.0,1421.0,0.467,0.472,197.0,549.0,0.359,0.36,467.0,872.0,0.536,0.544,102.7,104.7
19,2023-24,DAL,Dallas Mavericks,22300147,2023-11-06,DAL @ ORL,1610612753,,,,,,,,,,,,,,,,,102.7,104.7
20,2023-24,DAL,Dallas Mavericks,22300143,2023-11-05,DAL vs. CHA,1610612766,363.0,610.0,0.595,0.582,665.0,1351.0,0.492,0.472,214.0,555.0,0.386,0.366,451.0,796.0,0.567,0.543,103.2,116.7
21,2023-24,DAL,Dallas Mavericks,22300143,2023-11-05,DAL vs. CHA,1610612766,,,,,,,,,,,,,,,,,103.2,116.7
22,2023-24,DAL,Dallas Mavericks,22300006,2023-11-03,DAL @ DEN,1610612743,374.0,663.0,0.564,0.575,645.0,1388.0,0.465,0.468,175.0,486.0,0.36,0.358,470.0,902.0,0.521,0.536,99.8,110.0
23,2023-24,DAL,Dallas Mavericks,22300006,2023-11-03,DAL @ DEN,1610612743,,,,,,,,,,,,,,,,,99.8,110.0
24,2023-24,DAL,Dallas Mavericks,22300124,2023-11-01,DAL vs. CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
25,2023-24,DAL,Dallas Mavericks,22300124,2023-11-01,DAL vs. CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
26,2023-24,DAL,Dallas Mavericks,22300106,2023-10-30,DAL @ MEM,1610612763,301.0,562.0,0.536,0.578,639.0,1355.0,0.472,0.466,242.0,595.0,0.407,0.356,397.0,760.0,0.522,0.536,102.2,111.5
27,2023-24,DAL,Dallas Mavericks,22300106,2023-10-30,DAL @ MEM,1610612763,,,,,,,,,,,,,,,,,102.2,111.5
28,2023-24,DAL,Dallas Mavericks,22300084,2023-10-27,DAL vs. BKN,1610612751,347.0,591.0,0.587,0.586,667.0,1463.0,0.456,0.469,220.0,629.0,0.35,0.361,447.0,834.0,0.536,0.539,100.6,112.9
29,2023-24,DAL,Dallas Mavericks,22300084,2023-10-27,DAL vs. BKN,1610612751,,,,,,,,,,,,,,,,,100.6,112.9
30,2023-24,DAL,Dallas Mavericks,22300073,2023-10-25,DAL @ SAS,1610612759,398.0,657.0,0.606,0.576,764.0,1530.0,0.499,0.47,249.0,624.0,0.399,0.368,515.0,906.0,0.568,0.538,104.6,116.5
31,2023-24,DAL,Dallas Mavericks,22300073,2023-10-25,DAL @ SAS,1610612759,,,,,,,,,,,,,,,,,104.6,116.5
