,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,DEN,Denver Nuggets,22300252,2023-11-26,DEN vs. SAS,1610612759,398.0,657.0,0.606,0.576,764.0,1530.0,0.499,0.47,249.0,624.0,0.399,0.368,515.0,906.0,0.568,0.538,104.6,116.5
1,2023-24,DEN,Denver Nuggets,22300252,2023-11-26,DEN vs. SAS,1610612759,,,,,,,,,,,,,,,,,104.6,116.5
2,2023-24,DEN,Denver Nuggets,22300048,2023-11-24,DEN @ HOU,1610612745,273.0,488.0,0.559,0.594,518.0,1186.0,0.437,0.468,154.0,479.0,0.322,0.351,364.0,707.0,0.515,0.544,98.8,105.2
4,2023-24,DEN,Denver Nuggets,22300048,2023-11-24,DEN @ HOU,1610612745,,,,,,,,,,,,,,,,,98.8,105.2
6,2023-24,DEN,Denver Nuggets,22300226,2023-11-22,DEN @ ORL,1610612753,378.0,646.0,0.585,0.588,664.0,1421.0,0.467,0.472,197.0,549.0,0.359,0.36,467.0,872.0,0.536,0.544,102.7,104.7
7,2023-24,DEN,Denver Nuggets,22300226,2023-11-22,DEN @ ORL,1610612753,,,,,,,,,,,,,,,,,102.7,104.7
8,2023-24,DEN,Denver Nuggets,22300218,2023-11-20,DEN @ DET,1610612765,384.0,695.0,0.553,0.578,670.0,1424.0,0.471,0.471,173.0,472.0,0.367,0.365,497.0,952.0,0.522,0.535,102.3,114.7
9,2023-24,DEN,Denver Nuggets,22300218,2023-11-20,DEN @ DET,1610612765,,,,,,,,,,,,,,,,,102.3,114.7
10,2023-24,DEN,Denver Nuggets,22300210,2023-11-19,DEN @ CLE,1610612739,360.0,674.0,0.534,0.576,691.0,1513.0,0.457,0.47,215.0,566.0,0.38,0.368,476.0,947.0,0.503,0.536,100.9,110.0
11,2023-24,DEN,Denver Nuggets,22300210,2023-11-19,DEN @ CLE,1610612739,,,,,,,,,,,,,,,,,100.9,110.0
14,2023-24,DEN,Denver Nuggets,22300034,2023-11-17,DEN @ NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
12,2023-24,DEN,Denver Nuggets,22300034,2023-11-17,DEN @ NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
16,2023-24,DEN,Denver Nuggets,22300024,2023-11-14,DEN vs. LAC,1610612746,321.0,587.0,0.547,0.574,593.0,1325.0,0.448,0.461,171.0,513.0,0.333,0.354,422.0,812.0,0.52,0.532,101.2,106.0
17,2023-24,DEN,Denver Nuggets,22300024,2023-11-14,DEN vs. LAC,1610612746,,,,,,,,,,,,,,,,,101.2,106.0
5,2023-24,DEN,Denver Nuggets,22300182,2023-11-12,DEN @ HOU,1610612745,,,,,,,,,,,,,,,,,98.8,105.2
3,2023-24,DEN,Denver Nuggets,22300182,2023-11-12,DEN @ HOU,1610612745,273.0,488.0,0.559,0.594,518.0,1186.0,0.437,0.468,154.0,479.0,0.322,0.351,364.0,707.0,0.515,0.544,98.8,105.2
18,2023-24,DEN,Denver Nuggets,22300169,2023-11-08,DEN vs. GSW,1610612744,377.0,668.0,0.564,0.583,696.0,1505.0,0.462,0.478,200.0,573.0,0.349,0.366,496.0,932.0,0.532,0.545,102.1,111.0
