,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,DET,Detroit Pistons,22300047,2023-11-24,DET @ IND,1610612754,450.0,796.0,0.565,0.584,689.0,1376.0,0.501,0.47,151.0,386.0,0.391,0.354,538.0,990.0,0.543,0.54,107.1,117.9
1,2023-24,DET,Detroit Pistons,22300047,2023-11-24,DET @ IND,1610612754,,,,,,,,,,,,,,,,,107.1,117.9
2,2023-24,DET,Detroit Pistons,22300218,2023-11-20,DET vs. DEN,1610612743,374.0,663.0,0.564,0.575,645.0,1388.0,0.465,0.468,175.0,486.0,0.36,0.358,470.0,902.0,0.521,0.536,99.8,110.0
3,2023-24,DET,Detroit Pistons,22300218,2023-11-20,DET vs. DEN,1610612743,,,,,,,,,,,,,,,,,99.8,110.0
4,2023-24,DET,Detroit Pistons,22300211,2023-11-19,DET @ TOR,1610612761,403.0,685.0,0.588,0.586,719.0,1519.0,0.473,0.47,210.0,574.0,0.366,0.359,509.0,945.0,0.539,0.542,101.4,109.2
5,2023-24,DET,Detroit Pistons,22300211,2023-11-19,DET @ TOR,1610612761,,,,,,,,,,,,,,,,,101.4,109.2
6,2023-24,DET,Detroit Pistons,22300030,2023-11-17,DET @ CLE,1610612739,360.0,674.0,0.534,0.576,691.0,1513.0,0.457,0.47,215.0,566.0,0.38,0.368,476.0,947.0,0.503,0.536,100.9,110.0
7,2023-24,DET,Detroit Pistons,22300030,2023-11-17,DET @ CLE,1610612739,,,,,,,,,,,,,,,,,100.9,110.0
8,2023-24,DET,Detroit Pistons,22300018,2023-11-14,DET vs. ATL,1610612737,409.0,671.0,0.61,0.578,719.0,1466.0,0.49,0.474,216.0,587.0,0.368,0.367,503.0,879.0,0.572,0.54,104.5,115.1
9,2023-24,DET,Detroit Pistons,22300018,2023-11-14,DET vs. ATL,1610612737,,,,,,,,,,,,,,,,,104.5,115.1
10,2023-24,DET,Detroit Pistons,22300181,2023-11-12,DET @ CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
12,2023-24,DET,Detroit Pistons,22300181,2023-11-12,DET @ CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
15,2023-24,DET,Detroit Pistons,22300008,2023-11-10,DET vs. PHI,1610612755,,,,,,,,,,,,,,,,,101.5,110.9
14,2023-24,DET,Detroit Pistons,22300008,2023-11-10,DET vs. PHI,1610612755,365.0,659.0,0.554,0.586,657.0,1425.0,0.461,0.478,196.0,546.0,0.359,0.368,461.0,879.0,0.524,0.551,101.5,110.9
17,2023-24,DET,Detroit Pistons,22300165,2023-11-08,DET @ MIL,1610612749,,,,,,,,,,,,,,,,,103.9,113.1
16,2023-24,DET,Detroit Pistons,22300165,2023-11-08,DET @ MIL,1610612749,380.0,666.0,0.571,0.578,743.0,1585.0,0.469,0.468,222.0,619.0,0.359,0.361,521.0,966.0,0.539,0.537,103.9,113.1
18,2023-24,DET,Detroit Pistons,22300145,2023-11-06,DET vs. GSW,1610612744,377.0,668.0,0.564,0.583,696.0,1505.0,0.462,0.478,200.0,573.0,0.349,0.366,496.0,932.0,0.532,0.545,102.1,111.0
19,2023-24,DET,Detroit Pistons,22300145,2023-11-06,DET vs. GSW,1610612744,,,,,,,,,,,,,,,,,102.1,111.0
20,2023-24,DET,Detroit Pistons,22300140,2023-11-05,DET vs. PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
21,2023-24,DET,Detroit Pistons,22300140,2023-11-05,DET vs. PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
22,2023-24,DET,Detroit Pistons,22300129,2023-11-02,DET @ NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
23,2023-24,DET,Detroit Pistons,22300129,2023-11-02,DET @ NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
24,2023-24,DET,Detroit Pistons,22300115,2023-11-01,DET vs. POR,1610612757,422.0,673.0,0.627,0.58,665.0,1369.0,0.486,0.467,176.0,499.0,0.353,0.355,489.0,870.0,0.562,0.538,100.5,111.5
25,2023-24,DET,Detroit Pistons,22300115,2023-11-01,DET vs. POR,1610612757,,,,,,,,,,,,,,,,,100.5,111.5
26,2023-24,DET,Detroit Pistons,22300109,2023-10-30,DET @ OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
27,2023-24,DET,Detroit Pistons,22300109,2023-10-30,DET @ OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
13,2023-24,DET,Detroit Pistons,22300088,2023-10-28,DET vs. CHI,1610612741,,,,,,,,,,,,,,,,,97.9,112.9
11,2023-24,DET,Detroit Pistons,22300088,2023-10-28,DET vs. CHI,1610612741,338.0,569.0,0.594,0.578,672.0,1433.0,0.469,0.474,248.0,666.0,0.372,0.373,424.0,767.0,0.553,0.538,97.9,112.9
28,2023-24,DET,Detroit Pistons,22300077,2023-10-27,DET @ CHA,1610612766,363.0,610.0,0.595,0.582,665.0,1351.0,0.492,0.472,214.0,555.0,0.386,0.366,451.0,796.0,0.567,0.543,103.2,116.7
29,2023-24,DET,Detroit Pistons,22300077,2023-10-27,DET @ CHA,1610612766,,,,,,,,,,,,,,,,,103.2,116.7
30,2023-24,DET,Detroit Pistons,22300068,2023-10-25,DET @ MIA,1610612748,370.0,620.0,0.597,0.579,679.0,1436.0,0.473,0.467,230.0,604.0,0.381,0.361,449.0,832.0,0.54,0.537,99.2,108.2
31,2023-24,DET,Detroit Pistons,22300068,2023-10-25,DET @ MIA,1610612748,,,,,,,,,,,,,,,,,99.2,108.2
