,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,TEAM_ID,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,E_PACE,E_DEF_RATING
0,2023-24,GSW,Golden State Warriors,22300051,2023-11-24,GSW vs. SAS,1610612759,398.0,657.0,0.606,0.576,764.0,1530.0,0.499,0.47,249.0,624.0,0.399,0.368,515.0,906.0,0.568,0.538,104.6,116.5
1,2023-24,GSW,Golden State Warriors,22300051,2023-11-24,GSW vs. SAS,1610612759,,,,,,,,,,,,,,,,,104.6,116.5
2,2023-24,GSW,Golden State Warriors,22300236,2023-11-22,GSW @ PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
4,2023-24,GSW,Golden State Warriors,22300236,2023-11-22,GSW @ PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
6,2023-24,GSW,Golden State Warriors,22300224,2023-11-20,GSW vs. HOU,1610612745,273.0,488.0,0.559,0.594,518.0,1186.0,0.437,0.468,154.0,479.0,0.322,0.351,364.0,707.0,0.515,0.544,98.8,105.2
8,2023-24,GSW,Golden State Warriors,22300224,2023-11-20,GSW vs. HOU,1610612745,,,,,,,,,,,,,,,,,98.8,105.2
13,2023-24,GSW,Golden State Warriors,22300207,2023-11-18,GSW vs. OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
10,2023-24,GSW,Golden State Warriors,22300207,2023-11-18,GSW vs. OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
11,2023-24,GSW,Golden State Warriors,22300201,2023-11-16,GSW vs. OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
14,2023-24,GSW,Golden State Warriors,22300201,2023-11-16,GSW vs. OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
18,2023-24,GSW,Golden State Warriors,22300025,2023-11-14,GSW vs. MIN,1610612750,,,,,,,,,,,,,,,,,101.6,103.5
16,2023-24,GSW,Golden State Warriors,22300025,2023-11-14,GSW vs. MIN,1610612750,311.0,581.0,0.535,0.575,625.0,1447.0,0.432,0.462,186.0,563.0,0.33,0.359,439.0,884.0,0.497,0.533,101.6,103.5
19,2023-24,GSW,Golden State Warriors,22300186,2023-11-12,GSW vs. MIN,1610612750,,,,,,,,,,,,,,,,,101.6,103.5
17,2023-24,GSW,Golden State Warriors,22300186,2023-11-12,GSW vs. MIN,1610612750,311.0,581.0,0.535,0.575,625.0,1447.0,0.432,0.462,186.0,563.0,0.33,0.359,439.0,884.0,0.497,0.533,101.6,103.5
20,2023-24,GSW,Golden State Warriors,22300176,2023-11-11,GSW vs. CLE,1610612739,360.0,674.0,0.534,0.576,691.0,1513.0,0.457,0.47,215.0,566.0,0.38,0.368,476.0,947.0,0.503,0.536,100.9,110.0
22,2023-24,GSW,Golden State Warriors,22300176,2023-11-11,GSW vs. CLE,1610612739,,,,,,,,,,,,,,,,,100.9,110.0
24,2023-24,GSW,Golden State Warriors,22300169,2023-11-08,GSW @ DEN,1610612743,374.0,663.0,0.564,0.575,645.0,1388.0,0.465,0.468,175.0,486.0,0.36,0.358,470.0,902.0,0.521,0.536,99.8,110.0
25,2023-24,GSW,Golden State Warriors,22300169,2023-11-08,GSW @ DEN,1610612743,,,,,,,,,,,,,,,,,99.8,110.0
27,2023-24,GSW,Golden State Warriors,22300145,2023-11-06,GSW @ DET,1610612765,,,,,,,,,,,,,,,,,102.3,114.7
26,2023-24,GSW,Golden State Warriors,22300145,2023-11-06,GSW @ DET,1610612765,384.0,695.0,0.553,0.578,670.0,1424.0,0.471,0.471,173.0,472.0,0.367,0.365,497.0,952.0,0.522,0.535,102.3,114.7
23,2023-24,GSW,Golden State Warriors,22300142,2023-11-05,GSW @ CLE,1610612739,,,,,,,,,,,,,,,,,100.9,110.0
21,2023-24,GSW,Golden State Warriors,22300142,2023-11-05,GSW @ CLE,1610612739,360.0,674.0,0.534,0.576,691.0,1513.0,0.457,0.47,215.0,566.0,0.38,0.368,476.0,947.0,0.503,0.536,100.9,110.0
15,2023-24,GSW,Golden State Warriors,22300005,2023-11-03,GSW @ OKC,1610612760,,,,,,,,,,,,,,,,,102.6,107.7
12,2023-24,GSW,Golden State Warriors,22300005,2023-11-03,GSW @ OKC,1610612760,336.0,603.0,0.557,0.573,634.0,1462.0,0.434,0.462,207.0,607.0,0.341,0.357,427.0,855.0,0.499,0.529,102.6,107.7
28,2023-24,GSW,Golden State Warriors,22300126,2023-11-01,GSW vs. SAC,1610612758,365.0,599.0,0.609,0.578,635.0,1308.0,0.485,0.469,177.0,480.0,0.369,0.359,458.0,828.0,0.553,0.537,102.0,111.8
30,2023-24,GSW,Golden State Warriors,22300126,2023-11-01,GSW vs. SAC,1610612758,,,,,,,,,,,,,,,,,102.0,111.8
32,2023-24,GSW,Golden State Warriors,22300108,2023-10-30,GSW @ NOP,1610612740,384.0,637.0,0.603,0.576,702.0,1527.0,0.46,0.469,217.0,679.0,0.32,0.362,485.0,848.0,0.572,0.54,102.8,109.5
33,2023-24,GSW,Golden State Warriors,22300108,2023-10-30,GSW @ NOP,1610612740,,,,,,,,,,,,,,,,,102.8,109.5
7,2023-24,GSW,Golden State Warriors,22300096,2023-10-29,GSW @ HOU,1610612745,273.0,488.0,0.559,0.594,518.0,1186.0,0.437,0.468,154.0,479.0,0.322,0.351,364.0,707.0,0.515,0.544,98.8,105.2
9,2023-24,GSW,Golden State Warriors,22300096,2023-10-29,GSW @ HOU,1610612745,,,,,,,,,,,,,,,,,98.8,105.2
29,2023-24,GSW,Golden State Warriors,22300087,2023-10-27,GSW @ SAC,1610612758,365.0,599.0,0.609,0.578,635.0,1308.0,0.485,0.469,177.0,480.0,0.369,0.359,458.0,828.0,0.553,0.537,102.0,111.8
31,2023-24,GSW,Golden State Warriors,22300087,2023-10-27,GSW @ SAC,1610612758,,,,,,,,,,,,,,,,,102.0,111.8
3,2023-24,GSW,Golden State Warriors,22300062,2023-10-24,GSW vs. PHX,1610612756,407.0,707.0,0.576,0.569,706.0,1540.0,0.458,0.459,195.0,557.0,0.35,0.355,511.0,983.0,0.52,0.525,99.9,111.1
5,2023-24,GSW,Golden State Warriors,22300062,2023-10-24,GSW vs. PHX,1610612756,,,,,,,,,,,,,,,,,99.9,111.1
